SERINGALSÃOJOSÉ	-68.718	-9.319
     1     1  1983      197.750000
     2     1  1983      205.090000
     3     1  1983      319.140000
     4     1  1983      358.940000
     5     1  1983      458.300000
     6     1  1983      444.220000
     7     1  1983      275.000000
     8     1  1983      179.870000
     9     1  1983      155.210000
    10     1  1983      191.410000
    11     1  1983      210.670000
    12     1  1983      205.090000
    13     1  1983      157.690000
    14     1  1983      151.930000
    15     1  1983      128.990000
    16     1  1983      351.980000
    17     1  1983      498.580000
    18     1  1983      786.550000
    19     1  1983      916.280000
    20     1  1983      934.100000
    21     1  1983      635.670000
    22     1  1983      459.580000
    23     1  1983      421.580000
    24     1  1983      358.940000
    25     1  1983      526.240000
    26     1  1983      439.150000
    27     1  1983      519.590000
    28     1  1983      519.590000
    29     1  1983      592.330000
    30     1  1983      370.670000
    31     1  1983      294.050000
     1     2  1983      267.740000
     2     2  1983      267.740000
     3     2  1983      256.480000
     4     2  1983      313.620000
     5     2  1983      249.430000
     6     2  1983      183.390000
     7     2  1983      163.540000
     8     2  1983      165.230000
     9     2  1983      265.680000
    10     2  1983      314.720000
    11     2  1983      195.020000
    12     2  1983      152.740000
    13     2  1983      143.840000
    14     2  1983      165.230000
    15     2  1983      140.660000
    16     2  1983      122.190000
    17     2  1983      129.760000
    18     2  1983      117.740000
    19     2  1983      348.530000
    20     2  1983      626.870000
    21     2  1983      619.590000
    22     2  1983      374.210000
    23     2  1983      421.580000
    24     2  1983      628.330000
    25     2  1983      838.240000
    26     2  1983      923.390000
    27     2  1983      677.530000
    28     2  1983      400.650000
     1     3  1983      325.830000
     2     3  1983      247.420000
     3     3  1983      203.240000
     4     3  1983      182.510000
     5     3  1983      412.910000
     6     3  1983      405.530000
     7     3  1983      249.430000
     8     3  1983      193.210000
     9     3  1983      147.860000
    10     3  1983      147.050000
    11     3  1983      441.680000
    12     3  1983      679.050000
    13     3  1983      719.200000
    14     3  1983      910.960000
    15     3  1983     1027.750000
    16     3  1983     1031.520000
    17     3  1983      896.870000
    18     3  1983      550.550000
    19     3  1983      502.490000
    20     3  1983      626.870000
    21     3  1983      851.850000
    22     3  1983      999.730000
    23     3  1983     1071.480000
    24     3  1983     1124.010000
    25     3  1983     1153.750000
    26     3  1983      853.560000
    27     3  1983      390.950000
    28     3  1983      289.770000
    29     3  1983      239.480000
    30     3  1983      305.940000
    31     3  1983      319.140000
     1     4  1983      238.500000
     2     4  1983      241.460000
     3     4  1983      251.430000
     4     4  1983      200.490000
     5     4  1983      186.050000
     6     4  1983      160.190000
     7     4  1983      201.400000
     8     4  1983      231.650000
     9     4  1983      328.070000
    10     4  1983      441.680000
    11     4  1983      337.100000
    12     4  1983      355.460000
    13     4  1983      437.880000
    14     4  1983      393.360000
    15     4  1983      300.510000
    16     4  1983      264.650000
    17     4  1983      223.930000
    18     4  1983      185.160000
    19     4  1983      207.870000
    20     4  1983      186.050000
    21     4  1983      153.560000
    22     4  1983      166.930000
    23     4  1983      469.950000
    24     4  1983      450.600000
    25     4  1983      388.540000
    26     4  1983      342.790000
    27     4  1983      255.470000
    28     4  1983      202.320000
    29     4  1983      162.700000
    30     4  1983      148.670000
     1     5  1983      148.670000
     2     5  1983      117.740000
     3     5  1983      104.800000
     4     5  1983       92.490000
     5     5  1983      105.510000
     6     5  1983      135.160000
     7     5  1983      122.190000
     8     5  1983      106.920000
     9     5  1983      102.710000
    10     5  1983      108.340000
    11     5  1983      104.800000
    12     5  1983       93.160000
    13     5  1983       92.490000
    14     5  1983      102.710000
    15     5  1983       95.850000
    16     5  1983      131.290000
    17     5  1983      194.120000
    18     5  1983      151.110000
    19     5  1983      129.760000
    20     5  1983      112.640000
    21     5  1983       93.830000
    22     5  1983       89.840000
    23     5  1983      103.410000
    24     5  1983      106.210000
    25     5  1983      168.630000
    26     5  1983      264.650000
    27     5  1983      180.750000
    28     5  1983      145.440000
    29     5  1983      123.690000
    30     5  1983      103.410000
    31     5  1983       89.840000
     1     6  1983       80.190000
     2     6  1983       72.800000
     3     6  1983      184.280000
     4     6  1983      161.860000
     5     6  1983      134.390000
     6     6  1983      122.190000
     7     6  1983      104.100000
     8     6  1983       85.280000
     9     6  1983       72.800000
    10     6  1983       62.270000
    11     6  1983       52.430000
    12     6  1983       46.760000
    13     6  1983       43.780000
    14     6  1983       42.320000
    15     6  1983       42.320000
    16     6  1983       42.320000
    17     6  1983       42.810000
    18     6  1983       38.530000
    19     6  1983       36.240000
    20     6  1983       35.790000
    21     6  1983       37.610000
    22     6  1983       41.360000
    23     6  1983       37.610000
    24     6  1983       35.340000
    25     6  1983       32.690000
    26     6  1983       31.400000
    27     6  1983       29.710000
    28     6  1983       28.880000
    29     6  1983       27.650000
    30     6  1983       26.850000
     1     7  1983       25.660000
     2     7  1983       25.270000
     3     7  1983       24.880000
     4     7  1983       24.490000
     5     7  1983       24.110000
     6     7  1983       23.340000
     7     7  1983       22.970000
     8     7  1983       22.220000
     9     7  1983       20.760000
    10     7  1983       19.690000
    11     7  1983       18.990000
    12     7  1983       18.650000
    13     7  1983       18.300000
    14     7  1983       17.960000
    15     7  1983       17.290000
    16     7  1983       17.960000
    17     7  1983       18.990000
    18     7  1983       18.300000
    19     7  1983       18.650000
    20     7  1983       17.620000
    21     7  1983       23.720000
    22     7  1983       37.610000
    23     7  1983       39.940000
    24     7  1983       33.560000
    25     7  1983       26.850000
    26     7  1983       22.970000
    27     7  1983       18.990000
    28     7  1983       18.300000
    29     7  1983       17.290000
    30     7  1983       15.970000
    31     7  1983       15.330000
     1     8  1983       14.700000
     2     8  1983       14.080000
     3     8  1983       13.480000
     4     8  1983       13.780000
     5     8  1983       12.880000
     6     8  1983       13.180000
     7     8  1983       13.180000
     8     8  1983       12.290000
     9     8  1983       12.580000
    10     8  1983       12.000000
    11     8  1983       12.000000
    12     8  1983       11.430000
    13     8  1983       10.880000
    14     8  1983       10.600000
    15     8  1983       10.600000
    16     8  1983       10.330000
    17     8  1983       10.060000
    18     8  1983        9.530000
    19     8  1983        9.530000
    20     8  1983        9.270000
    21     8  1983        9.020000
    22     8  1983        9.020000
    23     8  1983        8.760000
    24     8  1983        8.760000
    25     8  1983        8.760000
    26     8  1983        9.020000
    27     8  1983        9.020000
    28     8  1983        9.020000
    29     8  1983        8.760000
    30     8  1983        9.020000
    31     8  1983        8.760000
     1     9  1983        9.530000
     2     9  1983        9.270000
     3     9  1983        9.020000
     4     9  1983        9.020000
     5     9  1983        9.270000
     6     9  1983       10.330000
     7     9  1983       11.150000
     8     9  1983        9.530000
     9     9  1983       11.430000
    10     9  1983       11.720000
    11     9  1983       12.580000
    12     9  1983       13.480000
    13     9  1983       11.720000
    14     9  1983       11.150000
    15     9  1983        9.800000
    16     9  1983        9.800000
    17     9  1983        9.800000
    18     9  1983       12.290000
    19     9  1983       14.080000
    20     9  1983       14.080000
    21     9  1983       11.430000
    22     9  1983       10.060000
    23     9  1983        8.760000
    24     9  1983        8.260000
    25     9  1983        7.780000
    26     9  1983        7.300000
    27     9  1983        7.540000
    28     9  1983        7.540000
    29     9  1983        7.540000
    30     9  1983        9.020000
     1    10  1983       10.330000
     2    10  1983        9.270000
     3    10  1983        8.510000
     4    10  1983        8.760000
     5    10  1983        9.020000
     6    10  1983        7.070000
     7    10  1983        6.840000
     8    10  1983        7.070000
     9    10  1983        7.540000
    10    10  1983        6.610000
    11    10  1983        8.260000
    12    10  1983        7.540000
    13    10  1983        7.070000
    14    10  1983        7.540000
    15    10  1983        7.780000
    16    10  1983        8.760000
    17    10  1983        7.540000
    18    10  1983        7.540000
    19    10  1983        9.270000
    20    10  1983        9.020000
    21    10  1983        9.020000
    22    10  1983        9.270000
    23    10  1983        9.020000
    24    10  1983        8.020000
    25    10  1983        7.780000
    26    10  1983        7.780000
    27    10  1983        7.780000
    28    10  1983        7.780000
    29    10  1983        8.510000
    30    10  1983       10.060000
    31    10  1983       12.880000
     1    11  1983       12.580000
     2    11  1983       11.720000
     3    11  1983       12.000000
     4    11  1983       12.580000
     5    11  1983       13.180000
     6    11  1983       12.880000
     7    11  1983       12.580000
     8    11  1983       11.720000
     9    11  1983       15.330000
    10    11  1983       27.650000
    11    11  1983       35.340000
    12    11  1983       34.450000
    13    11  1983       28.470000
    14    11  1983       41.840000
    15    11  1983       42.810000
    16    11  1983       41.840000
    17    11  1983       48.790000
    18    11  1983       71.600000
    19    11  1983       99.940000
    20    11  1983       87.880000
    21    11  1983       85.280000
    22    11  1983       85.930000
    23    11  1983       63.410000
    24    11  1983       89.840000
    25    11  1983      135.160000
    26    11  1983       77.700000
    27    11  1983       65.710000
    28    11  1983       50.860000
    29    11  1983       49.820000
    30    11  1983       53.490000
     1    12  1983      107.630000
     2    12  1983      113.360000
     3    12  1983      110.480000
     4    12  1983       93.160000
     5    12  1983      153.560000
     6    12  1983      147.860000
     7    12  1983      475.160000
     8    12  1983      307.040000
     9    12  1983      209.730000
    10    12  1983      174.650000
    11    12  1983      217.260000
    12    12  1983      163.540000
    13    12  1983      197.750000
    14    12  1983      122.940000
    15    12  1983       74.620000
    16    12  1983       77.080000
    17    12  1983       98.570000
    18    12  1983      143.840000
    19    12  1983      135.940000
    20    12  1983      297.270000
    21    12  1983      230.680000
    22    12  1983      162.700000
    23    12  1983      131.290000
    24    12  1983      130.520000
    25    12  1983      116.270000
    26    12  1983      104.100000
    27    12  1983       85.930000
    28    12  1983       92.490000
    29    12  1983      112.640000
    30    12  1983       85.280000
    31    12  1983       66.870000
     1     1  1984      128.990000
     2     1  1984      128.230000
     3     1  1984      143.040000
     4     1  1984      162.700000
     5     1  1984      145.440000
     6     1  1984      161.860000
     7     1  1984      182.510000
     8     1  1984      356.620000
     9     1  1984      651.950000
    10     1  1984      776.740000
    11     1  1984      545.100000
    12     1  1984      338.230000
    13     1  1984      346.230000
    14     1  1984      754.090000
    15     1  1984      912.730000
    16     1  1984      944.880000
    17     1  1984      712.950000
    18     1  1984      380.150000
    19     1  1984      291.910000
    20     1  1984      268.770000
    21     1  1984      240.470000
    22     1  1984      302.680000
    23     1  1984      263.620000
    24     1  1984      249.430000
    25     1  1984      196.840000
    26     1  1984      166.930000
    27     1  1984      175.510000
    28     1  1984      158.520000
    29     1  1984      200.490000
    30     1  1984      296.200000
    31     1  1984      397.000000
     1     2  1984      543.740000
     2     2  1984      534.280000
     3     2  1984      581.030000
     4     2  1984      760.530000
     5     2  1984      828.100000
     6     2  1984      856.990000
     7     2  1984      919.830000
     8     2  1984     1022.110000
     9     2  1984     1018.370000
    10     2  1984      791.480000
    11     2  1984      524.910000
    12     2  1984      431.580000
    13     2  1984      454.440000
    14     2  1984      342.790000
    15     2  1984      298.350000
    16     2  1984      340.510000
    17     2  1984      429.070000
    18     2  1984      651.950000
    19     2  1984      688.210000
    20     2  1984      656.430000
    21     2  1984      637.140000
    22     2  1984      541.030000
    23     2  1984      412.910000
    24     2  1984      469.950000
    25     2  1984      467.350000
    26     2  1984      546.460000
    27     2  1984      535.630000
    28     2  1984      464.750000
    29     2  1984      387.340000
     1     3  1984      613.800000
     2     3  1984      731.790000
     3     3  1984      741.310000
     4     3  1984      744.490000
     5     3  1984      937.690000
     6     3  1984      860.420000
     7     3  1984      554.660000
     8     3  1984      323.590000
     9     3  1984      264.650000
    10     3  1984      298.350000
    11     3  1984      376.580000
    12     3  1984      477.780000
    13     3  1984      471.250000
    14     3  1984      535.630000
    15     3  1984      340.510000
    16     3  1984      250.430000
    17     3  1984      240.470000
    18     3  1984      355.460000
    19     3  1984      613.800000
    20     3  1984      877.680000
    21     3  1984      766.990000
    22     3  1984      522.240000
    23     3  1984      830.980000
    24     3  1984     1113.530000
    25     3  1984     1016.030000
    26     3  1984      790.140000
    27     3  1984      453.320000
    28     3  1984      559.600000
    29     3  1984      770.100000
    30     3  1984      894.170000
    31     3  1984      955.970000
     1     4  1984     1010.320000
     2     4  1984      985.770000
     3     4  1984      740.530000
     4     4  1984      622.060000
     5     4  1984      851.780000
     6     4  1984      993.290000
     7     4  1984     1085.780000
     8     4  1984     1153.770000
     9     4  1984     1209.240000
    10     4  1984     1268.140000
    11     4  1984     1291.660000
    12     4  1984     1050.610000
    13     4  1984      683.130000
    14     4  1984      541.360000
    15     4  1984      598.430000
    16     4  1984      486.800000
    17     4  1984      350.060000
    18     4  1984      297.800000
    19     4  1984      266.940000
    20     4  1984      237.390000
    21     4  1984      198.460000
    22     4  1984      424.620000
    23     4  1984      818.960000
    24     4  1984      985.770000
    25     4  1984     1042.880000
    26     4  1984     1060.320000
    27     4  1984     1119.520000
    28     4  1984     1165.990000
    29     4  1984     1198.870000
    30     4  1984      968.950000
     1     5  1984      448.050000
     2     5  1984      282.210000
     3     5  1984      219.090000
     4     5  1984      172.190000
     5     5  1984      149.950000
     6     5  1984      148.220000
     7     5  1984      157.820000
     8     5  1984      128.900000
     9     5  1984      114.510000
    10     5  1984      103.020000
    11     5  1984      182.340000
    12     5  1984      227.150000
    13     5  1984      151.680000
    14     5  1984      131.360000
    15     5  1984      107.560000
    16     5  1984       87.030000
    17     5  1984       74.720000
    18     5  1984       64.550000
    19     5  1984       67.630000
    20     5  1984       78.060000
    21     5  1984       76.720000
    22     5  1984       73.390000
    23     5  1984       64.550000
    24     5  1984       62.130000
    25     5  1984       49.520000
    26     5  1984       44.170000
    27     5  1984       41.090000
    28     5  1984       38.100000
    29     5  1984       36.640000
    30     5  1984       39.090000
    31     5  1984       40.080000
     1     6  1984       35.200000
     2     6  1984       32.400000
     3     6  1984       36.160000
     4     6  1984       38.590000
     5     6  1984       36.640000
     6     6  1984       33.790000
     7     6  1984       32.400000
     8     6  1984       31.940000
     9     6  1984       31.490000
    10     6  1984       29.250000
    11     6  1984       27.950000
    12     6  1984       26.240000
    13     6  1984       32.860000
    14     6  1984       32.400000
    15     6  1984       28.820000
    16     6  1984       24.170000
    17     6  1984       22.170000
    18     6  1984       21.010000
    19     6  1984       19.870000
    20     6  1984       19.870000
    21     6  1984       19.120000
    22     6  1984       18.390000
    23     6  1984       17.670000
    24     6  1984       16.960000
    25     6  1984       16.260000
    26     6  1984       15.920000
    27     6  1984       15.580000
    28     6  1984       15.920000
    29     6  1984       14.570000
    30     6  1984       13.920000
     1     7  1984       13.600000
     2     7  1984       12.960000
     3     7  1984       12.650000
     4     7  1984       12.650000
     5     7  1984       12.650000
     6     7  1984       12.340000
     7     7  1984       12.340000
     8     7  1984       13.280000
     9     7  1984       14.240000
    10     7  1984       13.600000
    11     7  1984       12.340000
    12     7  1984       12.030000
    13     7  1984       12.960000
