SERINGALGUARANY	-69.417	-9.350
     1     1  1983       -1.000000
     2     1  1983       -1.000000
     3     1  1983       -1.000000
     4     1  1983       -1.000000
     5     1  1983       -1.000000
     6     1  1983       -1.000000
     7     1  1983       -1.000000
     8     1  1983       -1.000000
     9     1  1983       -1.000000
    10     1  1983       -1.000000
    11     1  1983       -1.000000
    12     1  1983       -1.000000
    13     1  1983       -1.000000
    14     1  1983       -1.000000
    15     1  1983       -1.000000
    16     1  1983       -1.000000
    17     1  1983       -1.000000
    18     1  1983      433.530000
    19     1  1983      489.810000
    20     1  1983      531.720000
    21     1  1983      544.000000
    22     1  1983      520.240000
    23     1  1983      467.570000
    24     1  1983      399.060000
    25     1  1983      358.610000
    26     1  1983      345.460000
    27     1  1983      338.010000
    28     1  1983      319.040000
    29     1  1983      277.010000
    30     1  1983      237.580000
    31     1  1983      211.750000
     1     2  1983      199.730000
     2     2  1983      187.960000
     3     2  1983      185.430000
     4     2  1983      183.410000
     5     2  1983      182.410000
     6     2  1983      181.410000
     7     2  1983      176.920000
     8     2  1983      160.790000
     9     2  1983      149.860000
    10     2  1983      138.280000
    11     2  1983      139.200000
    12     2  1983      140.570000
    13     2  1983      124.370000
    14     2  1983      106.740000
    15     2  1983       75.460000
    16     2  1983       58.660000
    17     2  1983       56.620000
    18     2  1983       53.940000
    19     2  1983       50.650000
    20     2  1983       47.760000
    21     2  1983       42.970000
    22     2  1983       59.350000
    23     2  1983      175.930000
    24     2  1983      239.230000
    25     2  1983      249.200000
    26     2  1983      242.540000
    27     2  1983      234.300000
    28     2  1983      255.350000
     1     3  1983      274.130000
     2     3  1983      261.000000
     3     3  1983      235.390000
     4     3  1983      241.990000
     5     3  1983      323.900000
     6     3  1983      346.700000
     7     3  1983      311.800000
     8     3  1983      275.280000
     9     3  1983      262.700000
    10     3  1983      255.350000
    11     3  1983      245.860000
    12     3  1983      258.170000
    13     3  1983      274.700000
    14     3  1983      282.230000
    15     3  1983      284.560000
    16     3  1983      273.550000
    17     3  1983      238.680000
    18     3  1983      209.120000
    19     3  1983      220.790000
    20     3  1983      285.720000
    21     3  1983      261.560000
    22     3  1983      220.790000
    23     3  1983      170.500000
    24     3  1983      145.190000
    25     3  1983      124.370000
    26     3  1983       98.480000
    27     3  1983       86.910000
    28     3  1983       79.220000
    29     3  1983       84.580000
    30     3  1983      102.170000
    31     3  1983      103.830000
     1     4  1983      125.690000
     2     4  1983      118.680000
     3     4  1983      105.070000
     4     4  1983       97.260000
     5     4  1983      110.110000
     6     4  1983       85.350000
     7     4  1983       55.280000
     8     4  1983       50.650000
     9     4  1983       63.870000
    10     4  1983       55.950000
    11     4  1983       39.020000
    12     4  1983       82.650000
    13     4  1983      108.420000
    14     4  1983      101.760000
    15     4  1983      137.830000
    16     4  1983      119.980000
    17     4  1983      103.000000
    18     4  1983       99.710000
    19     4  1983      105.070000
    20     4  1983       98.070000
    21     4  1983       88.080000
    22     4  1983       82.270000
    23     4  1983       67.420000
    24     4  1983       53.610000
    25     4  1983       62.820000
    26     4  1983       59.350000
    27     4  1983       55.950000
    28     4  1983       59.350000
    29     4  1983       63.870000
    30     4  1983       65.990000
     1     5  1983       72.870000
     2     5  1983       78.840000
     3     5  1983       77.710000
     4     5  1983       61.420000
     5     5  1983       41.890000
     6     5  1983       35.070000
