SERINGALDACARIDADE	-68.577	-9.044
     1     1  1983     2940.890000
     2     1  1983     2739.970000
     3     1  1983     2493.190000
     4     1  1983     2366.830000
     5     1  1983     2436.660000
     6     1  1983     2583.890000
     7     1  1983     2754.820000
     8     1  1983     2879.940000
     9     1  1983     2945.990000
    10     1  1983     2884.990000
    11     1  1983     2725.160000
    12     1  1983     2550.310000
    13     1  1983     2474.280000
    14     1  1983     2497.930000
    15     1  1983     2574.280000
    16     1  1983     2725.160000
    17     1  1983     2824.570000
    18     1  1983     2956.220000
    19     1  1983     3106.240000
    20     1  1983     3340.590000
    21     1  1983     3476.010000
    22     1  1983     3547.780000
    23     1  1983     3650.780000
    24     1  1983     3780.140000
    25     1  1983     3817.530000
    26     1  1983     3632.490000
    27     1  1983     3375.640000
    28     1  1983     3324.080000
    29     1  1983     3195.760000
    30     1  1983     2986.980000
    31     1  1983     2700.560000
     1     2  1983     2450.740000
     2     2  1983     2357.580000
     3     2  1983     2211.950000
     4     2  1983     2284.240000
     5     2  1983     2460.140000
     6     2  1983     2307.050000
     7     2  1983     1988.580000
     8     2  1983     1715.610000
     9     2  1983     1559.110000
    10     2  1983     1715.610000
    11     2  1983     2083.620000
    12     2  1983     2074.890000
    13     2  1983     1862.240000
    14     2  1983     1788.250000
    15     2  1983     1656.130000
    16     2  1983     1524.830000
    17     2  1983     1405.770000
    18     2  1983     1483.410000
    19     2  1983     1845.680000
    20     2  1983     2027.220000
    21     2  1983     2101.110000
    22     2  1983     1912.330000
    23     2  1983     1776.050000
    24     2  1983     2252.490000
    25     2  1983     2564.680000
    26     2  1983     2794.580000
    27     2  1983     2834.600000
    28     2  1983     2637.080000
     1     3  1983     2243.450000
     2     3  1983     2018.600000
     3     3  1983     1963.020000
     4     3  1983     1829.190000
     5     3  1983     1933.380000
     6     3  1983     2339.150000
     7     3  1983     2446.040000
     8     3  1983     2637.080000
     9     3  1983     2739.970000
    10     3  1983     2749.870000
    11     3  1983     2676.070000
    12     3  1983     3038.570000
    13     3  1983     3487.920000
    14     3  1983     3880.290000
    15     3  1983     4182.410000
    16     3  1983     4254.840000
    17     3  1983     3981.810000
    18     3  1983     3405.000000
    19     3  1983     3059.320000
    20     3  1983     3190.460000
    21     3  1983     3481.960000
    22     3  1983     3755.320000
    23     3  1983     4162.770000
    24     3  1983     4254.840000
    25     3  1983     4175.860000
    26     3  1983     4013.810000
    27     3  1983     3346.410000
    28     3  1983     2690.750000
    29     3  1983     1804.570000
    30     3  1983     1524.830000
    31     3  1983     1648.270000
     1     4  1983     1679.810000
     2     4  1983     1624.790000
     3     4  1983     1620.900000
     4     4  1983     1747.730000
     5     4  1983     1707.630000
     6     4  1983     1624.790000
     7     4  1983     1870.550000
     8     4  1983     1763.880000
     9     4  1983     1617.000000
    10     4  1983     1648.270000
    11     4  1983     1804.570000
    12     4  1983     2118.670000
    13     4  1983     2171.750000
    14     4  1983     2149.560000
    15     4  1983     2243.450000
    16     4  1983     1988.580000
    17     4  1983     1759.840000
    18     4  1983     1566.770000
    19     4  1983     1376.690000
    20     4  1983     1287.590000
    21     4  1983     1305.190000
    22     4  1983     1147.350000
    23     4  1983     1127.450000
    24     4  1983     1225.120000
    25     4  1983     1391.190000
    26     4  1983     1723.620000
    27     4  1983     1671.900000
    28     4  1983     1461.030000
    29     4  1983     1322.910000
    30     4  1983     1180.880000
     1     5  1983     1238.880000
     2     5  1983     1305.190000
     3     5  1983     1055.810000
     4     5  1983     1049.400000
     5     5  1983     1134.060000
     6     5  1983     1036.640000
     7     5  1983      897.990000
     8     5  1983      802.070000
     9     5  1983      746.340000
    10     5  1983      711.090000
    11     5  1983      681.870000
    12     5  1983      660.970000
    13     5  1983      695.080000
    14     5  1983      724.560000
    15     5  1983      713.770000
    16     5  1983      625.100000
    17     5  1983      620.050000
    18     5  1983      819.140000
    19     5  1983      921.970000
    20     5  1983      921.970000
    21     5  1983      765.640000
    22     5  1983      622.580000
    23     5  1983      568.160000
    24     5  1983      544.170000
    25     5  1983      530.000000
    26     5  1983      689.780000
    27     5  1983      746.340000
    28     5  1983      671.380000
    29     5  1983      630.170000
    30     5  1983      597.560000
    31     5  1983      560.910000
     1     6  1983      530.000000
     2     6  1983      504.470000
     3     6  1983      486.260000
     4     6  1983      816.290000
     5     6  1983     1020.790000
     6     6  1983      912.950000
     7     6  1983      743.600000
     8     6  1983      671.380000
     9     6  1983      558.500000
    10     6  1983      511.370000
    11     6  1983      433.450000
    12     6  1983      344.230000
    13     6  1983      311.890000
    14     6  1983      344.230000
    15     6  1983      457.310000
    16     6  1983      448.570000
    17     6  1983      352.960000
    18     6  1983      308.560000
    19     6  1983      295.400000
    20     6  1983      288.910000
    21     6  1983      292.150000
    22     6  1983      303.600000
    23     6  1983      297.030000
    24     6  1983      282.480000
    25     6  1983      276.100000
    26     6  1983      263.540000
    27     6  1983      248.170000
    28     6  1983      234.670000
    29     6  1983      224.380000
    30     6  1983      215.720000
     1     7  1983      207.190000
     2     7  1983      198.810000
     3     7  1983      193.300000
     4     7  1983      187.860000
     5     7  1983      182.480000
     6     7  1983      177.160000
     7     7  1983      173.220000
     8     7  1983      178.480000
     9     7  1983      175.840000
    10     7  1983      173.220000
    11     7  1983      168.010000
    12     7  1983      162.880000
    13     7  1983      160.330000
    14     7  1983      156.550000
    15     7  1983      155.300000
    16     7  1983      146.640000
    17     7  1983      145.420000
    18     7  1983      137.000000
    19     7  1983      133.450000
    20     7  1983      133.450000
    21     7  1983      131.110000
    22     7  1983      127.630000
    23     7  1983      131.110000
    24     7  1983      146.640000
    25     7  1983      145.420000
    26     7  1983      138.190000
    27     7  1983      132.280000
    28     7  1983      127.630000
    29     7  1983      123.050000
    30     7  1983      115.190000
    31     7  1983      114.090000
     1     8  1983      110.800000
     2     8  1983      107.560000
     3     8  1983      105.420000
     4     8  1983      102.240000
     5     8  1983       99.100000
     6     8  1983       97.020000
     7     8  1983       98.060000
     8     8  1983       98.060000
     9     8  1983      101.180000
    10     8  1983      103.290000
    11     8  1983      104.350000
    12     8  1983      102.240000
    13     8  1983      101.180000
    14     8  1983       93.950000
    15     8  1983       87.930000
    16     8  1983       84.980000
    17     8  1983       83.040000
    18     8  1983       82.070000
    19     8  1983       80.160000
    20     8  1983       76.380000
    21     8  1983       75.450000
    22     8  1983       73.600000
    23     8  1983       73.600000
    24     8  1983       71.770000
    25     8  1983       70.860000
    26     8  1983       72.690000
    27     8  1983       74.530000
    28     8  1983       75.450000
    29     8  1983       76.380000
    30     8  1983       77.320000
    31     8  1983       81.110000
     1     9  1983       81.110000
     2     9  1983       78.260000
     3     9  1983       75.450000
     4     9  1983       71.770000
     5     9  1983       68.170000
     6     9  1983       67.280000
     7     9  1983       66.390000
     8     9  1983       68.170000
     9     9  1983       71.770000
    10     9  1983       78.260000
    11     9  1983       78.260000
    12     9  1983       79.210000
    13     9  1983       84.980000
    14     9  1983       87.930000
    15     9  1983       84.010000
    16     9  1983       81.110000
    17     9  1983       76.380000
    18     9  1983       73.600000
    19     9  1983       72.690000
    20     9  1983       80.160000
    21     9  1983       81.110000
    22     9  1983       81.110000
    23     9  1983       86.940000
    24     9  1983       81.110000
    25     9  1983       78.260000
    26     9  1983       76.380000
    27     9  1983       74.530000
    28     9  1983       71.770000
    29     9  1983       65.520000
    30     9  1983       62.910000
     1    10  1983       62.050000
     2    10  1983       66.390000
     3    10  1983       67.280000
     4    10  1983       69.960000
     5    10  1983       67.280000
     6    10  1983       66.390000
     7    10  1983       63.770000
     8    10  1983       59.500000
     9    10  1983       59.500000
    10    10  1983       62.050000
    11    10  1983       72.690000
    12    10  1983       77.320000
    13    10  1983       78.260000
    14    10  1983       77.320000
    15    10  1983       76.380000
    16    10  1983       71.770000
    17    10  1983       71.770000
    18    10  1983       71.770000
    19    10  1983       69.960000
    20    10  1983       72.690000
    21    10  1983       76.380000
    22    10  1983       78.260000
    23    10  1983       79.210000
    24    10  1983       84.010000
    25    10  1983       84.980000
    26    10  1983       86.940000
    27    10  1983       86.940000
