ASSISBRASIL	-69.550	-10.933
     1     1  1983        9.440000
     2     1  1983       14.990000
     3     1  1983       97.190000
     4     1  1983      151.710000
     5     1  1983      115.950000
     6     1  1983       61.160000
     7     1  1983       36.220000
     8     1  1983       35.680000
     9     1  1983       33.570000
    10     1  1983       31.020000
    11     1  1983       16.760000
    12     1  1983       13.000000
    13     1  1983       12.370000
    14     1  1983       10.280000
    15     1  1983       16.040000
    16     1  1983      535.600000
    17     1  1983      361.470000
    18     1  1983      122.910000
    19     1  1983      104.490000
    20     1  1983       84.240000
    21     1  1983       64.020000
    22     1  1983       54.300000
    23     1  1983      189.860000
    24     1  1983       94.530000
    25     1  1983      177.470000
    26     1  1983       65.470000
    27     1  1983       31.020000
    28     1  1983       79.320000
    29     1  1983       35.150000
    30     1  1983       24.430000
    31     1  1983       22.690000
     1     2  1983       94.530000
     2     2  1983      117.910000
     3     2  1983       68.430000
     4     2  1983       52.320000
     5     2  1983       16.760000
     6     2  1983       13.000000
     7     2  1983       41.830000
     8     2  1983       89.310000
     9     2  1983       16.040000
    10     2  1983       12.060000
    11     2  1983        8.910000
    12     2  1983        7.640000
    13     2  1983        6.470000
    14     2  1983        5.810000
    15     2  1983        4.240000
    16     2  1983        4.420000
    17     2  1983       10.560000
    18     2  1983       96.300000
    19     2  1983       60.450000
    20     2  1983       41.250000
    21     2  1983       19.030000
    22     2  1983       60.450000
    23     2  1983      110.140000
    24     2  1983      111.100000
    25     2  1983       52.320000
    26     2  1983       37.860000
    27     2  1983       40.110000
    28     2  1983       48.480000
     1     3  1983       34.090000
     2     3  1983       26.230000
     3     3  1983       27.150000
     4     3  1983       50.390000
     5     3  1983       38.420000
     6     3  1983       25.320000
     7     3  1983       19.030000
     8     3  1983       18.260000
     9     3  1983       35.680000
    10     3  1983       57.680000
    11     3  1983       75.340000
    12     3  1983       68.430000
    13     3  1983       70.700000
    14     3  1983       80.130000
    15     3  1983       82.580000
    16     3  1983       66.940000
    17     3  1983       37.860000
    18     3  1983       69.940000
    19     3  1983      113.990000
    20     3  1983      171.430000
    21     3  1983       85.910000
    22     3  1983       43.000000
    23     3  1983       33.050000
    24     3  1983       24.430000
    25     3  1983       21.020000
    26     3  1983       20.610000
    27     3  1983       19.420000
    28     3  1983       20.610000
    29     3  1983       27.620000
    30     3  1983       25.770000
    31     3  1983       41.830000
     1     4  1983       34.620000
     2     4  1983       21.850000
     3     4  1983       18.640000
     4     4  1983       17.130000
     5     4  1983       19.420000
     6     4  1983       36.760000
     7     4  1983       44.790000
     8     4  1983       44.790000
     9     4  1983       33.050000
    10     4  1983       28.100000
    11     4  1983       26.690000
    12     4  1983       24.870000
    13     4  1983       33.570000
    14     4  1983       22.690000
    15     4  1983       22.270000
    16     4  1983       21.020000
    17     4  1983       20.210000
    18     4  1983       16.400000
    19     4  1983       23.120000
    20     4  1983       19.420000
    21     4  1983       21.020000
    22     4  1983       35.680000
    23     4  1983       37.860000
    24     4  1983       38.420000
    25     4  1983       41.250000
    26     4  1983       20.210000
    27     4  1983       14.310000
    28     4  1983       10.560000
    29     4  1983        8.910000
    30     4  1983        7.400000
     1     5  1983       21.850000
     2     5  1983       28.570000
     3     5  1983       27.150000
     4     5  1983       21.850000
     5     5  1983       21.020000
     6     5  1983       33.050000
     7     5  1983       15.340000
     8     5  1983       14.990000
     9     5  1983       21.020000
    10     5  1983       13.320000
    11     5  1983        8.130000
    12     5  1983        6.690000
    13     5  1983       24.430000
    14     5  1983       41.830000
    15     5  1983      210.370000
    16     5  1983       91.900000
    17     5  1983       62.580000
    18     5  1983       54.300000
    19     5  1983       47.240000
