BRASILÉIA	-68.745	-11.018
     1     1  1983       66.330000
     2     1  1983       44.760000
     3     1  1983       67.560000
     4     1  1983      219.510000
     5     1  1983      221.520000
     6     1  1983      137.080000
     7     1  1983       86.430000
     8     1  1983       67.560000
     9     1  1983       60.320000
    10     1  1983       99.820000
    11     1  1983       68.800000
    12     1  1983       59.150000
    13     1  1983       66.950000
    14     1  1983       50.650000
    15     1  1983       43.730000
    16     1  1983      186.510000
    17     1  1983      568.670000
    18     1  1983      549.190000
    19     1  1983      211.550000
    20     1  1983      157.490000
    21     1  1983      125.710000
    22     1  1983      110.940000
    23     1  1983      154.010000
    24     1  1983      254.700000
    25     1  1983      137.900000
    26     1  1983      264.370000
    27     1  1983      160.130000
    28     1  1983      124.120000
    29     1  1983      250.450000
    30     1  1983      205.650000
    31     1  1983      140.400000
     1     2  1983       87.120000
     2     2  1983      235.800000
     3     2  1983      225.560000
     4     2  1983      142.910000
     5     2  1983       85.070000
     6     2  1983       67.560000
     7     2  1983       75.790000
     8     2  1983       52.300000
     9     2  1983       91.970000
    10     2  1983       96.220000
    11     2  1983       73.210000
    12     2  1983       76.430000
    13     2  1983       59.150000
    14     2  1983       44.240000
    15     2  1983       43.730000
    16     2  1983       37.710000
    17     2  1983       40.680000
    18     2  1983       79.710000
    19     2  1983      371.250000
    20     2  1983      230.660000
    21     2  1983      159.250000
    22     2  1983       66.330000
    23     2  1983      222.530000
    24     2  1983      416.190000
    25     2  1983      430.080000
    26     2  1983      199.830000
    27     2  1983      142.070000
    28     2  1983      149.700000
     1     3  1983      186.510000
     2     3  1983      130.530000
     3     3  1983       99.090000
     4     3  1983       98.370000
     5     3  1983      193.120000
     6     3  1983      146.290000
     7     3  1983       97.650000
     8     3  1983       71.940000
     9     3  1983       66.950000
    10     3  1983      132.150000
    11     3  1983      214.520000
    12     3  1983      286.400000
    13     3  1983      260.060000
    14     3  1983      265.460000
    15     3  1983      301.790000
    16     3  1983      316.030000
    17     3  1983      258.980000
    18     3  1983      137.900000
    19     3  1983      258.980000
    20     3  1983      421.960000
    21     3  1983      663.240000
    22     3  1983      330.540000
    23     3  1983      163.670000
    24     3  1983      126.510000
