XAPURI	-68.507	-10.650
     1     1  1983      122.330000
     2     1  1983      115.580000
     3     1  1983      108.960000
     4     1  1983      142.630000
     5     1  1983      266.210000
     6     1  1983      244.640000
     7     1  1983      197.980000
     8     1  1983      174.140000
     9     1  1983      145.040000
    10     1  1983      143.430000
    11     1  1983      166.580000
    12     1  1983      191.070000
    13     1  1983      209.360000
    14     1  1983      204.960000
    15     1  1983      190.220000
    16     1  1983      175.810000
    17     1  1983      391.520000
    18     1  1983      664.090000
    19     1  1983      513.060000
    20     1  1983      406.570000
    21     1  1983      370.340000
    22     1  1983      299.090000
    23     1  1983      258.640000
    24     1  1983      210.240000
    25     1  1983      179.170000
    26     1  1983      140.230000
    27     1  1983      194.520000
    28     1  1983      319.980000
    29     1  1983      309.980000
    30     1  1983      280.570000
    31     1  1983      244.640000
     1     2  1983      219.140000
     2     2  1983      198.850000
     3     2  1983      186.790000
     4     2  1983      162.350000
     5     2  1983      147.470000
     6     2  1983      128.460000
     7     2  1983      142.630000
     8     2  1983      187.650000
     9     2  1983      239.100000
    10     2  1983      178.330000
    11     2  1983      148.280000
    12     2  1983      135.470000
    13     2  1983      127.680000
    14     2  1983      122.330000
    15     2  1983      114.090000
    16     2  1983      109.690000
    17     2  1983      120.060000
    18     2  1983      147.470000
    19     2  1983      212.900000
    20     2  1983      278.640000
    21     2  1983      265.260000
    22     2  1983      299.090000
    23     2  1983      414.150000
    24     2  1983      567.250000
    25     2  1983      541.130000
    26     2  1983      476.350000
    27     2  1983      375.600000
    28     2  1983      313.970000
     1     3  1983      303.040000
     2     3  1983      300.080000
     3     3  1983      238.180000
     4     3  1983      210.240000
     5     3  1983      393.660000
     6     3  1983      422.870000
     7     3  1983      345.390000
     8     3  1983      220.040000
     9     3  1983      190.220000
    10     3  1983      167.430000
    11     3  1983      287.350000
    12     3  1983      405.490000
    13     3  1983      468.430000
    14     3  1983      469.560000
    15     3  1983      456.070000
    16     3  1983      501.500000
    17     3  1983      462.800000
    18     3  1983      376.650000
    19     3  1983      456.070000
    20     3  1983      631.710000
    21     3  1983      810.380000
    22     3  1983      802.390000
    23     3  1983      471.820000
    24     3  1983      262.420000
    25     3  1983      199.720000
    26     3  1983      153.200000
    27     3  1983      138.640000
    28     3  1983      133.900000
    29     3  1983      130.780000
    30     3  1983      150.730000
    31     3  1983      175.810000
     1     4  1983      204.960000
     2     4  1983      259.590000
     3     4  1983      200.590000
     4     4  1983      137.840000
     5     4  1983      118.560000
     6     4  1983      116.320000
     7     4  1983      317.970000
     8     4  1983      222.730000
     9     4  1983      173.300000
    10     4  1983      147.470000
    11     4  1983      127.680000
    12     4  1983      114.830000
    13     4  1983      133.900000
    14     4  1983      171.640000
    15     4  1983      158.170000
    16     4  1983      134.690000
    17     4  1983      128.460000
    18     4  1983      121.580000
    19     4  1983      113.350000
    20     4  1983      106.070000
    21     4  1983       98.250000
    22     4  1983       94.090000
    23     4  1983       87.960000
    24     4  1983       79.370000
    25     4  1983       71.740000
    26     4  1983       66.200000
    27     4  1983       78.730000
    28     4  1983      164.880000
    29     4  1983      140.230000
    30     4  1983      115.580000
     1     5  1983      103.200000
     2     5  1983      101.780000
     3     5  1983       99.660000
     4     5  1983       92.030000
     5     5  1983       83.300000
     6     5  1983       86.620000
     7     5  1983       78.730000
     8     5  1983       72.370000
     9     5  1983       69.260000
    10     5  1983      106.790000
    11     5  1983      102.490000
    12     5  1983       99.660000
    13     5  1983      106.070000
    14     5  1983      107.510000
    15     5  1983      367.190000
    16     5  1983      593.750000
    17     5  1983      304.030000
    18     5  1983      161.510000
    19     5  1983      116.320000
    20     5  1983      104.630000
    21     5  1983      100.360000
    22     5  1983       92.030000
    23     5  1983       96.160000
    24     5  1983      179.170000
    25     5  1983      203.210000
    26     5  1983      190.220000
    27     5  1983      169.130000
    28     5  1983      159.840000
    29     5  1983      123.850000
    30     5  1983      111.880000
    31     5  1983      101.780000
     1     6  1983      105.350000
     2     6  1983      116.320000
     3     6  1983      125.380000
     4     6  1983      150.730000
     5     6  1983      164.880000
     6     6  1983      163.190000
     7     6  1983      144.240000
     8     6  1983      137.050000
     9     6  1983      132.340000
    10     6  1983      126.920000
    11     6  1983      123.850000
    12     6  1983      114.830000
    13     6  1983      108.960000
    14     6  1983      100.360000
    15     6  1983       94.780000
    16     6  1983       89.310000
    17     6  1983       83.960000
    18     6  1983       79.370000
    19     6  1983       75.520000
    20     6  1983       71.740000
    21     6  1983       68.030000
    22     6  1983       66.200000
    23     6  1983       64.390000
    24     6  1983       62.600000
    25     6  1983       61.420000
    26     6  1983       60.240000
    27     6  1983       59.080000
    28     6  1983       57.920000
    29     6  1983       56.770000
    30     6  1983       55.630000
     1     7  1983       54.490000
     2     7  1983       53.370000
     3     7  1983       52.250000
     4     7  1983       50.590000
     5     7  1983       49.500000
     6     7  1983       48.410000
     7     7  1983       46.800000
     8     7  1983       45.210000
     9     7  1983       44.160000
    10     7  1983       42.600000
    11     7  1983       41.060000
    12     7  1983       40.550000
    13     7  1983       39.540000
    14     7  1983       39.540000
    15     7  1983       39.540000
    16     7  1983       39.540000
    17     7  1983       38.540000
    18     7  1983       38.540000
    19     7  1983       38.540000
    20     7  1983       38.540000
    21     7  1983       38.540000
    22     7  1983       38.540000
    23     7  1983       38.050000
    24     7  1983       35.600000
    25     7  1983       33.690000
    26     7  1983       33.690000
    27     7  1983       33.210000
    28     7  1983       31.810000
    29     7  1983       31.810000
    30     7  1983       31.810000
    31     7  1983       31.810000
     1     8  1983       31.810000
     2     8  1983       29.970000
     3     8  1983       30.890000
     4     8  1983       30.890000
     5     8  1983       31.350000
     6     8  1983       31.810000
     7     8  1983       32.280000
     8     8  1983       33.210000
     9     8  1983       33.690000
    10     8  1983       34.160000
    11     8  1983       34.160000
    12     8  1983       33.690000
    13     8  1983       33.690000
    14     8  1983       33.690000
    15     8  1983       33.210000
    16     8  1983       31.810000
    17     8  1983       31.350000
    18     8  1983       30.890000
    19     8  1983       30.890000
    20     8  1983       30.890000
    21     8  1983       29.970000
    22     8  1983       29.520000
    23     8  1983       29.070000
    24     8  1983       29.070000
    25     8  1983       29.070000
    26     8  1983       29.070000
    27     8  1983       29.070000
    28     8  1983       29.070000
    29     8  1983       29.070000
    30     8  1983       29.070000
    31     8  1983       29.070000
     1     9  1983       28.620000
     2     9  1983       28.620000
     3     9  1983       28.620000
     4     9  1983       30.890000
     5     9  1983       29.970000
     6     9  1983       29.520000
     7     9  1983       29.520000
     8     9  1983       29.070000
     9     9  1983       28.620000
    10     9  1983       28.620000
    11     9  1983       27.740000
    12     9  1983       27.300000
    13     9  1983       25.990000
    14     9  1983       25.560000
    15     9  1983       26.420000
    16     9  1983       26.860000
    17     9  1983       27.300000
    18     9  1983       26.420000
    19     9  1983       25.140000
    20     9  1983       24.710000
    21     9  1983       23.870000
    22     9  1983       22.630000
    23     9  1983       22.630000
    24     9  1983       21.820000
    25     9  1983       21.410000
    26     9  1983       21.410000
    27     9  1983       21.820000
    28     9  1983       23.870000
    29     9  1983       23.870000
    30     9  1983       23.040000
     1    10  1983       22.220000
     2    10  1983       21.410000
     3    10  1983       23.870000
     4    10  1983       27.740000
     5    10  1983       30.890000
     6    10  1983       29.070000
     7    10  1983       25.990000
     8    10  1983       24.290000
     9    10  1983       24.710000
    10    10  1983       24.710000
    11    10  1983       24.290000
    12    10  1983       23.450000
    13    10  1983       22.220000
    14    10  1983       21.820000
    15    10  1983       23.450000
    16    10  1983       25.990000
    17    10  1983       30.430000
    18    10  1983       29.070000
    19    10  1983       26.860000
    20    10  1983       25.560000
    21    10  1983       26.420000
    22    10  1983       26.860000
    23    10  1983       26.420000
    24    10  1983       25.990000
    25    10  1983       25.990000
    26    10  1983       25.560000
    27    10  1983       24.290000
    28    10  1983       30.890000
    29    10  1983       32.280000
    30    10  1983       28.620000
    31    10  1983       25.140000
     1    11  1983       21.820000
     2    11  1983       21.410000
     3    11  1983       21.410000
     4    11  1983       26.860000
     5    11  1983       41.570000
     6    11  1983       46.800000
     7    11  1983       43.630000
     8    11  1983       41.060000
     9    11  1983       31.350000
    10    11  1983       43.630000
    11    11  1983       63.200000
    12    11  1983       59.660000
    13    11  1983       89.310000
    14    11  1983      124.620000
    15    11  1983      173.300000
    16    11  1983      410.900000
    17    11  1983      340.260000
    18    11  1983      602.260000
    19    11  1983      689.330000
    20    11  1983      373.490000
    21    11  1983      250.210000
    22    11  1983      219.140000
    23    11  1983      126.150000
    24    11  1983       69.260000
    25    11  1983       63.800000
    26    11  1983       88.630000
    27    11  1983      141.030000
    28    11  1983      141.030000
    29    11  1983      104.630000
    30    11  1983      150.730000
     1    12  1983      157.330000
     2    12  1983      178.330000
     3    12  1983      180.850000
     4    12  1983      190.220000
     5    12  1983      198.850000
     6    12  1983      201.460000
     7    12  1983      310.970000
     8    12  1983      549.400000
     9    12  1983      570.840000
    10    12  1983      437.170000
    11    12  1983      263.360000
    12    12  1983      188.500000
    13    12  1983      150.730000
    14    12  1983      131.560000
    15    12  1983      120.820000
    16    12  1983      112.620000
    17    12  1983       96.860000
    18    12  1983       89.310000
    19    12  1983       81.330000
    20    12  1983       73.620000
    21    12  1983       65.600000
    22    12  1983       58.500000
    23    12  1983       59.080000
    24    12  1983       69.260000
    25    12  1983       92.710000
    26    12  1983      165.730000
    27    12  1983      156.500000
    28    12  1983      149.910000
    29    12  1983      142.630000
    30    12  1983      133.900000
    31    12  1983      127.680000
     1     1  1984      117.810000
     2     1  1984      135.470000
     3     1  1984      342.310000
     4     1  1984      340.260000
     5     1  1984      275.760000
     6     1  1984      216.460000
     7     1  1984      154.850000
     8     1  1984      242.790000
     9     1  1984      220.040000
    10     1  1984      197.980000
    11     1  1984      307.990000
    12     1  1984      300.080000
    13     1  1984      482.030000
    14     1  1984      593.750000
    15     1  1984      537.590000
    16     1  1984      427.260000
    17     1  1984      304.030000
    18     1  1984      262.420000
    19     1  1984      280.570000
    20     1  1984      280.570000
    21     1  1984      291.250000
    22     1  1984      323.000000
    23     1  1984      343.340000
    24     1  1984      356.760000
    25     1  1984      373.490000
    26     1  1984      392.590000
    27     1  1984      420.690000
    28     1  1984      453.830000
    29     1  1984      478.620000
    30     1  1984      516.540000
    31     1  1984      563.670000
     1     2  1984      580.460000
     2     2  1984      602.260000
     3     2  1984      625.540000
     4     2  1984      642.860000
     5     2  1984      657.820000
     6     2  1984      670.370000
     7     2  1984      705.890000
     8     2  1984      694.410000
     9     2  1984      674.150000
    10     2  1984      645.350000
    11     2  1984      560.090000
    12     2  1984      531.720000
    13     2  1984      503.800000
    14     2  1984      501.500000
    15     2  1984      501.500000
    16     2  1984      503.800000
    17     2  1984      593.750000
    18     2  1984      741.960000
    19     2  1984      813.050000
    20     2  1984      823.740000
    21     2  1984      536.420000
    22     2  1984      475.220000
    23     2  1984      450.480000
    24     2  1984      465.050000
    25     2  1984      483.170000
    26     2  1984      488.870000
    27     2  1984      492.310000
    28     2  1984      538.770000
    29     2  1984      580.460000
     1     3  1984      586.490000
     2     3  1984      575.640000
     3     3  1984      572.040000
     4     3  1984      528.200000
     5     3  1984      518.870000
     6     3  1984      508.420000
     7     3  1984      499.190000
     8     3  1984      483.170000
     9     3  1984      649.080000
    10     3  1984      695.680000
    11     3  1984      676.670000
    12     3  1984      661.580000
    13     3  1984      636.660000
    14     3  1984      616.930000
    15     3  1984      631.710000
    16     3  1984      645.350000
    17     3  1984      662.830000
    18     3  1984      676.670000
    19     3  1984      693.140000
    20     3  1984      704.610000
    21     3  1984      712.290000
    22     3  1984      725.140000
    23     3  1984      744.560000
    24     3  1984      764.120000
    25     3  1984      774.620000
    26     3  1984      757.580000
    27     3  1984      740.660000
    28     3  1984      714.850000
    29     3  1984      699.510000
    30     3  1984      677.930000
    31     3  1984      649.080000
     1     4  1984      628.000000
     2     4  1984      607.140000
     3     4  1984      640.380000
     4     4  1984      662.830000
     5     4  1984      736.770000
     6     4  1984      869.690000
     7     4  1984     1107.020000
     8     4  1984     1417.270000
     9     4  1984     1446.610000
    10     4  1984     1276.450000
    11     4  1984      952.580000
    12     4  1984      634.180000
    13     4  1984      535.240000
    14     4  1984      516.540000
    15     4  1984      493.450000
    16     4  1984      479.760000
    17     4  1984      506.110000
    18     4  1984      522.360000
    19     4  1984      547.030000
    20     4  1984      569.650000
    21     4  1984      605.920000
    22     4  1984      665.340000
    23     4  1984      680.460000
    24     4  1984      680.460000
    25     4  1984      666.600000
    26     4  1984      623.070000
    27     4  1984      564.860000
    28     4  1984      503.800000
    29     4  1984      416.330000
    30     4  1984      376.650000
     1     5  1984      356.760000
     2     5  1984      334.140000
     3     5  1984      306.010000
     4     5  1984      276.720000
     5     5  1984      253.010000
     6     5  1984      226.340000
     7     5  1984      205.840000
     8     5  1984      184.240000
     9     5  1984      170.810000
    10     5  1984      161.510000
    11     5  1984      154.020000
    12     5  1984      144.240000
    13     5  1984      137.840000
    14     5  1984      130.780000
    15     5  1984      126.920000
    16     5  1984      123.090000
    17     5  1984      119.310000
    18     5  1984      117.810000
    19     5  1984      114.830000
    20     5  1984      113.350000
    21     5  1984      111.880000
    22     5  1984      110.420000
    23     5  1984      108.960000
    24     5  1984      107.510000
    25     5  1984      104.630000
    26     5  1984      103.200000
    27     5  1984      100.360000
    28     5  1984       97.550000
    29     5  1984       93.400000
    30     5  1984       89.310000
    31     5  1984       86.620000
     1     6  1984       83.960000
     2     6  1984       82.640000
     3     6  1984       81.330000
     4     6  1984       81.330000
     5     6  1984       80.020000
     6     6  1984       78.730000
     7     6  1984       78.730000
     8     6  1984       78.730000
     9     6  1984       77.440000
    10     6  1984       76.160000
    11     6  1984       74.890000
    12     6  1984       72.370000
    13     6  1984       71.120000
    14     6  1984       69.880000
    15     6  1984       68.650000
    16     6  1984       68.650000
    17     6  1984       67.420000
    18     6  1984       66.810000
    19     6  1984       66.810000
    20     6  1984       66.200000
    21     6  1984       65.000000
    22     6  1984       64.390000
    23     6  1984       63.800000
    24     6  1984       62.600000
    25     6  1984       61.420000
    26     6  1984       60.240000
    27     6  1984       59.080000
    28     6  1984       57.920000
    29     6  1984       56.770000
    30     6  1984       55.630000
     1     7  1984       54.490000
     2     7  1984       53.370000
     3     7  1984       52.250000
     4     7  1984       51.140000
     5     7  1984       50.040000
     6     7  1984       50.040000
     7     7  1984       50.040000
     8     7  1984       50.040000
     9     7  1984       50.040000
    10     7  1984       50.040000
    11     7  1984       48.950000
    12     7  1984       48.950000
    13     7  1984       48.950000
    14     7  1984       48.410000
    15     7  1984       47.870000
    16     7  1984       47.870000
    17     7  1984       47.870000
    18     7  1984       46.800000
    19     7  1984       45.740000
    20     7  1984       44.680000
    21     7  1984       44.160000
    22     7  1984       43.630000
    23     7  1984       43.630000
    24     7  1984       42.600000
    25     7  1984       42.600000
    26     7  1984       41.570000
    27     7  1984       41.570000
    28     7  1984       40.550000
    29     7  1984       40.550000
    30     7  1984       40.550000
    31     7  1984       40.050000
     1     8  1984       39.040000
     2     8  1984       38.540000
     3     8  1984       38.540000
     4     8  1984       37.550000
     5     8  1984       37.550000
     6     8  1984       37.550000
     7     8  1984       37.550000
     8     8  1984       37.550000
     9     8  1984       37.550000
    10     8  1984       37.550000
    11     8  1984       36.570000
    12     8  1984       36.570000
    13     8  1984       36.570000
    14     8  1984       36.080000
    15     8  1984       35.600000
