RIOBRANCO	-67.800	-9.976
     1     1  1983      492.920000
     2     1  1983      423.670000
     3     1  1983      310.340000
     4     1  1983      256.230000
     5     1  1983      222.410000
     6     1  1983      333.250000
     7     1  1983      409.670000
     8     1  1983      382.310000
     9     1  1983      320.660000
    10     1  1983      272.470000
    11     1  1983      221.530000
    12     1  1983      195.700000
    13     1  1983      165.020000
    14     1  1983      198.220000
    15     1  1983      228.650000
    16     1  1983      360.140000
    17     1  1983      391.340000
    18     1  1983      506.820000
    19     1  1983      744.160000
    20     1  1983      824.140000
    21     1  1983      843.100000
    22     1  1983      828.860000
    23     1  1983      726.220000
    24     1  1983      632.360000
    25     1  1983      586.900000
    26     1  1983      545.560000
    27     1  1983      531.210000
    28     1  1983      491.670000
    29     1  1983      558.750000
    30     1  1983      637.970000
    31     1  1983      628.170000
     1     2  1983      633.760000
     2     2  1983      625.380000
     3     2  1983      639.380000
     4     2  1983      622.600000
     5     2  1983      596.420000
     6     2  1983      574.770000
     7     2  1983      540.320000
     8     2  1983      489.170000
     9     2  1983      452.270000
    10     2  1983      406.210000
    11     2  1983      352.520000
    12     2  1983      336.420000
    13     2  1983      292.130000
    14     2  1983      262.870000
    15     2  1983      224.190000
    16     2  1983      210.160000
    17     2  1983      189.880000
    18     2  1983      206.720000
    19     2  1983      189.050000
    20     2  1983      179.270000
    21     2  1983      254.350000
    22     2  1983      535.110000
    23     2  1983      500.480000
    24     2  1983      508.090000
    25     2  1983      597.790000
    26     2  1983      699.660000
    27     2  1983      670.660000
    28     2  1983      636.570000
     1     3  1983      562.740000
     2     3  1983      434.300000
     3     3  1983      406.210000
     4     3  1983      511.910000
     5     3  1983      601.890000
     6     3  1983      672.090000
     7     3  1983      692.360000
     8     3  1983      630.960000
     9     3  1983      607.380000
    10     3  1983      696.730000
    11     3  1983      756.230000
    12     3  1983      808.480000
    13     3  1983      873.510000
    14     3  1983      909.310000
    15     3  1983      892.960000
    16     3  1983      910.950000
    17     3  1983      868.680000
    18     3  1983      998.130000
    19     3  1983     1060.520000
    20     3  1983     1085.230000
    21     3  1983     1097.680000
    22     3  1983     1166.330000
    23     3  1983     1240.570000
    24     3  1983     1195.790000
    25     3  1983     1106.600000
    26     3  1983      906.030000
    27     3  1983      803.810000
    28     3  1983      762.300000
    29     3  1983      699.660000
    30     3  1983      607.380000
    31     3  1983      606.010000
     1     4  1983      593.700000
     2     4  1983      577.450000
     3     4  1983      553.460000
     4     4  1983      504.280000
     5     4  1983      465.650000
     6     4  1983      431.920000
     7     4  1983      426.020000
     8     4  1983      461.980000
     9     4  1983      481.680000
    10     4  1983      481.680000
    11     4  1983      505.550000
    12     4  1983      558.750000
    13     4  1983      586.900000
    14     4  1983      570.740000
    15     4  1983      566.730000
    16     4  1983      577.450000
    17     4  1983      548.190000
    18     4  1983      486.670000
    19     4  1983      416.640000
    20     4  1983      382.310000
    21     4  1983      350.350000
    22     4  1983      338.550000
    23     4  1983      357.950000
    24     4  1983      414.310000
    25     4  1983      461.980000
    26     4  1983      469.330000
    27     4  1983      468.100000
    28     4  1983      463.200000
    29     4  1983      437.860000
    30     4  1983      391.340000
     1     5  1983      361.230000
     2     5  1983      344.970000
     3     5  1983      331.130000
     4     5  1983      292.130000
     5     5  1983      238.600000
     6     5  1983      208.440000
     7     5  1983      196.540000
     8     5  1983      189.880000
     9     5  1983      175.260000
    10     5  1983      158.860000
    11     5  1983      152.050000
    12     5  1983      149.060000
    13     5  1983      184.950000
    14     5  1983      205.860000
    15     5  1983      227.750000
    16     5  1983      272.470000
    17     5  1983      399.310000
    18     5  1983      458.330000
    19     5  1983      387.940000
    20     5  1983      327.980000
    21     5  1983      260.960000
    22     5  1983      208.440000
    23     5  1983      187.410000
    24     5  1983      222.410000
    25     5  1983      227.750000
    26     5  1983      248.740000
    27     5  1983      266.690000
    28     5  1983      248.740000
