FLORIANOPEIXOTO	-67.368	-9.051
     1     1  1983     1485.490000
     2     1  1983     1389.520000
     3     1  1983     1228.880000
     4     1  1983     1103.870000
     5     1  1983     1023.080000
     6     1  1983      940.000000
     7     1  1983      883.100000
     8     1  1983      808.710000
     9     1  1983      747.980000
    10     1  1983      761.800000
    11     1  1983      763.350000
    12     1  1983      723.700000
    13     1  1983      671.860000
    14     1  1983      653.050000
    15     1  1983      714.690000
    16     1  1983      799.220000
    17     1  1983      866.670000
    18     1  1983      945.100000
    19     1  1983     1024.840000
    20     1  1983     1076.630000
    21     1  1983     1151.830000
    22     1  1983     1228.880000
    23     1  1983     1324.140000
    24     1  1983     1380.080000
    25     1  1983     1377.730000
    26     1  1983     1331.070000
    27     1  1983     1240.050000
    28     1  1983     1149.970000
    29     1  1983     1064.020000
    30     1  1983     1030.150000
    31     1  1983     1030.150000
     1     2  1983     1023.080000
     2     2  1983     1016.030000
     3     2  1983     1023.080000
     4     2  1983     1030.150000
     5     2  1983     1035.460000
     6     2  1983     1030.150000
     7     2  1983     1007.260000
     8     2  1983      970.780000
     9     2  1983      923.090000
    10     2  1983      874.870000
    11     2  1983      827.820000
    12     2  1983      786.660000
    13     2  1983      751.050000
    14     2  1983      714.690000
    15     2  1983      708.710000
    16     2  1983      725.210000
    17     2  1983      725.210000
    18     2  1983      677.690000
    19     2  1983      610.580000
    20     2  1983      576.190000
    21     2  1983      544.030000
    22     2  1983      540.070000
    23     2  1983      598.090000
    24     2  1983      713.190000
    25     2  1983      815.060000
    26     2  1983      934.910000
    27     2  1983     1019.550000
    28     2  1983     1053.270000
     1     3  1983     1031.920000
     2     3  1983      981.140000
     3     3  1983      888.050000
     4     3  1983      807.120000
     5     3  1983      778.850000
     6     3  1983      803.960000
     7     3  1983      874.870000
     8     3  1983      958.750000
     9     3  1983     1040.790000
    10     3  1983     1096.580000
    11     3  1983     1146.250000
    12     3  1983     1240.050000
    13     3  1983     1349.650000
    14     3  1983     1417.990000
    15     3  1983     1461.210000
    16     3  1983     1500.150000
    17     3  1983     1527.200000
    18     3  1983     1537.090000
    19     3  1983     1571.960000
    20     3  1983     1655.600000
    21     3  1983     1683.940000
    22     3  1983     1694.300000
    23     3  1983     1709.900000
    24     3  1983     1722.950000
    25     3  1983     1733.420000
    26     3  1983     1730.800000
    27     3  1983     1663.310000
    28     3  1983     1527.200000
    29     3  1983     1406.090000
    30     3  1983     1361.320000
    31     3  1983     1310.330000
     1     4  1983     1255.760000
     2     4  1983     1189.090000
     3     4  1983     1124.050000
     4     4  1983     1069.420000
     5     4  1983     1031.920000
     6     4  1983      998.510000
     7     4  1983      943.390000
     8     4  1983      878.160000
     9     4  1983      824.620000
    10     4  1983      772.630000
    11     4  1983      720.690000
    12     4  1983      682.080000
    13     4  1983      658.810000
    14     4  1983      660.250000
    15     4  1983      685.020000
    16     4  1983      723.700000
    17     4  1983      743.400000
    18     4  1983      737.310000
    19     4  1983      713.190000
    20     4  1983      677.690000
    21     4  1983      631.650000
    22     4  1983      600.860000
    23     4  1983      591.210000
    24     4  1983      593.960000
    25     4  1983      610.580000
    26     4  1983      644.450000
    27     4  1983      661.700000
    28     4  1983      661.700000
    29     4  1983      644.450000
    30     4  1983      611.970000
     1     5  1983      574.830000
     2     5  1983      546.680000
     3     5  1983      519.170000
     4     5  1983      501.190000
     5     5  1983      486.010000
     6     5  1983      469.810000
     7     5  1983      458.740000
     8     5  1983      445.380000
     9     5  1983      439.360000
    10     5  1983      444.170000
    11     5  1983      463.650000
    12     5  1983      488.530000
    13     5  1983      505.020000
    14     5  1983      505.020000
    15     5  1983      492.310000
    16     5  1983      474.770000
    17     5  1983      459.970000
    18     5  1983      484.760000
    19     5  1983      508.860000
    20     5  1983      508.860000
    21     5  1983      491.050000
    22     5  1983      474.770000
    23     5  1983      462.420000
    24     5  1983      447.790000
    25     5  1983      429.810000
    26     5  1983      406.360000
    27     5  1983      384.640000
    28     5  1983      363.470000
    29     5  1983      343.920000
    30     5  1983      332.210000
    31     5  1983      324.860000
     1     6  1983      313.460000
     2     6  1983      298.210000
     3     6  1983      279.390000
     4     6  1983      259.250000
     5     6  1983      240.710000
     6     6  1983      234.370000
     7     6  1983      241.620000
     8     6  1983      251.760000
     9     6  1983      249.900000
    10     6  1983      241.620000
    11     6  1983      229.890000
    12     6  1983      217.550000
    13     6  1983      205.520000
    14     6  1983      190.520000
    15     6  1983      180.010000
    16     6  1983      173.680000
    17     6  1983      168.990000
    18     6  1983      165.140000
    19     6  1983      160.560000
