VALPARAÍSO-MONTANTE	-67.400	-8.683
     1     1  1983     3926.110000
     2     1  1983     3879.470000
     3     1  1983     3644.320000
     4     1  1983     3268.680000
     5     1  1983     3035.250000
     6     1  1983     3004.020000
     7     1  1983     3151.010000
     8     1  1983     3290.270000
     9     1  1983     3410.180000
    10     1  1983     3481.920000
    11     1  1983     3515.250000
    12     1  1983     3465.300000
    13     1  1983     3333.660000
    14     1  1983     3124.540000
    15     1  1983     2834.760000
    16     1  1983     2576.860000
    17     1  1983     2630.510000
    18     1  1983     3156.320000
    19     1  1983     3844.660000
    20     1  1983     4168.970000
    21     1  1983     4405.930000
    22     1  1983     4592.120000
    23     1  1983     4737.160000
    24     1  1983     4832.820000
    25     1  1983     4864.900000
    26     1  1983     4781.700000
    27     1  1983     4598.380000
    28     1  1983     4375.230000
    29     1  1983     4180.980000
    30     1  1983     4037.860000
    31     1  1983     3891.110000
     1     2  1983     3701.080000
     2     2  1983     3504.120000
     3     2  1983     3328.220000
     4     2  1983     3198.920000
     5     2  1983     3135.120000
     6     2  1983     3198.920000
     7     2  1983     3177.590000
     8     2  1983     2983.270000
     9     2  1983     2724.330000
    10     2  1983     2480.570000
    11     2  1983     2292.850000
    12     2  1983     2329.870000
    13     2  1983     2395.290000
    14     2  1983     2357.810000
    15     2  1983     2288.240000
    16     2  1983     2210.510000
    17     2  1983     2058.600000
    18     2  1983     1924.270000
    19     2  1983     1852.310000
    20     2  1983     1924.270000
    21     2  1983     2292.850000
    22     2  1983     2538.150000
    23     2  1983     2814.530000
    24     2  1983     2709.420000
    25     2  1983     2931.680000
    26     2  1983     3177.590000
    27     2  1983     3333.660000
    28     2  1983     3426.680000
     1     3  1983     3388.240000
     2     3  1983     3188.240000
     3     3  1983     2880.490000
     4     3  1983     2596.320000
     5     3  1983     2348.480000
     6     3  1983     2279.040000
     7     3  1983     2418.850000
     8     3  1983     2533.330000
     9     3  1983     2630.510000
    10     3  1983     2754.250000
    11     3  1983     2875.390000
    12     3  1983     2967.750000
    13     3  1983     3252.520000
    14     3  1983     3644.320000
    15     3  1983     3885.290000
    16     3  1983     4079.370000
    17     3  1983     4162.970000
    18     3  1983     4133.030000
    19     3  1983     4031.940000
    20     3  1983     4043.780000
    21     3  1983     4115.110000
    22     3  1983     4168.970000
    23     3  1983     4308.020000
    24     3  1983     4455.250000
    25     3  1983     4542.140000
    26     3  1983     4579.600000
    27     3  1983     4554.610000
    28     3  1983     4289.770000
    29     3  1983     3990.640000
    30     3  1983     3432.180000
    31     3  1983     3014.410000
     1     4  1983     2754.250000
     2     4  1983     2709.420000
     3     4  1983     2645.230000
     4     4  1983     2562.320000
     5     4  1983     2523.700000
     6     4  1983     2466.270000
     7     4  1983     2357.810000
     8     4  1983     2343.820000
     9     4  1983     2320.590000
    10     4  1983     2246.940000
    11     4  1983     2210.510000
    12     4  1983     2274.440000
    13     4  1983     2471.030000
    14     4  1983     2650.140000
    15     4  1983     2699.500000
    16     4  1983     2729.300000
    17     4  1983     2764.260000
    18     4  1983     2635.410000
    19     4  1983     2418.850000
    20     4  1983     2689.590000
    21     4  1983     2552.640000
    22     4  1983     2509.290000
    23     4  1983     2395.290000
    24     4  1983     2292.850000
    25     4  1983     2357.810000
    26     4  1983     2485.350000
    27     4  1983     2749.250000
    28     4  1983     2824.640000
    29     4  1983     2749.250000
    30     4  1983     2615.830000
     1     5  1983     2219.590000
     2     5  1983     2089.490000
     3     5  1983     2142.900000
     4     5  1983     2027.920000
     5     5  1983     1869.130000
     6     5  1983     1823.030000
     7     5  1983     1777.430000
     8     5  1983     1619.890000
     9     5  1983     1468.830000
    10     5  1983     1368.080000
    11     5  1983     1274.060000
    12     5  1983     1214.180000
    13     5  1983     1172.680000
    14     5  1983     1141.980000
    15     5  1983     1148.770000
    16     5  1983     1169.260000
    17     5  1983     1158.990000
    18     5  1983     1158.990000
    19     5  1983     1263.400000
    20     5  1983     1416.190000
    21     5  1983     1427.400000
    22     5  1983     1306.270000
    23     5  1983     1158.990000
    24     5  1983     1078.340000
    25     5  1983     1035.720000
    26     5  1983     1058.580000
    27     5  1983     1104.940000
    28     5  1983     1148.770000
    29     5  1983     1155.580000
    30     5  1983     1131.820000
    31     5  1983     1084.960000
     1     6  1983     1019.540000
     2     6  1983      981.140000
     3     6  1983      959.050000
     4     6  1983      930.970000
     5     6  1983      962.190000
     6     6  1983     1274.060000
     7     6  1983     1335.200000
     8     6  1983     1200.280000
     9     6  1983     1065.150000
    10     6  1983      971.650000
    11     6  1983      906.310000
    12     6  1983      840.030000
    13     6  1983      781.700000
    14     6  1983      741.980000
    15     6  1983      700.430000
    16     6  1983      654.630000
    17     6  1983      623.120000
    18     6  1983      597.390000
    19     6  1983      572.140000
    20     6  1983      552.280000
    21     6  1983      527.900000
    22     6  1983      508.740000
    23     6  1983      494.580000
    24     6  1983      482.910000
    25     6  1983      473.670000
    26     6  1983      462.220000
    27     6  1983      450.900000
    28     6  1983      437.480000
    29     6  1983      422.050000
    30     6  1983      406.860000
     1     7  1983      394.030000
     2     7  1983      381.390000
     3     7  1983      368.930000
     4     7  1983      358.690000
     5     7  1983      348.570000
     6     7  1983      340.570000
     7     7  1983      332.650000
     8     7  1983      324.820000
     9     7  1983      313.220000
    10     7  1983      305.590000
    11     7  1983      298.040000
    12     7  1983      290.570000
    13     7  1983      283.190000
    14     7  1983      277.710000
    15     7  1983      274.090000
    16     7  1983      268.690000
    17     7  1983      261.560000
    18     7  1983      258.030000
    19     7  1983      256.270000
    20     7  1983      259.790000
    21     7  1983      258.030000
    22     7  1983      256.270000
    23     7  1983      259.790000
    24     7  1983      259.790000
    25     7  1983      254.510000
    26     7  1983      249.290000
    27     7  1983      252.770000
    28     7  1983      256.270000
    29     7  1983      256.270000
    30     7  1983      251.020000
    31     7  1983      244.110000
     1     8  1983      235.580000
     2     8  1983      227.190000
     3     8  1983      220.580000
     4     8  1983      215.670000
     5     8  1983      210.810000
     6     8  1983      207.600000
     7     8  1983      204.410000
     8     8  1983      201.250000
     9     8  1983      198.100000
    10     8  1983      194.980000
    11     8  1983      191.880000
    12     8  1983      190.330000
    13     8  1983      190.330000
    14     8  1983      190.330000
    15     8  1983      188.800000
    16     8  1983      182.700000
    17     8  1983      176.700000
    18     8  1983      172.250000
    19     8  1983      169.310000
    20     8  1983      166.400000
    21     8  1983      162.070000
    22     8  1983      159.210000
    23     8  1983      156.380000
    24     8  1983      153.570000
    25     8  1983      150.770000
    26     8  1983      149.390000
    27     8  1983      149.390000
    28     8  1983      153.570000
    29     8  1983      150.770000
    30     8  1983      148.010000
    31     8  1983      145.260000
     1     9  1983      146.630000
     2     9  1983      150.770000
     3     9  1983      157.790000
     4     9  1983      162.070000
     5     9  1983      162.070000
     6     9  1983      157.790000
     7     9  1983      148.010000
     8     9  1983      142.540000
     9     9  1983      138.500000
    10     9  1983      135.830000
    11     9  1983      133.190000
    12     9  1983      131.880000
    13     9  1983      135.830000
    14     9  1983      138.500000
    15     9  1983      141.190000
    16     9  1983      143.900000
    17     9  1983      146.630000
    18     9  1983      146.630000
    19     9  1983      143.900000
    20     9  1983      141.190000
    21     9  1983      138.500000
    22     9  1983      138.500000
    23     9  1983      138.500000
    24     9  1983      141.190000
    25     9  1983      143.900000
    26     9  1983      145.260000
    27     9  1983      141.190000
    28     9  1983      137.160000
