LÁBREA	-64.800	-7.252
     1     1  1983     7539.110000
     2     1  1983     7602.540000
     3     1  1983     7666.250000
     4     1  1983     7762.310000
     5     1  1983     7858.970000
     6     1  1983     8005.090000
     7     1  1983     8111.460000
     8     1  1983     8193.760000
     9     1  1983     8251.620000
    10     1  1983     8367.960000
    11     1  1983     8459.940000
    12     1  1983     8535.570000
    13     1  1983     8586.180000
    14     1  1983     8636.940000
    15     1  1983     8687.850000
    16     1  1983     8738.910000
    17     1  1983     8781.580000
    18     1  1983     8850.060000
    19     1  1983     8884.400000
    20     1  1983     8918.810000
    21     1  1983     8961.910000
    22     1  1983     8987.820000
    23     1  1983     9039.760000
    24     1  1983     9091.850000
    25     1  1983     9126.660000
    26     1  1983     9161.530000
    27     1  1983     9187.740000
    28     1  1983     9231.490000
    29     1  1983     9257.790000
    30     1  1983     9284.130000
    31     1  1983     9301.710000
     1     2  1983     9381.020000
     2     2  1983     9389.860000
     3     2  1983     9398.700000
     4     2  1983     9407.540000
     5     2  1983     9442.950000
     6     2  1983     9460.680000
     7     2  1983     9469.550000
     8     2  1983     9478.430000
     9     2  1983     9478.430000
    10     2  1983     9469.550000
    11     2  1983     9451.810000
    12     2  1983     9425.240000
    13     2  1983     9434.090000
    14     2  1983     9425.240000
    15     2  1983     9425.240000
    16     2  1983     9389.860000
    17     2  1983     9363.370000
    18     2  1983     9328.110000
    19     2  1983     9301.710000
    20     2  1983     9249.020000
    21     2  1983     9213.980000
    22     2  1983     9179.000000
    23     2  1983     9144.090000
    24     2  1983     9065.790000
    25     2  1983     9005.120000
    26     2  1983     8918.810000
    27     2  1983     8858.640000
    28     2  1983     8773.040000
     1     3  1983     8721.870000
     2     3  1983     8670.860000
     3     3  1983     8628.470000
     4     3  1983     8603.080000
     5     3  1983     8594.630000
     6     3  1983     8577.730000
     7     3  1983     8552.420000
     8     3  1983     8518.730000
     9     3  1983     8476.710000
    10     3  1983     8476.710000
    11     3  1983     8451.550000
    12     3  1983     8434.800000
    13     3  1983     8443.170000
    14     3  1983     8451.550000
    15     3  1983     8485.110000
    16     3  1983     8510.320000
    17     3  1983     8543.990000
    18     3  1983     8594.630000
    19     3  1983     8670.860000
