MANACAPURU	-60.609	-3.308
     1     1  1983    87065.800000
     2     1  1983    87476.800000
     3     1  1983    87957.300000
     4     1  1983    88301.100000
     5     1  1983    88714.300000
     6     1  1983    89059.200000
     7     1  1983    89335.500000
     8     1  1983    89681.400000
     9     1  1983    89958.400000
    10     1  1983    90235.800000
    11     1  1983    90444.100000
    12     1  1983    90791.600000
    13     1  1983    91000.300000
    14     1  1983    91209.200000
    15     1  1983    91418.300000
    16     1  1983    91627.600000
    17     1  1983    91837.100000
    18     1  1983    92116.700000
    19     1  1983    92326.600000
    20     1  1983    92536.700000
    21     1  1983    92747.000000
    22     1  1983    92887.300000
    23     1  1983    93168.100000
    24     1  1983    93308.600000
    25     1  1983    93308.600000
    26     1  1983    93378.900000
    27     1  1983    93449.200000
    28     1  1983    93589.900000
    29     1  1983    93660.300000
    30     1  1983    93730.700000
    31     1  1983    93801.100000
     1     2  1983    93871.500000
     2     2  1983    94012.500000
     3     2  1983    94012.500000
     4     2  1983    94012.500000
     5     2  1983    94012.500000
     6     2  1983    94083.000000
     7     2  1983    94224.000000
     8     2  1983    94224.000000
     9     2  1983    94224.000000
    10     2  1983    94224.000000
    11     2  1983    94153.500000
    12     2  1983    94153.500000
    13     2  1983    94012.500000
    14     2  1983    93942.000000
    15     2  1983    93871.500000
    16     2  1983    93871.500000
    17     2  1983    93942.000000
    18     2  1983    93942.000000
    19     2  1983    94012.500000
    20     2  1983    94012.500000
    21     2  1983    94083.000000
    22     2  1983    94012.500000
    23     2  1983    94012.500000
    24     2  1983    93942.000000
    25     2  1983    93801.100000
    26     2  1983    93730.700000
    27     2  1983    93589.900000
    28     2  1983    93519.500000
     1     3  1983    93449.200000
     2     3  1983    93519.500000
     3     3  1983    93519.500000
     4     3  1983    93449.200000
     5     3  1983    93449.200000
     6     3  1983    93449.200000
     7     3  1983    93449.200000
     8     3  1983    93519.500000
     9     3  1983    93660.300000
    10     3  1983    93801.100000
    11     3  1983    93730.700000
    12     3  1983    93801.100000
    13     3  1983    93871.500000
    14     3  1983    93871.500000
    15     3  1983    94012.500000
    16     3  1983    94012.500000
    17     3  1983    94083.000000
    18     3  1983    94224.000000
    19     3  1983    94365.100000
    20     3  1983    94647.700000
    21     3  1983    94789.100000
    22     3  1983    94859.800000
    23     3  1983    95355.400000
    24     3  1983    95568.100000
    25     3  1983    95852.000000
    26     3  1983    96136.200000
    27     3  1983    96563.100000
    28     3  1983    96848.200000
    29     3  1983    97133.500000
    30     3  1983    97347.800000
    31     3  1983    97562.200000
     1     4  1983    98063.100000
     2     4  1983    98349.900000
     3     4  1983    98708.700000
     4     4  1983    99140.000000
     5     4  1983    99355.900000
     6     4  1983    99716.200000
     7     4  1983   100005.000000
     8     4  1983   100294.000000
     9     4  1983   100510.000000
    10     4  1983   100872.000000
    11     4  1983   101235.000000
    12     4  1983   101525.000000
    13     4  1983   101743.000000
    14     4  1983   102034.000000
    15     4  1983   102398.000000
    16     4  1983   102543.000000
    17     4  1983   102908.000000
    18     4  1983   103127.000000
    19     4  1983   103566.000000
    20     4  1983   103932.000000
    21     4  1983   104445.000000
    22     4  1983   104886.000000
    23     4  1983   105327.000000
    24     4  1983   105908.000000
    25     4  1983   106577.000000
    26     4  1983   107439.000000
    27     4  1983   108015.000000
    28     4  1983   108592.000000
    29     4  1983   109170.000000
    30     4  1983   109557.000000
     1     5  1983   110040.000000
     2     5  1983   110428.000000
     3     5  1983   110719.000000
     4     5  1983   111301.000000
     5     5  1983   111885.000000
     6     5  1983   112177.000000
     7     5  1983   112568.000000
     8     5  1983   112958.000000
     9     5  1983   113545.000000
    10     5  1983   114232.000000
    11     5  1983   114821.000000
    12     5  1983   115215.000000
    13     5  1983   115609.000000
    14     5  1983   116102.000000
    15     5  1983   116597.000000
    16     5  1983   116894.000000
    17     5  1983   117290.000000
    18     5  1983   117687.000000
    19     5  1983   118084.000000
    20     5  1983   118482.000000
    21     5  1983   118780.000000
    22     5  1983   119179.000000
    23     5  1983   119379.000000
    24     5  1983   119678.000000
    25     5  1983   120278.000000
    26     5  1983   120478.000000
    27     5  1983   120679.000000
    28     5  1983   120979.000000
    29     5  1983   121180.000000
    30     5  1983   121481.000000
    31     5  1983   121582.000000
     1     6  1983   121682.000000
     2     6  1983   121783.000000
     3     6  1983   121883.000000
     4     6  1983   121883.000000
     5     6  1983   121883.000000
     6     6  1983   121883.000000
     7     6  1983   121883.000000
     8     6  1983   121783.000000
     9     6  1983   121783.000000
    10     6  1983   121783.000000
    11     6  1983   121582.000000
    12     6  1983   121481.000000
    13     6  1983   121481.000000
    14     6  1983   121381.000000
    15     6  1983   121280.000000
    16     6  1983   121180.000000
    17     6  1983   120979.000000
    18     6  1983   120779.000000
    19     6  1983   120578.000000
    20     6  1983   120378.000000
    21     6  1983   120178.000000
    22     6  1983   119978.000000
    23     6  1983   119578.000000
    24     6  1983   119379.000000
    25     6  1983   119079.000000
    26     6  1983   118880.000000
    27     6  1983   118681.000000
    28     6  1983   118283.000000
    29     6  1983   117885.000000
    30     6  1983   117488.000000
     1     7  1983   117191.000000
     2     7  1983   116894.000000
     3     7  1983   116498.000000
     4     7  1983   116102.000000
     5     7  1983   115510.000000
     6     7  1983   115018.000000
     7     7  1983   114526.000000
     8     7  1983   114036.000000
     9     7  1983   113448.000000
    10     7  1983   112958.000000
    11     7  1983   112372.000000
    12     7  1983   111788.000000
    13     7  1983   111204.000000
    14     7  1983   110428.000000
    15     7  1983   109653.000000
    16     7  1983   108881.000000
    17     7  1983   108111.000000
    18     7  1983   107343.000000
    19     7  1983   106481.000000
    20     7  1983   105622.000000
    21     7  1983   104886.000000
    22     7  1983   104298.000000
    23     7  1983   103492.000000
    24     7  1983   102470.000000
    25     7  1983   101598.000000
    26     7  1983   100800.000000
    27     7  1983    99860.400000
    28     7  1983    98708.700000
    29     7  1983    97633.700000
    30     7  1983    96420.800000
    31     7  1983    95142.900000
     1     8  1983    93660.300000
     2     8  1983    92256.600000
     3     8  1983    90930.700000
     4     8  1983    89543.000000
     5     8  1983    88232.300000
     6     8  1983    86792.200000
     7     8  1983    85973.500000
     8     8  1983    84954.200000
     9     8  1983    83804.600000
    10     8  1983    82460.000000
    11     8  1983    80990.500000
    12     8  1983    79729.600000
    13     8  1983    78607.900000
    14     8  1983    77623.200000
    15     8  1983    76578.200000
    16     8  1983    75603.400000
    17     8  1983    74568.900000
    18     8  1983    73539.900000
    19     8  1983    72707.900000
    20     8  1983    71752.400000
    21     8  1983    70991.500000
