CUCUÍ	-66.853	1.215
     1     1  1983     1780.620000
     2     1  1983     1916.170000
     3     1  1983     2091.210000
     4     1  1983     2222.470000
     5     1  1983     2288.810000
     6     1  1983     2307.850000
     7     1  1983     2326.930000
     8     1  1983     2326.930000
     9     1  1983     2326.930000
    10     1  1983     2374.780000
    11     1  1983     2451.830000
    12     1  1983     2500.280000
    13     1  1983     2548.960000
    14     1  1983     2510.000000
    15     1  1983     2422.870000
    16     1  1983     2279.310000
    17     1  1983     2081.910000
    18     1  1983     1916.170000
    19     1  1983     1676.320000
    20     1  1983     1508.160000
    21     1  1983     1353.220000
    22     1  1983     1210.960000
    23     1  1983     1095.930000
    24     1  1983     1013.710000
    25     1  1983      933.341000
    26     1  1983      854.907000
    27     1  1983      799.119000
    28     1  1983      730.922000
    29     1  1983      677.638000
    30     1  1983      638.441000
    31     1  1983      593.567000
     1     2  1983      555.858000
     2     2  1983      531.116000
     3     2  1983      512.773000
     4     2  1983      494.615000
     5     2  1983      476.645000
     6     2  1983      452.985000
     7     2  1983      447.124000
     8     2  1983      452.985000
     9     2  1983      482.614000
    10     2  1983      555.858000
    11     2  1983      619.095000
    12     2  1983      664.498000
    13     2  1983      684.235000
    14     2  1983      684.235000
    15     2  1983      684.235000
    16     2  1983      677.638000
    17     2  1983      651.432000
    18     2  1983      625.525000
    19     2  1983      599.920000
    20     2  1983      574.625000
    21     2  1983      549.643000
    22     2  1983      524.981000
    23     2  1983      488.604000
    24     2  1983      464.772000
    25     2  1983      476.645000
    26     2  1983      500.647000
    27     2  1983      512.773000
    28     2  1983      543.447000
     1     3  1983      587.234000
     2     3  1983      606.293000
     3     3  1983      638.441000
     4     3  1983      677.638000
     5     3  1983      717.494000
     6     3  1983      730.922000
     7     3  1983      710.806000
     8     3  1983      677.638000
     9     3  1983      631.974000
    10     3  1983      587.234000
    11     3  1983      549.643000
    12     3  1983      543.447000
    13     3  1983      531.116000
    14     3  1983      531.116000
    15     3  1983      549.643000
    16     3  1983      568.349000
    17     3  1983      580.919000
    18     3  1983      580.919000
    19     3  1983      599.920000
    20     3  1983      619.095000
    21     3  1983      644.927000
    22     3  1983      651.432000
    23     3  1983      664.498000
    24     3  1983      697.484000
    25     3  1983      771.632000
    26     3  1983      847.875000
    27     3  1983      883.200000
    28     3  1983      947.811000
    29     3  1983      984.263000
    30     3  1983      991.601000
    31     3  1983     1013.710000
     1     4  1983     1118.680000
     2     4  1983     1187.690000
     3     4  1983     1257.870000
     4     4  1983     1329.190000
     5     4  1983     1401.620000
