TARAQUÁ	-68.539	0.130
     1     1  1983     1948.330000
     2     1  1983     1841.040000
     3     1  1983     1795.760000
     4     1  1983     1773.280000
     5     1  1983     1803.280000
     6     1  1983     1940.590000
     7     1  1983     2113.510000
     8     1  1983     2242.720000
     9     1  1983     2383.140000
    10     1  1983     2416.640000
    11     1  1983     2425.050000
    12     1  1983     2399.870000
    13     1  1983     2308.400000
    14     1  1983     2210.150000
    15     1  1983     2105.530000
    16     1  1983     2026.350000
    17     1  1983     1925.150000
    18     1  1983     1833.460000
    19     1  1983     1758.350000
    20     1  1983     1655.190000
    21     1  1983     1490.860000
    22     1  1983     1312.980000
    23     1  1983     1156.430000
    24     1  1983     1019.590000
    25     1  1983      900.896000
    26     1  1983      809.968000
    27     1  1983      738.796000
    28     1  1983      712.082000
    29     1  1983      675.306000
    30     1  1983      634.181000
    31     1  1983      579.235000
     1     2  1983      512.048000
     2     2  1983      417.226000
     3     2  1983      383.051000
     4     2  1983      516.743000
     5     2  1983      554.883000
     6     2  1983      690.977000
     7     2  1983      680.515000
     8     2  1983      675.306000
     9     2  1983      634.181000
    10     2  1983      598.999000
    11     2  1983      521.455000
    12     2  1983      456.970000
    13     2  1983      434.722000
    14     2  1983      349.985000
    15     2  1983      314.143000
    16     2  1983      310.251000
    17     2  1983      306.378000
    18     2  1983      298.685000
    19     2  1983      298.685000
    20     2  1983      298.685000
    21     2  1983      329.893000
    22     2  1983      378.857000
    23     2  1983      461.470000
    24     2  1983      498.058000
    25     2  1983      512.048000
    26     2  1983      589.086000
    27     2  1983      670.113000
    28     2  1983      826.739000
     1     3  1983      854.977000
     2     3  1983      866.372000
     3     3  1983      872.091000
     4     3  1983      866.372000
     5     3  1983      793.325000
     6     3  1983      722.723000
     7     3  1983      664.934000
     8     3  1983      629.109000
     9     3  1983      603.979000
    10     3  1983      579.235000
    11     3  1983      579.235000
    12     3  1983      574.334000
    13     3  1983      564.577000
    14     3  1983      598.999000
    15     3  1983      629.109000
    16     3  1983      649.489000
    17     3  1983      685.739000
    18     3  1983      706.783000
    19     3  1983      717.395000
    20     3  1983      706.783000
    21     3  1983      675.306000
    22     3  1983      624.052000
    23     3  1983      589.086000
    24     3  1983      574.334000
    25     3  1983      598.999000
    26     3  1983      717.395000
    27     3  1983      849.301000
    28     3  1983      895.107000
    29     3  1983      877.824000
    30     3  1983      866.372000
    31     3  1983      832.358000
     1     4  1983      815.544000
     2     4  1983      793.325000
     3     4  1983      776.814000
     4     4  1983      787.807000
     5     4  1983      860.668000
     6     4  1983      953.626000
     7     4  1983      983.405000
     8     4  1983     1043.990000
     9     4  1983     1137.390000
    10     4  1983     1333.070000
    11     4  1983     1575.790000
    12     4  1983     1818.340000
    13     4  1983     1971.610000
    14     4  1983     2113.510000
    15     4  1983     2324.930000
    16     4  1983     2912.860000
    17     4  1983     3357.190000
    18     4  1983     3666.390000
    19     4  1983     3824.800000
    20     4  1983     3874.820000
    21     4  1983     3995.860000
    22     4  1983     4097.790000
    23     4  1983     4367.300000
    24     4  1983     4462.090000
    25     4  1983     4621.760000
    26     4  1983     4600.350000
    27     4  1983     4557.640000
    28     4  1983     4546.980000
    29     4  1983     4589.660000
    30     4  1983     4611.050000
     1     5  1983     4611.050000
     2     5  1983     4578.970000
     3     5  1983     4557.640000
     4     5  1983     4643.210000
     5     5  1983     4936.400000
     6     5  1983     5281.270000
     7     5  1983     5428.490000
     8     5  1983     5451.270000
     9     5  1983     5428.490000
    10     5  1983     5428.490000
    11     5  1983     5360.350000
    12     5  1983     5315.110000
    13     5  1983     5315.110000
    14     5  1983     5281.270000
    15     5  1983     5213.840000
    16     5  1983     5146.730000
    17     5  1983     5046.690000
    18     5  1983     4936.400000
    19     5  1983     4870.660000
    20     5  1983     4816.130000
    21     5  1983     4653.950000
    22     5  1983     4536.340000
    23     5  1983     4398.810000
    24     5  1983     4283.690000
    25     5  1983     4200.690000
    26     5  1983     4128.560000
    27     5  1983     4067.110000
    28     5  1983     4067.110000
    29     5  1983     4159.410000
    30     5  1983     4252.490000
    31     5  1983     4294.110000
     1     6  1983     4200.690000
     2     6  1983     4169.720000
     3     6  1983     4077.330000
     4     6  1983     3975.590000
     5     6  1983     3765.100000
     6     6  1983     3666.390000
     7     6  1983     3617.400000
     8     6  1983     3755.190000
     9     6  1983     3935.170000
    10     6  1983     4108.040000
    11     6  1983     4180.030000
    12     6  1983     4180.030000
    13     6  1983     4211.030000
    14     6  1983     4118.290000
    15     6  1983     4169.720000
    16     6  1983     4273.280000
    17     6  1983     4273.280000
    18     6  1983     4283.690000
    19     6  1983     4138.830000
    20     6  1983     4016.170000
    21     6  1983     3955.360000
    22     6  1983     3985.720000
    23     6  1983     4056.900000
    24     6  1983     4108.040000
    25     6  1983     4159.410000
    26     6  1983     4273.280000
    27     6  1983     4356.810000
    28     6  1983     4398.810000
    29     6  1983     4483.250000
    30     6  1983     4664.690000
     1     7  1983     4958.380000
     2     7  1983     5135.580000
     3     7  1983     5225.060000
     4     7  1983     5247.520000
     5     7  1983     5225.060000
     6     7  1983     5135.580000
     7     7  1983     5035.620000
     8     7  1983     5046.690000
     9     7  1983     5035.620000
    10     7  1983     4925.420000
    11     7  1983     4772.680000
    12     7  1983     4589.660000
    13     7  1983     4578.970000
    14     7  1983     4451.520000
    15     7  1983     4367.300000
    16     7  1983     4283.690000
    17     7  1983     4283.690000
    18     7  1983     4097.790000
    19     7  1983     4026.340000
    20     7  1983     3915.010000
    21     7  1983     3755.190000
    22     7  1983     3607.640000
    23     7  1983     3529.850000
    24     7  1983     3404.820000
    25     7  1983     3319.260000
    26     7  1983     3300.350000
    27     7  1983     3290.920000
    28     7  1983     3253.270000
    29     7  1983     3262.670000
    30     7  1983     3272.080000
    31     7  1983     3366.690000
     1     8  1983     3462.320000
     2     8  1983     3636.970000
     3     8  1983     3985.720000
     4     8  1983     4377.790000
     5     8  1983     4664.690000
     6     8  1983     4925.420000
     7     8  1983     5091.060000
     8     8  1983     5191.440000
     9     8  1983     5281.270000
    10     8  1983     5394.380000
    11     8  1983     5496.950000
    12     8  1983     5554.240000
    13     8  1983     5554.240000
    14     8  1983     5451.270000
    15     8  1983     5349.030000
    16     8  1983     5180.250000
    17     8  1983     4729.370000
    18     8  1983     4493.850000
    19     8  1983     4304.530000
    20     8  1983     4273.280000
    21     8  1983     4335.870000
    22     8  1983     4398.810000
    23     8  1983     4314.970000
    24     8  1983     4149.120000
    25     8  1983     4067.110000
    26     8  1983     3975.590000
    27     8  1983     3935.170000
    28     8  1983     4026.340000
    29     8  1983     4097.790000
    30     8  1983     4149.120000
    31     8  1983     4159.410000
     1     9  1983     4169.720000
     2     9  1983     4087.560000
     3     9  1983     4006.010000
     4     9  1983     3915.010000
     5     9  1983     3814.830000
     6     9  1983     3725.500000
     7     9  1983     3636.970000
     8     9  1983     3636.970000
     9     9  1983     3686.050000
    10     9  1983     3627.180000
    11     9  1983     3549.240000
    12     9  1983     3539.540000
    13     9  1983     3568.670000
    14     9  1983     3597.880000
    15     9  1983     3607.640000
    16     9  1983     3588.130000
    17     9  1983     3558.950000
    18     9  1983     3568.670000
    19     9  1983     3588.130000
    20     9  1983     3578.390000
    21     9  1983     3500.850000
    22     9  1983     3471.940000
    23     9  1983     3433.530000
    24     9  1983     3404.820000
    25     9  1983     3319.260000
    26     9  1983     3197.120000
    27     9  1983     3058.330000
    28     9  1983     2867.950000
    29     9  1983     2673.470000
    30     9  1983     2450.320000
     1    10  1983     2275.470000
     2    10  1983     2185.830000
     3    10  1983     2218.270000
     4    10  1983     2250.890000
     5    10  1983     2349.810000
     6    10  1983     2484.180000
     7    10  1983     2569.570000
     8    10  1983     2578.170000
     9    10  1983     2543.840000
    10    10  1983     2450.320000
    11    10  1983     2333.210000
    12    10  1983     2226.410000
    13    10  1983     2153.570000
    14    10  1983     2057.890000
    15    10  1983     1963.840000
    16    10  1983     1902.070000
    17    10  1983     1833.460000
    18    10  1983     1833.460000
    19    10  1983     1841.040000
    20    10  1983     1848.630000
    21    10  1983     1848.630000
    22    10  1983     1909.750000
    23    10  1983     2042.100000
    24    10  1983     2129.500000
    25    10  1983     2250.890000
    26    10  1983     2374.790000
    27    10  1983     2366.450000
    28    10  1983     2291.910000
    29    10  1983     2275.470000
    30    10  1983     2509.680000
    31    10  1983     2717.220000
     1    11  1983     2885.880000
     2    11  1983     2976.180000
     3    11  1983     3085.900000
     4    11  1983     3141.320000
     5    11  1983     3095.110000
     6    11  1983     2985.260000
     7    11  1983     2876.910000
     8    11  1983     2717.220000
     9    11  1983     2604.030000
    10    11  1983     2509.680000
    11    11  1983     2450.320000
    12    11  1983     2416.640000
    13    11  1983     2366.450000
    14    11  1983     2308.400000
    15    11  1983     2226.410000
    16    11  1983     2137.510000
    17    11  1983     2034.220000
    18    11  1983     1963.840000
    19    11  1983     1917.440000
    20    11  1983     1886.740000
    21    11  1983     1841.040000
    22    11  1983     1788.250000
    23    11  1983     1699.110000
    24    11  1983     1626.150000
    25    11  1983     1590.120000
    26    11  1983     1618.920000
    27    11  1983     1743.470000
    28    11  1983     1810.800000
    29    11  1983     1803.280000
    30    11  1983     1788.250000
     1    12  1983     1818.340000
     2    12  1983     1833.460000
     3    12  1983     1833.460000
     4    12  1983     1810.800000
     5    12  1983     1773.280000
     6    12  1983     1758.350000
     7    12  1983     1780.760000
     8    12  1983     1856.220000
     9    12  1983     1902.070000
    10    12  1983     1932.860000
    11    12  1983     1956.080000
    12    12  1983     1948.330000
    13    12  1983     1894.400000
    14    12  1983     1841.040000
    15    12  1983     1818.340000
    16    12  1983     1833.460000
    17    12  1983     1833.460000
    18    12  1983     1825.900000
    19    12  1983     1788.250000
    20    12  1983     1810.800000
    21    12  1983     1856.220000
    22    12  1983     1879.090000
    23    12  1983     1894.400000
    24    12  1983     1963.840000
    25    12  1983     2026.350000
    26    12  1983     2291.910000
    27    12  1983     2467.230000
    28    12  1983     2726.000000
    29    12  1983     2823.300000
    30    12  1983     2814.400000
    31    12  1983     2647.350000
     1     1  1984     2416.640000
     2     1  1984     2242.720000
     3     1  1984     2034.220000
     4     1  1984     1879.090000
     5     1  1984     1780.760000
     6     1  1984     1684.420000
     7     1  1984     1575.790000
     8     1  1984     1455.990000
     9     1  1984     1400.860000
    10     1  1984     1346.520000
    11     1  1984     1306.310000
    12     1  1984     1240.300000
    13     1  1984     1156.430000
    14     1  1984     1080.990000
    15     1  1984      995.413000
    16     1  1984      977.422000
