CURICURIARI	-66.801	-0.200
     1     1  1983     8091.250000
     2     1  1983     8028.680000
     3     1  1983     8070.380000
     4     1  1983     8237.770000
     5     1  1983     8258.770000
     6     1  1983     8300.800000
     7     1  1983     8363.960000
     8     1  1983     8596.700000
     9     1  1983     8767.100000
    10     1  1983     8895.520000
    11     1  1983     8938.450000
    12     1  1983     8895.520000
    13     1  1983     8831.250000
    14     1  1983     8788.470000
    15     1  1983     8703.090000
    16     1  1983     8385.040000
    17     1  1983     8007.860000
    18     1  1983     7615.120000
    19     1  1983     7167.450000
    20     1  1983     6727.580000
    21     1  1983     6315.170000
    22     1  1983     5815.000000
    23     1  1983     5345.300000
    24     1  1983     4887.030000
    25     1  1983     4458.260000
    26     1  1983     4058.050000
    27     1  1983     3652.070000
    28     1  1983     3274.660000
    29     1  1983     2940.500000
    30     1  1983     2677.610000
    31     1  1983     2466.460000
     1     2  1983     2202.370000
     2     2  1983     2073.560000
     3     2  1983     2045.230000
     4     2  1983     1946.980000
     5     2  1983     1877.640000
     6     2  1983     1946.980000
     7     2  1983     2059.380000
     8     2  1983     2216.820000
     9     2  1983     2451.570000
    10     2  1983     2571.420000
    11     2  1983     2601.640000
    12     2  1983     2541.310000
    13     2  1983     2451.570000
    14     2  1983     2377.490000
    15     2  1983     2260.320000
    16     2  1983     2159.190000
    17     2  1983     2045.230000
    18     2  1983     1933.050000
    19     2  1983     1877.640000
    20     2  1983     1891.450000
    21     2  1983     1891.450000
    22     2  1983     1933.050000
    23     2  1983     2002.950000
    24     2  1983     2059.380000
    25     2  1983     2187.950000
    26     2  1983     2436.700000
    27     2  1983     2616.780000
    28     2  1983     2878.020000
     1     3  1983     3210.230000
     2     3  1983     3486.550000
     3     3  1983     3618.790000
     4     3  1983     3652.070000
     5     3  1983     3602.190000
     6     3  1983     3602.190000
     7     3  1983     3552.500000
     8     3  1983     3453.700000
     9     3  1983     3339.450000
    10     3  1983     3323.220000
    11     3  1983     3258.520000
    12     3  1983     3162.140000
    13     3  1983     3114.260000
    14     3  1983     3114.260000
    15     3  1983     3162.140000
    16     3  1983     3242.400000
    17     3  1983     3307.010000
    18     3  1983     3486.550000
    19     3  1983     3602.190000
    20     3  1983     3585.600000
    21     3  1983     3503.000000
    22     3  1983     3437.320000
    23     3  1983     3404.610000
    24     3  1983     3437.320000
    25     3  1983     3569.040000
    26     3  1983     3786.050000
    27     3  1983     4352.830000
    28     3  1983     4778.790000
    29     3  1983     5032.400000
    30     3  1983     5160.590000
    31     3  1983     5142.220000
     1     4  1983     5050.660000
     2     4  1983     4905.130000
     3     4  1983     4832.820000
     4     4  1983     5014.170000
     5     4  1983     5197.390000
     6     4  1983     5569.350000
     7     4  1983     5986.810000
     8     4  1983     6451.820000
     9     4  1983     6866.680000
    10     4  1983     7390.320000
    11     4  1983     7779.800000
    12     4  1983     8237.770000
    13     4  1983     8745.750000
    14     4  1983     9175.580000
    15     4  1983     9501.750000
    16     4  1983     9699.000000
    17     4  1983    10052.500000
    18     4  1983    10499.300000
    19     4  1983    10951.700000
    20     4  1983    11340.300000
    21     4  1983    11872.300000
    22     4  1983    12600.100000
    23     4  1983    13123.900000
    24     4  1983    13726.500000
    25     4  1983    14574.500000
    26     4  1983    15237.400000
    27     4  1983    15661.700000
    28     4  1983    16018.700000
    29     4  1983    16198.300000
    30     4  1983    16342.500000
     1     5  1983    16523.500000
     2     5  1983    16668.800000
     3     5  1983    16814.500000
     4     5  1983    17144.300000
     5     5  1983    17439.400000
     6     5  1983    18110.300000
     7     5  1983    18904.900000
     8     5  1983    19480.300000
     9     5  1983    19828.600000
    10     5  1983    20101.100000
    11     5  1983    20179.300000
    12     5  1983    20257.500000
    13     5  1983    20296.700000
    14     5  1983    20414.300000
    15     5  1983    20453.600000
    16     5  1983    20453.600000
    17     5  1983    20414.300000
    18     5  1983    20532.200000
    19     5  1983    20571.600000
    20     5  1983    20571.600000
    21     5  1983    20492.900000
    22     5  1983    20335.800000
    23     5  1983    19828.600000
    24     5  1983    19441.700000
    25     5  1983    18866.800000
    26     5  1983    18487.100000
    27     5  1983    18072.800000
    28     5  1983    17662.000000
    29     5  1983    17402.400000
    30     5  1983    16960.800000
    31     5  1983    16451.000000
     1     6  1983    16270.300000
     2     6  1983    16126.400000
     3     6  1983    16018.700000
     4     6  1983    15804.200000
     5     6  1983    15732.900000
     6     6  1983    15661.700000
     7     6  1983    15661.700000
     8     6  1983    15661.700000
     9     6  1983    15626.200000
    10     6  1983    15555.200000
    11     6  1983    15519.800000
    12     6  1983    15449.000000
    13     6  1983    15413.700000
    14     6  1983    15343.100000
    15     6  1983    15272.600000
    16     6  1983    15237.400000
    17     6  1983    15096.900000
    18     6  1983    14922.000000
    19     6  1983    14747.900000
    20     6  1983    14609.100000
    21     6  1983    14367.400000
    22     6  1983    14264.300000
    23     6  1983    14059.000000
    24     6  1983    13786.900000
    25     6  1983    13653.800000
    26     6  1983    13653.800000
    27     6  1983    13786.900000
    28     6  1983    13922.700000
    29     6  1983    14059.000000
    30     6  1983    14539.900000
     1     7  1983    14817.400000
     2     7  1983    14991.900000
     3     7  1983    15202.200000
     4     7  1983    15555.200000
     5     7  1983    15804.200000
     6     7  1983    16018.700000
     7     7  1983    16162.300000
     8     7  1983    16234.300000
     9     7  1983    16234.300000
    10     7  1983    16198.300000
    11     7  1983    16090.400000
    12     7  1983    15947.100000
    13     7  1983    15768.500000
    14     7  1983    15590.700000
    15     7  1983    15378.300000
    16     7  1983    15202.200000
    17     7  1983    15132.000000
    18     7  1983    15026.900000
    19     7  1983    14887.100000
    20     7  1983    14713.100000
    21     7  1983    14539.900000
    22     7  1983    14264.300000
    23     7  1983    14024.900000
    24     7  1983    13702.200000
    25     7  1983    13388.100000
    26     7  1983    13076.000000
    27     7  1983    12932.700000
    28     7  1983    12861.200000
    29     7  1983    12766.100000
    30     7  1983    12600.100000
    31     7  1983    12552.700000
     1     8  1983    12411.100000
     2     8  1983    12434.700000
     3     8  1983    12505.500000
     4     8  1983    12861.200000
     5     8  1983    14264.300000
     6     8  1983    14956.900000
     7     8  1983    15307.800000
     8     8  1983    15839.800000
     9     8  1983    16162.300000
    10     8  1983    16342.500000
    11     8  1983    16378.600000
    12     8  1983    16487.200000
    13     8  1983    16668.800000
    14     8  1983    16741.600000
    15     8  1983    16851.100000
    16     8  1983    16924.200000
    17     8  1983    16778.100000
    18     8  1983    16596.100000
    19     8  1983    16270.300000
    20     8  1983    15947.100000
    21     8  1983    15661.700000
    22     8  1983    15590.700000
    23     8  1983    15519.800000
    24     8  1983    15590.700000
    25     8  1983    15875.500000
    26     8  1983    16054.500000
    27     8  1983    16270.300000
    28     8  1983    16451.000000
    29     8  1983    16632.400000
    30     8  1983    16851.100000
    31     8  1983    17034.100000
     1     9  1983    17144.300000
     2     9  1983    17070.800000
     3     9  1983    16960.800000
     4     9  1983    16814.500000
     5     9  1983    16705.200000
     6     9  1983    16668.800000
     7     9  1983    16451.000000
     8     9  1983    16054.500000
     9     9  1983    15697.300000
    10     9  1983    15484.400000
    11     9  1983    15096.900000
    12     9  1983    14747.900000
    13     9  1983    14401.900000
    14     9  1983    14264.300000
    15     9  1983    14127.300000
    16     9  1983    14024.900000
    17     9  1983    13750.800000
    18     9  1983    13508.700000
    19     9  1983    13076.000000
    20     9  1983    12789.900000
    21     9  1983    12316.900000
    22     9  1983    12176.000000
    23     9  1983    12082.300000
    24     9  1983    12012.200000
    25     9  1983    11918.900000
    26     9  1983    11825.800000
    27     9  1983    11640.200000
    28     9  1983    11409.300000
    29     9  1983    11111.200000
    30     9  1983    10724.800000
     1    10  1983    10342.300000
     2    10  1983    10030.300000
     3    10  1983     9589.270000
     4    10  1983     9934.940000
     5    10  1983     9633.890000
     6    10  1983     9286.600000
     7    10  1983     9016.720000
     8    10  1983     9163.600000
     9    10  1983     9459.710000
    10    10  1983     9584.020000
    11    10  1983     9658.860000
    12    10  1983     9633.890000
    13    10  1983     9509.370000
    14    10  1983     9311.260000
    15    10  1983     9212.730000
    16    10  1983     8749.510000
    17    10  1983     8437.190000
    18    10  1983     8081.550000
    19    10  1983     7754.260000
    20    10  1983     7500.290000
    21    10  1983     7385.780000
    22    10  1983     7454.420000
    23    10  1983     7523.260000
    24    10  1983     7569.270000
    25    10  1983     7569.270000
    26    10  1983     7661.580000
    27    10  1983     7917.340000
    28    10  1983     8152.270000
    29    10  1983     8628.940000
    30    10  1983     9139.060000
    31    10  1983     9434.920000
     1    11  1983     9784.030000
     2    11  1983    10162.700000
     3    11  1983    10417.900000
     4    11  1983    10675.100000
     5    11  1983    11169.500000
     6    11  1983    11432.800000
     7    11  1983    11406.300000
     8    11  1983    11406.300000
     9    11  1983    11379.900000
    10    11  1983    11300.900000
    11    11  1983    11143.300000
    12    11  1983    10986.500000
    13    11  1983    10726.800000
    14    11  1983    10392.300000
    15    11  1983     9884.550000
    16    11  1983     9484.530000
    17    11  1983     8870.640000
    18    11  1983     8318.080000
    19    11  1983     7987.580000
    20    11  1983     7615.380000
    21    11  1983     7362.950000
    22    11  1983     7135.940000
    23    11  1983     6956.050000
    24    11  1983     6667.010000
    25    11  1983     6556.940000
    26    11  1983     6382.090000
    27    11  1983     6187.280000
    28    11  1983     6101.350000
    29    11  1983     6122.790000
    30    11  1983     6251.990000
     1    12  1983     6403.860000
     2    12  1983     6534.990000
     3    12  1983     6689.100000
     4    12  1983     6822.140000
     5    12  1983     7000.880000
     6    12  1983     7181.160000
     7    12  1983     7454.420000
     8    12  1983     7847.310000
     9    12  1983     8294.320000
    10    12  1983     9212.730000
    11    12  1983    10036.000000
    12    12  1983    10830.400000
    13    12  1983    11169.500000
    14    12  1983    11300.900000
    15    12  1983    11432.800000
    16    12  1983    11379.900000
    17    12  1983    11222.000000
    18    12  1983    11012.600000
    19    12  1983    10804.500000
    20    12  1983    10546.200000
    21    12  1983    10290.000000
    22    12  1983    10061.300000
    23    12  1983     9909.730000
    24    12  1983     9809.130000
    25    12  1983     9784.030000
    26    12  1983     9834.250000
    27    12  1983    10112.000000
    28    12  1983    10469.100000
    29    12  1983    10830.400000
    30    12  1983    11091.000000
    31    12  1983    11353.600000
     1     1  1984    11406.300000
     2     1  1984    11248.300000
     3     1  1984    10778.600000
     4     1  1984    10392.300000
     5     1  1984    10213.600000
     6     1  1984    10162.700000
     7     1  1984    10137.300000
     8     1  1984    10010.700000
     9     1  1984     9909.730000
    10     1  1984     9733.900000
    11     1  1984     9385.390000
    12     1  1984     9065.590000
    13     1  1984     8532.880000
    14     1  1984     8058.020000
    15     1  1984     7638.470000
    16     1  1984     7135.940000
    17     1  1984     6711.210000
    18     1  1984     6491.180000
    19     1  1984     6403.860000
    20     1  1984     6491.180000
    21     1  1984     6799.910000
    22     1  1984     7249.150000
    23     1  1984     7800.740000
    24     1  1984     8701.210000
    25     1  1984     9188.150000
    26     1  1984     9534.230000
    27     1  1984     9708.860000
    28     1  1984     9784.030000
    29     1  1984    10010.700000
    30     1  1984    10213.600000
    31     1  1984    10264.500000
     1     2  1984    10366.700000
     2     2  1984    10443.500000
     3     2  1984    10494.800000
     4     2  1984    10469.100000
     5     2  1984    10417.900000
     6     2  1984    10571.900000
     7     2  1984    10675.100000
     8     2  1984    10700.900000
     9     2  1984    10804.500000
    10     2  1984    10830.400000
    11     2  1984    10830.400000
    12     2  1984    10752.700000
    13     2  1984    10778.600000
    14     2  1984    10882.400000
    15     2  1984    10960.400000
    16     2  1984    10882.400000
    17     2  1984    10649.300000
    18     2  1984    10443.500000
    19     2  1984    10443.500000
    20     2  1984    10597.700000
    21     2  1984    10856.400000
    22     2  1984    11248.300000
    23     2  1984    11698.000000
    24     2  1984    12207.500000
    25     2  1984    12724.300000
    26     2  1984    13137.200000
    27     2  1984    13303.600000
    28     2  1984    13248.100000
    29     2  1984    13164.900000
     1     3  1984    13109.600000
     2     3  1984    13054.300000
     3     3  1984    13054.300000
     4     3  1984    12971.500000
     5     3  1984    12944.000000
     6     3  1984    12888.900000
     7     3  1984    12834.000000
     8     3  1984    12724.300000
     9     3  1984    12614.900000
    10     3  1984    12424.200000
    11     3  1984    12045.900000
    12     3  1984    11938.500000
    13     3  1984    11858.100000
    14     3  1984    11379.900000
    15     3  1984    10882.400000
    16     3  1984    10417.900000
    17     3  1984     9884.550000
    18     3  1984     9584.020000
    19     3  1984     9335.950000
    20     3  1984     8797.890000
    21     3  1984     8556.860000
    22     3  1984     8341.850000
    23     3  1984     7569.270000
    24     3  1984     7249.150000
    25     3  1984     6978.450000
    26     3  1984     6667.010000
    27     3  1984     6534.990000
    28     3  1984     6513.080000
    29     3  1984     6556.940000
    30     3  1984     6469.320000
    31     3  1984     6295.260000
     1     4  1984     6122.790000
     2     4  1984     5973.200000
     3     4  1984     5909.470000
     4     4  1984     5994.490000
     5     4  1984     5973.200000
     6     4  1984     6208.830000
     7     4  1984     6689.100000
     8     4  1984     6866.680000
     9     4  1984     7000.880000
    10     4  1984     7249.150000
