SERRINHA	-64.827	-0.482
     1     1  1983    10468.800000
     2     1  1983    10792.700000
     3     1  1983    10828.800000
     4     1  1983    10792.700000
     5     1  1983    10720.500000
     6     1  1983    10684.400000
     7     1  1983    10612.400000
     8     1  1983    10468.800000
     9     1  1983    10147.200000
    10     1  1983    10468.800000
    11     1  1983    11009.800000
    12     1  1983    11374.100000
    13     1  1983    11447.200000
    14     1  1983    11447.200000
    15     1  1983    11301.000000
    16     1  1983    11009.800000
    17     1  1983    10864.900000
    18     1  1983    10720.500000
    19     1  1983    10540.500000
    20     1  1983    10218.500000
    21     1  1983     9934.170000
    22     1  1983     9686.950000
    23     1  1983     9127.410000
    24     1  1983     8781.700000
    25     1  1983     8303.010000
    26     1  1983     7596.980000
    27     1  1983     7134.590000
    28     1  1983     7805.540000
    29     1  1983     7109.430000
    30     1  1983     6641.650000
    31     1  1983     6149.100000
     1     2  1983     5573.290000
     2     2  1983     5096.480000
     3     2  1983     4831.700000
     4     2  1983     4511.590000
     5     2  1983     4309.960000
     6     2  1983     4195.490000
     7     2  1983     4195.490000
     8     2  1983     4195.490000
     9     2  1983     4195.490000
    10     2  1983     4195.490000
    11     2  1983     4281.290000
    12     2  1983     4511.590000
    13     2  1983     4598.500000
    14     2  1983     4511.590000
    15     2  1983     4396.170000
    16     2  1983     4281.290000
    17     2  1983     4138.460000
    18     2  1983     3996.510000
    19     2  1983     3883.600000
    20     2  1983     3799.300000
    21     2  1983     3715.330000
    22     2  1983     3659.530000
    23     2  1983     3659.530000
    24     2  1983     3687.410000
    25     2  1983     3799.300000
    26     2  1983     3911.770000
    27     2  1983     4053.190000
    28     2  1983     4281.290000
     1     3  1983     4569.500000
     2     3  1983     4890.330000
     3     3  1983     5185.300000
     4     3  1983     5453.380000
     5     3  1983     5633.420000
     6     3  1983     5784.250000
     7     3  1983     5754.030000
     8     3  1983     5754.030000
     9     3  1983     5693.670000
    10     3  1983     5573.290000
    11     3  1983     5423.470000
    12     3  1983     5423.470000
    13     3  1983     5453.380000
    14     3  1983     5304.150000
    15     3  1983     5304.150000
    16     3  1983     5363.750000
    17     3  1983     5483.310000
    18     3  1983     5603.340000
    19     3  1983     5693.670000
    20     3  1983     5754.030000
    21     3  1983     5935.790000
    22     3  1983     6057.520000
    23     3  1983     6088.020000
    24     3  1983     6057.520000
    25     3  1983     6057.520000
    26     3  1983     6240.940000
    27     3  1983     6363.750000
    28     3  1983     6548.780000
    29     3  1983     7015.420000
    30     3  1983     7487.690000
    31     3  1983     7933.340000
     1     4  1983     8125.730000
     2     4  1983     8480.560000
     3     4  1983     8512.950000
     4     4  1983     8577.800000
     5     4  1983     8610.260000
     6     4  1983     8870.700000
     7     4  1983     9099.720000
     8     4  1983     9494.730000
     9     4  1983     9892.700000
    10     4  1983    10427.800000
    11     4  1983    10934.000000
    12     4  1983    11546.900000
    13     4  1983    12096.800000
    14     4  1983    12720.700000
    15     4  1983    13315.000000
    16     4  1983    13702.100000
    17     4  1983    14055.800000
    18     4  1983    14446.600000
    19     4  1983    14732.100000
    20     4  1983    15198.100000
    21     4  1983    15847.500000
    22     4  1983    16794.000000
    23     4  1983    17602.500000
    24     4  1983    18157.600000
    25     4  1983    18380.400000
    26     4  1983    18790.300000
    27     4  1983    19300.500000
    28     4  1983    19891.400000
    29     4  1983    20443.200000
    30     4  1983    20901.800000
     1     5  1983    21263.100000
     2     5  1983    21523.600000
     3     5  1983    21733.500000
     4     5  1983    21944.600000
     5     5  1983    22103.900000
     6     5  1983    22532.100000
     7     5  1983    22856.800000
     8     5  1983    23404.500000
     9     5  1983    24016.700000
    10     5  1983    24525.100000
    11     5  1983    25329.600000
    12     5  1983    25504.200000
    13     5  1983    26150.900000
    14     5  1983    26508.000000
    15     5  1983    26747.900000
    16     5  1983    26868.300000
    17     5  1983    26928.600000
    18     5  1983    26989.100000
    19     5  1983    26989.100000
    20     5  1983    26989.100000
    21     5  1983    26989.100000
    22     5  1983    26747.900000
    23     5  1983    26687.800000
    24     5  1983    26627.800000
    25     5  1983    26388.600000
    26     5  1983    26150.900000
    27     5  1983    25738.200000
    28     5  1983    25562.600000
    29     5  1983    25445.900000
    30     5  1983    24925.300000
    31     5  1983    24468.300000
     1     6  1983    24129.100000
     2     6  1983    23848.700000
     3     6  1983    23404.500000
     4     6  1983    23184.400000
     5     6  1983    22856.800000
     6     6  1983    22317.300000
     7     6  1983    22263.800000
     8     6  1983    22050.700000
     9     6  1983    21891.700000
    10     6  1983    21786.100000
    11     6  1983    21680.900000
    12     6  1983    21523.600000
    13     6  1983    21419.200000
    14     6  1983    21211.300000
    15     6  1983    20953.200000
    16     6  1983    20850.600000
    17     6  1983    20953.200000
    18     6  1983    20595.300000
    19     6  1983    20493.800000
    20     6  1983    20392.600000
    21     6  1983    20392.600000
    22     6  1983    20291.700000
    23     6  1983    20191.200000
    24     6  1983    20090.900000
    25     6  1983    19941.200000
    26     6  1983    19841.700000
    27     6  1983    19742.600000
    28     6  1983    19643.800000
    29     6  1983    19693.200000
    30     6  1983    19742.600000
     1     7  1983    19841.700000
     2     7  1983    19991.000000
     3     7  1983    20141.000000
     4     7  1983    20443.200000
     5     7  1983    20646.200000
     6     7  1983    20748.200000
     7     7  1983    20799.400000
     8     7  1983    20748.200000
     9     7  1983    20850.600000
    10     7  1983    20850.600000
    11     7  1983    20799.400000
    12     7  1983    20595.300000
    13     7  1983    20493.800000
    14     7  1983    20291.700000
    15     7  1983    20191.200000
    16     7  1983    20090.900000
    17     7  1983    19991.000000
    18     7  1983    19841.700000
    19     7  1983    19693.200000
    20     7  1983    19447.200000
    21     7  1983    19203.100000
    22     7  1983    19052.000000
    23     7  1983    18566.600000
    24     7  1983    18380.400000
    25     7  1983    18231.800000
    26     7  1983    18083.400000
    27     7  1983    17935.200000
    28     7  1983    17861.100000
    29     7  1983    17787.200000
    30     7  1983    17713.300000
    31     7  1983    17639.400000
     1     8  1983    17455.000000
     2     8  1983    17050.500000
     3     8  1983    16611.300000
     4     8  1983    16501.800000
     5     8  1983    16720.900000
     6     8  1983    17197.400000
     7     8  1983    17935.200000
     8     8  1983    18268.900000
     9     8  1983    18492.100000
    10     8  1983    18939.800000
    11     8  1983    19447.200000
    12     8  1983    19742.600000
    13     8  1983    19991.000000
    14     8  1983    20191.200000
    15     8  1983    20291.700000
    16     8  1983    20493.800000
    17     8  1983    20646.200000
    18     8  1983    20595.300000
    19     8  1983    20646.200000
    20     8  1983    20544.500000
    21     8  1983    20443.200000
    22     8  1983    20291.700000
    23     8  1983    20241.400000
    24     8  1983    20241.400000
    25     8  1983    20392.600000
    26     8  1983    20443.200000
    27     8  1983    20544.500000
    28     8  1983    20748.200000
    29     8  1983    20953.200000
    30     8  1983    21056.200000
    31     8  1983    21211.300000
     1     9  1983    21367.100000
     2     9  1983    21471.300000
     3     9  1983    21575.900000
     4     9  1983    21523.600000
     5     9  1983    21523.600000
     6     9  1983    21419.200000
     7     9  1983    21367.100000
     8     9  1983    21211.300000
     9     9  1983    21107.800000
    10     9  1983    20901.800000
    11     9  1983    20697.200000
    12     9  1983    20443.200000
    13     9  1983    20241.400000
    14     9  1983    19991.000000
    15     9  1983    19742.600000
    16     9  1983    19594.500000
    17     9  1983    19545.300000
    18     9  1983    19203.100000
    19     9  1983    19052.000000
    20     9  1983    18827.700000
    21     9  1983    18529.300000
    22     9  1983    18120.500000
    23     9  1983    17750.200000
    24     9  1983    17565.600000
    25     9  1983    17418.200000
    26     9  1983    17270.900000
    27     9  1983    17050.500000
    28     9  1983    16830.600000
    29     9  1983    16611.300000
    30     9  1983    16465.300000
     1    10  1983    15992.500000
     2    10  1983    15414.000000
     3    10  1983    14911.000000
     4    10  1983    14446.600000
     5    10  1983    14091.200000
     6    10  1983    13737.400000
     7    10  1983    13385.300000
     8    10  1983    13034.700000
     9    10  1983    12790.300000
    10    10  1983    12651.100000
    11    10  1983    12616.300000
    12    10  1983    12546.800000
    13    10  1983    12616.300000
    14    10  1983    12616.300000
    15    10  1983    12477.400000
    16    10  1983    12338.700000
    17    10  1983    12200.300000
    18    10  1983    11993.300000
    19    10  1983    11718.300000
    20    10  1983    11410.200000
    21    10  1983    11069.700000
    22    10  1983    10900.100000
    23    10  1983    10629.700000
    24    10  1983    10394.200000
    25    10  1983    10327.100000
    26    10  1983    10360.600000
    27    10  1983    10495.000000
    28    10  1983    10731.000000
    29    10  1983    11035.700000
    30    10  1983    11752.600000
    31    10  1983    11924.400000
     1    11  1983    12131.300000
     2    11  1983    12546.800000
     3    11  1983    13034.700000
     4    11  1983    13420.400000
     5    11  1983    13808.100000
     6    11  1983    14126.700000
     7    11  1983    14268.700000
     8    11  1983    14446.600000
     9    11  1983    14624.900000
    10    11  1983    14589.200000
    11    11  1983    14589.200000
    12    11  1983    14553.600000
    13    11  1983    14446.600000
    14    11  1983    14304.300000
    15    11  1983    14091.200000
    16    11  1983    13914.100000
    17    11  1983    13772.700000
    18    11  1983    13525.900000
    19    11  1983    13350.100000
    20    11  1983    12999.800000
    21    11  1983    12651.100000
    22    11  1983    12373.400000
    23    11  1983    11924.400000
    24    11  1983    11444.400000
    25    11  1983    11069.700000
    26    11  1983    10596.000000
    27    11  1983    10226.500000
    28    11  1983     9925.990000
    29    11  1983     9660.190000
    30    11  1983     9560.850000
     1    12  1983     9461.700000
     2    12  1983     9428.680000
     3    12  1983     9494.730000
     4    12  1983     9627.060000
     5    12  1983     9759.710000
     6    12  1983     9925.990000
     7    12  1983    10126.200000
     8    12  1983    10360.600000
     9    12  1983    10629.700000
    10    12  1983    11001.800000
    11    12  1983    11786.900000
    12    12  1983    12408.000000
    13    12  1983    13139.700000
    14    12  1983    13808.100000
    15    12  1983    14696.400000
    16    12  1983    15198.100000
    17    12  1983    15378.000000
    18    12  1983    15378.000000
    19    12  1983    15306.000000
    20    12  1983    14982.700000
    21    12  1983    14624.900000
    22    12  1983    14375.400000
    23    12  1983    14162.200000
    24    12  1983    13949.500000
    25    12  1983    13772.700000
    26    12  1983    13702.100000
    27    12  1983    13737.400000
    28    12  1983    13843.400000
    29    12  1983    13914.100000
    30    12  1983    14055.800000
    31    12  1983    14197.700000
     1     1  1984    14268.700000
     2     1  1984    14553.600000
     3     1  1984    14803.600000
     4     1  1984    14732.100000
     5     1  1984    14696.400000
     6     1  1984    14624.900000
     7     1  1984    14517.900000
     8     1  1984    14375.400000
     9     1  1984    14446.600000
    10     1  1984    14517.900000
    11     1  1984    14375.400000
    12     1  1984    14162.200000
    13     1  1984    14020.400000
    14     1  1984    13878.800000
    15     1  1984    13385.300000
    16     1  1984    12999.800000
    17     1  1984    12860.100000
    18     1  1984    12616.300000
    19     1  1984    12062.300000
    20     1  1984    11855.600000
    21     1  1984    11512.700000
    22     1  1984    11376.100000
    23     1  1984    11546.900000
    24     1  1984    12027.800000
    25     1  1984    12512.100000
    26     1  1984    13069.700000
    27     1  1984    13772.700000
    28     1  1984    14268.700000
    29     1  1984    14589.200000
    30     1  1984    14767.900000
    31     1  1984    15054.400000
     1     2  1984    15522.200000
     2     2  1984    15594.400000
     3     2  1984    15594.400000
     4     2  1984    15522.200000
     5     2  1984    15486.100000
     6     2  1984    15414.000000
     7     2  1984    15306.000000
     8     2  1984    15342.000000
     9     2  1984    15270.000000
    10     2  1984    15270.000000
    11     2  1984    15342.000000
    12     2  1984    15378.000000
    13     2  1984    15378.000000
    14     2  1984    15450.100000
    15     2  1984    15594.400000
    16     2  1984    15702.800000
    17     2  1984    15775.100000
    18     2  1984    15811.300000
    19     2  1984    15738.900000
    20     2  1984    15630.500000
    21     2  1984    15702.800000
    22     2  1984    15775.100000
    23     2  1984    15920.000000
    24     2  1984    16246.800000
    25     2  1984    16611.300000
    26     2  1984    16977.200000
    27     2  1984    17418.200000
    28     2  1984    17713.300000
    29     2  1984    17861.100000
     1     3  1984    17935.200000
     2     3  1984    17861.100000
     3     3  1984    17750.200000
     4     3  1984    17676.300000
     5     3  1984    17676.300000
     6     3  1984    17639.400000
     7     3  1984    17602.500000
     8     3  1984    17565.600000
     9     3  1984    17528.700000
    10     3  1984    17491.800000
    11     3  1984    17455.000000
    12     3  1984    17344.500000
    13     3  1984    17270.900000
    14     3  1984    17234.200000
    15     3  1984    17123.900000
    16     3  1984    16794.000000
    17     3  1984    16392.400000
    18     3  1984    15920.000000
    19     3  1984    15558.300000
    20     3  1984    15234.000000
    21     3  1984    14911.000000
    22     3  1984    14696.400000
    23     3  1984    14339.900000
    24     3  1984    13808.100000
    25     3  1984    13420.400000
    26     3  1984    12999.800000
    27     3  1984    12581.500000
    28     3  1984    12165.800000
    29     3  1984    11855.600000
    30     3  1984    11581.200000
    31     3  1984    11307.900000
     1     4  1984    10798.600000
     2     4  1984    10461.400000
     3     4  1984    10193.100000
     4     4  1984     9892.700000
     5     4  1984     9892.700000
     6     4  1984     9959.310000
     7     4  1984    10026.000000
     8     4  1984    10159.600000
     9     4  1984    10293.600000
    10     4  1984    10528.700000
    11     4  1984    10798.600000
    12     4  1984    11069.700000
    13     4  1984    11342.000000
    14     4  1984    11615.400000
    15     4  1984    11890.000000
    16     4  1984    12200.300000
    17     4  1984    12616.300000
    18     4  1984    12929.900000
    19     4  1984    13104.700000
    20     4  1984    13420.400000
    21     4  1984    13631.600000
    22     4  1984    13490.700000
    23     4  1984    13385.300000
    24     4  1984    13279.900000
    25     4  1984    13209.800000
    26     4  1984    13174.700000
    27     4  1984    13385.300000
    28     4  1984    13843.400000
    29     4  1984    14411.000000
    30     4  1984    14982.700000
     1     5  1984    15486.100000
     2     5  1984    16137.700000
     3     5  1984    16794.000000
     4     5  1984    17491.800000
     5     5  1984    18046.300000
     6     5  1984    18603.800000
     7     5  1984    18902.400000
     8     5  1984    19014.600000
     9     5  1984    19014.600000
    10     5  1984    19089.400000
    11     5  1984    19126.900000
    12     5  1984    19164.300000
    13     5  1984    19126.900000
    14     5  1984    18977.200000
    15     5  1984    18827.700000
    16     5  1984    18603.800000
    17     5  1984    18454.900000
    18     5  1984    18306.100000
    19     5  1984    18157.600000
    20     5  1984    18046.300000
    21     5  1984    18009.200000
    22     5  1984    18120.500000
    23     5  1984    18231.800000
    24     5  1984    18380.400000
    25     5  1984    18603.800000
    26     5  1984    18977.200000
    27     5  1984    19496.200000
    28     5  1984    20191.200000
    29     5  1984    20697.200000
    30     5  1984    21107.800000
    31     5  1984    21315.100000
     1     6  1984    21628.400000
     2     6  1984    21838.900000
     3     6  1984    22263.800000
     4     6  1984    22586.000000
     5     6  1984    22802.400000
     6     6  1984    23129.600000
