FAZENDACAJUPIRANGA	-61.037	3.438
     1     1  1983      528.407000
     2     1  1983      584.988000
     3     1  1983      684.307000
     4     1  1983      638.847000
     5     1  1983      619.044000
     6     1  1983      580.186000
     7     1  1983      542.337000
     8     1  1983      500.981000
     9     1  1983      500.981000
    10     1  1983      565.873000
    11     1  1983      589.806000
    12     1  1983      604.355000
    13     1  1983      633.873000
    14     1  1983      669.016000
    15     1  1983      658.898000
    16     1  1983      614.132000
    17     1  1983      565.873000
    18     1  1983      519.200000
    19     1  1983      469.723000
    20     1  1983      422.239000
    21     1  1983      380.836000
    22     1  1983      364.754000
    23     1  1983      341.152000
    24     1  1983      352.875000
    25     1  1983      341.152000
    26     1  1983      325.769000
    27     1  1983      310.669000
    28     1  1983      295.855000
    29     1  1983      288.557000
    30     1  1983      277.746000
    31     1  1983      270.630000
     1     2  1983      249.727000
     2     2  1983      242.908000
     3     2  1983      239.527000
     4     2  1983      232.822000
     5     2  1983      226.192000
     6     2  1983      219.639000
     7     2  1983      216.391000
     8     2  1983      216.391000
     9     2  1983      213.163000
    10     2  1983      213.163000
    11     2  1983      213.163000
    12     2  1983      209.954000
    13     2  1983      209.954000
    14     2  1983      203.594000
    15     2  1983      200.443000
    16     2  1983      191.109000
    17     2  1983      184.985000
    18     2  1983      181.953000
    19     2  1983      178.941000
    20     2  1983      175.948000
    21     2  1983      175.948000
    22     2  1983      184.985000
    23     2  1983      188.037000
    24     2  1983      184.985000
    25     2  1983      184.985000
    26     2  1983      181.953000
    27     2  1983      184.985000
    28     2  1983      194.201000
     1     3  1983      203.594000
     2     3  1983      209.954000
     3     3  1983      216.391000
     4     3  1983      226.192000
     5     3  1983      242.908000
     6     3  1983      249.727000
     7     3  1983      242.908000
     8     3  1983      236.165000
     9     3  1983      229.497000
    10     3  1983      209.954000
    11     3  1983      213.163000
    12     3  1983      206.764000
    13     3  1983      200.443000
    14     3  1983      194.201000
    15     3  1983      178.941000
    16     3  1983      184.985000
    17     3  1983      181.953000
    18     3  1983      178.941000
    19     3  1983      172.976000
    20     3  1983      172.976000
    21     3  1983      167.093000
    22     3  1983      161.290000
    23     3  1983      167.093000
    24     3  1983      175.948000
    25     3  1983      178.941000
    26     3  1983      175.948000
    27     3  1983      178.941000
    28     3  1983      197.312000
    29     3  1983      206.764000
    30     3  1983      253.164000
    31     3  1983      249.727000
     1     4  1983      253.164000
     2     4  1983      260.095000
     3     4  1983      274.179000
     4     4  1983      246.308000
     5     4  1983      242.908000
     6     4  1983      281.332000
     7     4  1983      284.935000
     8     4  1983      281.332000
     9     4  1983      295.855000
    10     4  1983      314.417000
    11     4  1983      368.749000
    12     4  1983      439.273000
    13     4  1983      570.628000
    14     4  1983      674.097000
    15     4  1983      806.053000
    16     4  1983      784.312000
    17     4  1983      699.735000
    18     4  1983      570.628000
    19     4  1983      628.915000
    20     4  1983      669.016000
