FAZENDAPASSARÃO	-60.571	3.208
     1     1  1983      374.609000
     2     1  1983      469.850000
     3     1  1983      604.082000
     4     1  1983      613.679000
     5     1  1983      561.426000
     6     1  1983      524.252000
     7     1  1983      505.934000
     8     1  1983      492.315000
     9     1  1983      452.091000
    10     1  1983      438.898000
    11     1  1983      456.513000
    12     1  1983      483.294000
    13     1  1983      496.843000
    14     1  1983      533.478000
    15     1  1983      552.066000
    16     1  1983      510.496000
    17     1  1983      483.294000
    18     1  1983      478.801000
    19     1  1983      430.164000
    20     1  1983      412.843000
    21     1  1983      357.954000
    22     1  1983      345.602000
    23     1  1983      333.372000
    24     1  1983      329.323000
    25     1  1983      321.266000
    26     1  1983      313.266000
    27     1  1983      313.266000
    28     1  1983      289.606000
    29     1  1983      277.973000
    30     1  1983      274.125000
    31     1  1983      266.474000
     1     2  1983      266.474000
     2     2  1983      255.112000
     3     2  1983      247.615000
     4     2  1983      240.180000
     5     2  1983      229.148000
     6     2  1983      221.874000
     7     2  1983      221.874000
     8     2  1983      218.262000
     9     2  1983      211.087000
    10     2  1983      207.525000
    11     2  1983      203.980000
    12     2  1983      203.980000
    13     2  1983      196.942000
    14     2  1983      196.942000
    15     2  1983      196.942000
    16     2  1983      193.448000
    17     2  1983      189.973000
    18     2  1983      186.514000
    19     2  1983      186.514000
    20     2  1983      179.652000
    21     2  1983      183.074000
    22     2  1983      179.652000
    23     2  1983      176.247000
    24     2  1983      176.247000
    25     2  1983      169.494000
    26     2  1983      166.145000
    27     2  1983      169.494000
    28     2  1983      166.145000
     1     3  1983      156.210000
     2     3  1983      159.503000
     3     3  1983      166.145000
     4     3  1983      172.861000
     5     3  1983      179.652000
     6     3  1983      189.973000
     7     3  1983      200.452000
     8     3  1983      200.452000
     9     3  1983      196.942000
    10     3  1983      189.973000
    11     3  1983      186.514000
    12     3  1983      183.074000
    13     3  1983      183.074000
    14     3  1983      166.145000
    15     3  1983      162.814000
    16     3  1983      156.210000
    17     3  1983      152.937000
    18     3  1983      156.210000
    19     3  1983      156.210000
    20     3  1983      156.210000
    21     3  1983      146.449000
    22     3  1983      143.235000
    23     3  1983      143.235000
    24     3  1983      143.235000
    25     3  1983      143.235000
    26     3  1983      143.235000
    27     3  1983      143.235000
    28     3  1983      143.235000
    29     3  1983      143.235000
    30     3  1983      169.494000
    31     3  1983      207.525000
     1     4  1983      218.262000
     2     4  1983      232.809000
     3     4  1983      236.486000
     4     4  1983      243.889000
     5     4  1983      243.889000
     6     4  1983      229.148000
     7     4  1983      225.503000
     8     4  1983      221.874000
     9     4  1983      262.671000
    10     4  1983      309.287000
    11     4  1983      309.287000
    12     4  1983      341.512000
    13     4  1983      378.806000
    14     4  1983      505.934000
    15     4  1983      845.476000
    16     4  1983      829.741000
    17     4  1983      752.324000
    18     4  1983      642.720000
    19     4  1983      575.547000
    20     4  1983      570.829000
    21     4  1983      662.288000
    22     4  1983     1012.760000
    23     4  1983     1717.380000
    24     4  1983     1815.420000
    25     4  1983     1893.690000
    26     4  1983     1951.290000
    27     4  1983     1872.240000
    28     4  1983     1843.760000
    29     4  1983     1944.060000
    30     4  1983     2031.390000
     1     5  1983     2323.700000
     2     5  1983     2105.120000
     3     5  1983     1773.190000
     4     5  1983     1655.290000
     5     5  1983     1600.730000
     6     5  1983     1500.060000
     7     5  1983     1447.240000
     8     5  1983     1614.320000
     9     5  1983     1724.320000
    10     5  1983     1843.760000
    11     5  1983     1994.850000
    12     5  1983     1994.850000
    13     5  1983     1752.190000
    14     5  1983     1473.570000
    15     5  1983     1281.660000
    16     5  1983     1130.720000
    17     5  1983     1057.270000
    18     5  1983      941.586000
    19     5  1983      866.583000
    20     5  1983      840.222000
    21     5  1983      803.701000
    22     5  1983      783.037000
    23     5  1983      903.867000
    24     5  1983     1211.340000
    25     5  1983     1480.180000
    26     5  1983     1703.520000
    27     5  1983     1682.790000
    28     5  1983     1648.440000
    29     5  1983     1356.310000
    30     5  1983     1217.160000
    31     5  1983     1142.150000
     1     6  1983     1007.230000
     2     6  1983      882.508000
     3     6  1983      877.191000
     4     6  1983      861.293000
     5     6  1983      887.835000
     6     6  1983      882.508000
     7     6  1983      798.521000
     8     6  1983      808.890000
     9     6  1983      861.293000
    10     6  1983      925.368000
    11     6  1983      985.214000
    12     6  1983      968.789000
    13     6  1983      898.514000
    14     6  1983      914.600000
    15     6  1983      930.765000
    16     6  1983     1051.680000
    17     6  1983     1293.490000
    18     6  1983     1317.930000
    19     6  1983     1217.160000
    20     6  1983     1130.720000
    21     6  1983     1034.950000
    22     6  1983      941.586000
    23     6  1983      871.882000
    24     6  1983      866.583000
    25     6  1983      914.600000
    26     6  1983      963.331000
    27     6  1983      925.368000
    28     6  1983      840.222000
    29     6  1983      819.297000
    30     6  1983      941.586000
     1     7  1983     1007.230000
     2     7  1983     1057.270000
     3     7  1983     1142.150000
     4     7  1983     1147.870000
     5     7  1983     1113.650000
     6     7  1983     1091.000000
     7     7  1983     1079.720000
     8     7  1983     1051.680000
     9     7  1983      974.256000
    10     7  1983      893.170000
    11     7  1983      824.515000
    12     7  1983      767.637000
    13     7  1983      686.975000
    14     7  1983      686.975000
    15     7  1983      682.018000
    16     7  1983      672.132000
    17     7  1983      662.288000
    18     7  1983      623.318000
    19     7  1983      599.300000
    20     7  1983      589.767000
    21     7  1983      575.547000
    22     7  1983      570.829000
    23     7  1983      570.829000
    24     7  1983      566.122000
    25     7  1983      561.426000
    26     7  1983      547.402000
    27     7  1983      538.108000
    28     7  1983      533.478000
    29     7  1983      515.070000
    30     7  1983      528.859000
    31     7  1983      528.859000
     1     8  1983      538.108000
     2     8  1983      533.478000
     3     8  1983      561.426000
     4     8  1983      711.913000
     5     8  1983      947.009000
     6     8  1983     1085.360000
     7     8  1983     1434.130000
     8     8  1983     1500.060000
     9     8  1983     1553.490000
    10     8  1983     1440.680000
    11     8  1983     1102.310000
    12     8  1983      726.994000
    13     8  1983      662.288000
    14     8  1983      647.597000
    15     8  1983      696.921000
    16     8  1983     1119.330000
    17     8  1983      985.214000
    18     8  1983      952.441000
    19     8  1983      979.731000
    20     8  1983      861.293000
    21     8  1983      834.977000
    22     8  1983      814.089000
    23     8  1983     1023.840000
    24     8  1983     1228.820000
    25     8  1983     1546.770000
    26     8  1983     1427.590000
    27     8  1983     1228.820000
    28     8  1983     1125.030000
    29     8  1983     1102.310000
    30     8  1983     1091.000000
    31     8  1983     1113.650000
     1     9  1983     1125.030000
     2     9  1983     1142.150000
     3     9  1983     1018.290000
     4     9  1983      850.739000
     5     9  1983      772.761000
     6     9  1983      721.957000
     7     9  1983      686.975000
     8     9  1983      667.205000
     9     9  1983      613.679000
    10     9  1983      589.767000
    11     9  1983      575.547000
    12     9  1983      561.426000
    13     9  1983      552.066000
    14     9  1983      552.066000
    15     9  1983      552.066000
    16     9  1983      538.108000
    17     9  1983      533.478000
    18     9  1983      533.478000
    19     9  1983      519.655000
    20     9  1983      496.843000
    21     9  1983      492.315000
    22     9  1983      469.850000
    23     9  1983      443.284000
    24     9  1983      438.898000
    25     9  1983      434.525000
    26     9  1983      430.164000
    27     9  1983      430.164000
    28     9  1983      425.815000
    29     9  1983      425.815000
    30     9  1983      425.815000
     1    10  1983      417.154000
     2    10  1983      412.843000
     3    10  1983      404.257000
     4    10  1983      399.983000
     5    10  1983      399.983000
     6    10  1983      391.474000
     7    10  1983      387.238000
     8    10  1983      387.238000
     9    10  1983      383.015000
    10    10  1983      374.609000
    11    10  1983      362.098000
    12    10  1983      333.372000
    13    10  1983      321.266000
    14    10  1983      317.259000
    15    10  1983      313.266000
    16    10  1983      301.371000
    17    10  1983      293.513000
    18    10  1983      285.714000
    19    10  1983      277.973000
    20    10  1983      277.973000
    21    10  1983      274.125000
    22    10  1983      274.125000
    23    10  1983      274.125000
    24    10  1983      270.292000
    25    10  1983      266.474000
    26    10  1983      258.884000
    27    10  1983      251.355000
    28    10  1983      277.973000
    29    10  1983      293.513000
    30    10  1983      317.259000
    31    10  1983      329.323000
     1    11  1983      329.323000
     2    11  1983      357.954000
     3    11  1983      374.609000
     4    11  1983      357.954000
     5    11  1983      362.098000
     6    11  1983      366.255000
     7    11  1983      362.098000
     8    11  1983      353.823000
     9    11  1983      353.823000
    10    11  1983      317.259000
    11    11  1983      309.287000
    12    11  1983      301.371000
    13    11  1983      329.323000
    14    11  1983      357.954000
    15    11  1983      391.474000
    16    11  1983      357.954000
    17    11  1983      349.706000
    18    11  1983      337.435000
    19    11  1983      317.259000
    20    11  1983      313.266000
    21    11  1983      313.266000
    22    11  1983      301.371000
    23    11  1983      293.513000
    24    11  1983      285.714000
    25    11  1983      285.714000
    26    11  1983      277.973000
    27    11  1983      255.112000
    28    11  1983      266.474000
    29    11  1983      240.180000
    30    11  1983      232.809000
     1    12  1983      225.503000
     2    12  1983      221.874000
     3    12  1983      221.874000
     4    12  1983      218.262000
     5    12  1983      211.087000
     6    12  1983      203.980000
     7    12  1983      211.087000
     8    12  1983      274.125000
     9    12  1983      285.714000
    10    12  1983      285.714000
    11    12  1983      281.836000
    12    12  1983      281.836000
    13    12  1983      321.266000
    14    12  1983      362.098000
    15    12  1983      474.320000
    16    12  1983      542.750000
    17    12  1983      777.894000
    18    12  1983      732.041000
    19    12  1983      608.875000
    20    12  1983      547.402000
    21    12  1983      566.122000
    22    12  1983      632.998000
    23    12  1983      608.875000
    24    12  1983      599.300000
    25    12  1983      570.829000
    26    12  1983      570.829000
    27    12  1983      487.799000
    28    12  1983      412.843000
    29    12  1983      353.823000
    30    12  1983      329.323000
    31    12  1983      317.259000
     1     1  1984      353.823000
     2     1  1984      395.722000
     3     1  1984      443.284000
     4     1  1984      460.947000
     5     1  1984      443.284000
     6     1  1984      412.843000
     7     1  1984      399.983000
     8     1  1984      438.898000
     9     1  1984      533.478000
    10     1  1984      604.082000
    11     1  1984      599.300000
    12     1  1984      542.750000
    13     1  1984      487.799000
    14     1  1984      434.525000
    15     1  1984      391.474000
    16     1  1984      357.954000
    17     1  1984      325.288000
    18     1  1984      325.288000
    19     1  1984      309.287000
    20     1  1984      309.287000
    21     1  1984      317.259000
    22     1  1984      353.823000
    23     1  1984      465.393000
    24     1  1984      686.975000
    25     1  1984      909.229000
    26     1  1984     1029.390000
    27     1  1984     1102.310000
    28     1  1984     1159.340000
    29     1  1984     1176.600000
    30     1  1984     1147.870000
    31     1  1984     1085.360000
     1     2  1984     1046.090000
     2     2  1984      996.207000
