FÉEESPERANÇA	-61.441	2.871
     1     1  1983      163.703000
     2     1  1983      156.160000
     3     1  1983      150.612000
     4     1  1983      145.157000
     5     1  1983      143.359000
     6     1  1983      141.572000
     7     1  1983      138.029000
     8     1  1983      104.899000
     9     1  1983       95.784400
    10     1  1983       94.302700
    11     1  1983       95.784400
    12     1  1983       94.302700
    13     1  1983       94.302700
    14     1  1983       95.784400
    15     1  1983       92.831700
    16     1  1983       87.055000
    17     1  1983       84.231200
    18     1  1983       81.450600
    19     1  1983       76.019500
    20     1  1983       73.369100
    21     1  1983       72.060200
    22     1  1983       70.762300
    23     1  1983       69.475300
    24     1  1983       66.934200
    25     1  1983       65.680100
    26     1  1983       63.205000
    27     1  1983       60.773900
    28     1  1983       57.210300
    29     1  1983       54.890000
    30     1  1983       53.746600
    31     1  1983       52.614400
     1     2  1983       52.614400
     2     2  1983       49.284700
     3     2  1983       48.197300
     4     2  1983       47.121100
     5     2  1983       46.056100
     6     2  1983       45.002500
     7     2  1983       43.960200
     8     2  1983       42.929100
     9     2  1983       45.002500
    10     2  1983       43.960200
    11     2  1983       41.909500
    12     2  1983       40.901200
    13     2  1983       40.901200
    14     2  1983       38.918700
    15     2  1983       40.901200
    16     2  1983       38.918700
    17     2  1983       36.982000
    18     2  1983       36.030800
    19     2  1983       35.091100
    20     2  1983       36.030800
    21     2  1983       36.982000
    22     2  1983       34.163000
    23     2  1983       33.246400
    24     2  1983       36.030800
    25     2  1983       37.944600
    26     2  1983       38.918700
    27     2  1983       43.960200
    28     2  1983       46.056100
     1     3  1983       45.002500
     2     3  1983       52.614400
     3     3  1983       50.383400
     4     3  1983       48.197300
     5     3  1983       47.121100
     6     3  1983       46.056100
     7     3  1983       42.929100
     8     3  1983       39.904200
     9     3  1983       36.982000
    10     3  1983       35.091100
    11     3  1983       33.246400
    12     3  1983       31.447800
    13     3  1983       30.565900
    14     3  1983       31.447800
    15     3  1983       30.565900
    16     3  1983       30.565900
    17     3  1983       29.695700
    18     3  1983       30.565900
    19     3  1983       34.163000
    20     3  1983       35.091100
    21     3  1983       34.163000
    22     3  1983       32.341300
    23     3  1983       31.447800
    24     3  1983       27.990200
    25     3  1983       31.447800
    26     3  1983       37.944600
    27     3  1983       36.030800
    28     3  1983       74.688800
    29     3  1983       72.060200
    30     3  1983       85.637700
    31     3  1983       89.921800
     1     4  1983       82.835500
     2     4  1983       66.934200
     3     4  1983       57.210300
     4     4  1983       50.383400
     5     4  1983       45.002500
     6     4  1983       78.713300
     7     4  1983      101.818000
     8     4  1983       91.371400
     9     4  1983       91.371400
    10     4  1983      150.612000
    11     4  1983      146.965000
    12     4  1983      201.765000
    13     4  1983      208.110000
    14     4  1983      274.106000
    15     4  1983      221.073000
    16     4  1983      197.585000
    17     4  1983      179.280000
    18     4  1983      146.965000
    19     4  1983      248.084000
    20     4  1983      474.693000
    21     4  1983      578.538000
    22     4  1983      553.781000
    23     4  1983      541.539000
    24     4  1983      500.603000
    25     4  1983      488.769000
    26     4  1983      416.129000
    27     4  1983      395.809000
    28     4  1983      375.960000
    29     4  1983      548.873000
    30     4  1983      526.969000
     1     5  1983      423.149000
     2     5  1983      383.254000
     3     5  1983      346.471000
     4     5  1983      363.559000
     5     5  1983      400.627000
     6     5  1983      463.681000
     7     5  1983      420.636000
     8     5  1983      395.650000
     9     5  1983      458.581000
    10     5  1983      423.149000
    11     5  1983      395.650000
    12     5  1983      370.925000
    13     5  1983      334.350000
    14     5  1983      288.970000
    15     5  1983      260.899000
    16     5  1983      274.874000
    17     5  1983      260.899000
    18     5  1983      249.347000
    19     5  1983      244.750000
    20     5  1983      242.458000
    21     5  1983      253.957000
    22     5  1983      237.883000
    23     5  1983      244.750000
    24     5  1983      267.871000
    25     5  1983      305.560000
    26     5  1983      373.385000
    27     5  1983      388.205000
    28     5  1983      363.559000
    29     5  1983      331.934000
    30     5  1983      305.560000
    31     5  1983      279.560000
     1     6  1983      270.202000
     2     6  1983      249.347000
     3     6  1983      251.650000
     4     6  1983      244.750000
     5     6  1983      228.778000
     6     6  1983      258.581000
     7     6  1983      279.560000
     8     6  1983      263.220000
     9     6  1983      242.458000
    10     6  1983      256.267000
    11     6  1983      240.169000
    12     6  1983      226.511000
    13     6  1983      226.511000
    14     6  1983      249.347000
    15     6  1983      256.267000
    16     6  1983      247.047000
    17     6  1983      240.169000
    18     6  1983      240.169000
    19     6  1983      237.883000
    20     6  1983      240.169000
    21     6  1983      256.267000
    22     6  1983      233.323000
    23     6  1983      224.248000
    24     6  1983      226.511000
    25     6  1983      231.048000
    26     6  1983      281.907000
    27     6  1983      237.883000
    28     6  1983      215.233000
    29     6  1983      208.513000
    30     6  1983      199.609000
     1     7  1983      233.323000
     2     7  1983      247.047000
     3     7  1983      277.215000
     4     7  1983      277.215000
     5     7  1983      272.537000
     6     7  1983      251.650000
     7     7  1983      244.750000
     8     7  1983      247.047000
     9     7  1983      226.511000
    10     7  1983      215.233000
    11     7  1983      199.609000
    12     7  1983      190.771000
    13     7  1983      175.468000
    14     7  1983      164.671000
    15     7  1983      160.385000
    16     7  1983      166.821000
    17     7  1983      171.135000
    18     7  1983      168.976000
    19     7  1983      224.248000
    20     7  1983      247.047000
    21     7  1983      226.511000
    22     7  1983      204.053000
    23     7  1983      197.393000
    24     7  1983      184.186000
    25     7  1983      182.000000
    26     7  1983      175.468000
    27     7  1983      186.377000
    28     7  1983      179.818000
    29     7  1983      171.135000
    30     7  1983      166.821000
    31     7  1983      162.525000
     1     8  1983      153.991000
     2     8  1983      149.753000
     3     8  1983      156.117000
     4     8  1983      164.671000
     5     8  1983      177.641000
     6     8  1983      208.513000
     7     8  1983      242.458000
     8     8  1983      240.169000
     9     8  1983      237.883000
    10     8  1983      224.248000
    11     8  1983      201.829000
    12     8  1983      177.641000
    13     8  1983      164.671000
    14     8  1983      153.991000
    15     8  1983      145.534000
    16     8  1983      141.336000
    17     8  1983      143.433000
    18     8  1983      151.869000
    19     8  1983      168.976000
    20     8  1983      184.186000
    21     8  1983      339.190000
    22     8  1983      300.804000
    23     8  1983      277.215000
    24     8  1983      258.581000
    25     8  1983      226.511000
    26     8  1983      224.248000
    27     8  1983      235.601000
    28     8  1983      235.601000
    29     8  1983      212.989000
    30     8  1983      210.749000
    31     8  1983      235.601000
     1     9  1983      199.609000
     2     9  1983      173.299000
     3     9  1983      145.534000
     4     9  1983      147.641000
     5     9  1983      143.433000
     6     9  1983      135.078000
     7     9  1983      130.933000
     8     9  1983      135.078000
     9     9  1983      156.117000
    10     9  1983      145.534000
    11     9  1983      139.245000
    12     9  1983      135.078000
    13     9  1983      133.003000
    14     9  1983      182.000000
    15     9  1983      201.829000
    16     9  1983      186.377000
    17     9  1983      164.671000
    18     9  1983      151.869000
    19     9  1983      145.534000
    20     9  1983      133.003000
    21     9  1983      122.707000
    22     9  1983      114.396000
    23     9  1983      111.188000
    24     9  1983      112.786000
    25     9  1983      139.245000
    26     9  1983      147.641000
    27     9  1983      135.078000
    28     9  1983      128.868000
    29     9  1983      120.938000
    30     9  1983      111.188000
     1    10  1983      106.455000
     2    10  1983      103.353000
     3    10  1983       98.779800
     4    10  1983       97.276800
     5    10  1983      100.294000
     6    10  1983      120.938000
     7    10  1983      139.245000
     8    10  1983      126.809000
     9    10  1983      112.786000
    10    10  1983      116.015000
    11    10  1983       95.784400
    12    10  1983       91.371400
    13    10  1983       89.921800
    14    10  1983       88.483000
    15    10  1983       87.055000
    16    10  1983       84.231200
    17    10  1983       81.450600
    18    10  1983       80.076600
    19    10  1983       78.713300
    20    10  1983       77.361000
    21    10  1983       77.361000
    22    10  1983       74.688800
    23    10  1983       73.369100
    24    10  1983       72.060200
    25    10  1983       77.361000
    26    10  1983       84.231200
    27    10  1983       88.483000
    28    10  1983       94.302700
    29    10  1983       95.784400
    30    10  1983      106.455000
    31    10  1983      133.003000
     1    11  1983      117.646000
     2    11  1983      112.786000
     3    11  1983      120.938000
     4    11  1983      135.078000
     5    11  1983      128.868000
     6    11  1983      116.015000
     7    11  1983      106.455000
     8    11  1983       98.779800
