CARACARAÍ	-61.124	1.821
     1     1  1983      593.238000
     2     1  1983      599.147000
     3     1  1983      623.020000
     4     1  1983      722.246000
     5     1  1983      840.864000
     6     1  1983      868.208000
     7     1  1983      840.864000
     8     1  1983      834.083000
     9     1  1983      807.184000
    10     1  1983      722.246000
    11     1  1983      722.246000
    12     1  1983      774.064000
    13     1  1983      800.515000
    14     1  1983      813.876000
    15     1  1983      882.012000
    16     1  1983      909.885000
    17     1  1983      895.904000
    18     1  1983      854.492000
    19     1  1983      800.515000
    20     1  1983      767.508000
    21     1  1983      735.064000
    22     1  1983      635.098000
    23     1  1983      617.016000
    24     1  1983      581.491000
    25     1  1983      564.049000
    26     1  1983      524.193000
    27     1  1983      501.951000
    28     1  1983      480.101000
    29     1  1983      427.213000
    30     1  1983      391.691000
    31     1  1983      391.691000
     1     2  1983      396.689000
     2     2  1983      386.719000
     3     2  1983      367.087000
     4     2  1983      357.428000
     5     2  1983      343.134000
     6     2  1983      333.737000
     7     2  1983      319.839000
     8     2  1983      310.707000
     9     2  1983      310.707000
    10     2  1983      301.683000
    11     2  1983      297.211000
    12     2  1983      288.349000
    13     2  1983      288.349000
    14     2  1983      283.959000
    15     2  1983      275.261000
    16     2  1983      279.596000
    17     2  1983      275.261000
    18     2  1983      270.953000
    19     2  1983      262.419000
    20     2  1983      262.419000
    21     2  1983      258.194000
    22     2  1983      258.194000
    23     2  1983      253.996000
    24     2  1983      253.996000
    25     2  1983      249.827000
    26     2  1983      249.827000
    27     2  1983      245.685000
    28     2  1983      237.487000
     1     3  1983      237.487000
     2     3  1983      275.261000
     3     3  1983      310.707000
     4     3  1983      347.872000
     5     3  1983      401.713000
     6     3  1983      432.389000
     7     3  1983      442.816000
     8     3  1983      386.719000
     9     3  1983      367.087000
    10     3  1983      347.872000
    11     3  1983      338.422000
    12     3  1983      329.078000
    13     3  1983      319.839000
    14     3  1983      310.707000
    15     3  1983      297.211000
    16     3  1983      288.349000
    17     3  1983      279.596000
    18     3  1983      270.953000
    19     3  1983      283.959000
    20     3  1983      283.959000
    21     3  1983      262.419000
    22     3  1983      249.827000
    23     3  1983      262.419000
    24     3  1983      301.683000
    25     3  1983      352.637000
    26     3  1983      496.451000
    27     3  1983      641.172000
    28     3  1983      635.098000
    29     3  1983      599.147000
    30     3  1983      617.016000
    31     3  1983      647.269000
     1     4  1983      659.534000
     2     4  1983      684.342000
