BASEALALAÚ	-60.520	-0.859
     1     1  1983       80.568500
     2     1  1983       60.282700
     3     1  1983       40.075100
     4     1  1983       30.342900
     5     1  1983       23.493200
     6     1  1983       19.900500
     7     1  1983       14.721700
     8     1  1983       12.918900
     9     1  1983       11.262200
    10     1  1983       11.262200
    11     1  1983       10.486900
    12     1  1983        9.746200
    13     1  1983        9.039500
    14     1  1983        7.724900
    15     1  1983        7.115900
    16     1  1983        6.538000
    17     1  1983        5.728200
    18     1  1983        4.984900
    19     1  1983        4.984900
    20     1  1983        4.984900
    21     1  1983        4.525000
    22     1  1983        3.886900
    23     1  1983        3.687600
    24     1  1983        3.494900
    25     1  1983        3.308700
    26     1  1983        3.128900
    27     1  1983        2.955400
    28     1  1983        2.955400
    29     1  1983        2.955400
    30     1  1983        2.626900
    31     1  1983        2.626900
     1     2  1983        2.626900
     2     2  1983        2.178900
     3     2  1983        2.178900
     4     2  1983        2.178900
     5     2  1983        2.178900
     6     2  1983        2.178900
     7     2  1983        2.178900
     8     2  1983        2.041200
     9     2  1983        2.041200
    10     2  1983        2.041200
    11     2  1983        1.545500
    12     2  1983        1.545500
    13     2  1983        1.545500
    14     2  1983        1.545500
    15     2  1983        1.434900
    16     2  1983        1.329400
    17     2  1983        1.329400
    18     2  1983        1.329400
    19     2  1983        1.133500
    20     2  1983        1.329400
    21     2  1983        1.545500
    22     2  1983        1.329400
    23     2  1983        1.329400
    24     2  1983        1.329400
    25     2  1983        1.329400
    26     2  1983        1.329400
    27     2  1983        1.329400
    28     2  1983        1.329400
     1     3  1983        1.329400
     2     3  1983        1.329400
     3     3  1983        1.329400
     4     3  1983        1.329400
     5     3  1983        1.329400
     6     3  1983        1.229000
     7     3  1983        1.133500
     8     3  1983        1.042800
     9     3  1983        1.042800
    10     3  1983        1.042800
    11     3  1983        0.956800
    12     3  1983        0.956800
    13     3  1983        0.956800
    14     3  1983        1.042800
    15     3  1983        0.956800
    16     3  1983        0.956800
    17     3  1983        0.956800
    18     3  1983        0.956800
    19     3  1983        0.956800
    20     3  1983        0.956800
    21     3  1983        5.473200
    22     3  1983        9.039500
    23     3  1983       13.801700
    24     3  1983       11.262200
    25     3  1983        9.746200
    26     3  1983       10.486900
    27     3  1983       13.355700
    28     3  1983       30.342900
    29     3  1983       33.398200
    30     3  1983       37.481200
    31     3  1983       33.398200
     1     4  1983       19.900500
     2     4  1983       20.473300
     3     4  1983       27.470200
     4     4  1983       36.640700
     5     4  1983       88.691000
     6     4  1983      190.897000
     7     4  1983      142.058000
     8     4  1983      115.924000
     9     4  1983       97.979200
    10     4  1983       92.800000
    11     4  1983      113.787000
    12     4  1983      115.924000
    13     4  1983      108.474000
    14     4  1983       93.832100
    15     4  1983       78.558500
    16     4  1983       69.865000
    17     4  1983       69.865000
    18     4  1983       86.648300
    19     4  1983      120.217000
    20     4  1983      136.541000
    21     4  1983      182.786000
    22     4  1983      246.779000
    23     4  1983      274.950000
    24     4  1983      359.696000
    25     4  1983      430.564000
    26     4  1983      446.593000
    27     4  1983      381.776000
    28     4  1983      337.840000
    29     4  1983      311.164000
    30     4  1983      299.846000
     1     5  1983      287.353000
     2     5  1983      251.641000
     3     5  1983      217.945000
     4     5  1983      207.290000
     5     5  1983      202.583000
     6     5  1983      197.895000
     7     5  1983      183.941000
     8     5  1983      165.609000
     9     5  1983      155.442000
    10     5  1983      153.198000
    11     5  1983      174.735000
    12     5  1983      171.304000
    13     5  1983      158.820000
    14     5  1983      185.098000
    15     5  1983      220.325000
    16     5  1983      229.886000
    17     5  1983      256.520000
    18     5  1983      239.515000
    19     5  1983      222.709000
    20     5  1983      222.709000
    21     5  1983      220.325000
    22     5  1983      234.692000
    23     5  1983      251.641000
    24     5  1983      251.641000
    25     5  1983      239.515000
    26     5  1983      215.570000
    27     5  1983      187.414000
    28     5  1983      159.948000
    29     5  1983      139.847000
    30     5  1983      120.217000
    31     5  1983      105.307000
     1     6  1983       92.800000
     2     6  1983       82.586900
     3     6  1983       74.564300
     4     6  1983       74.564300
     5     6  1983       76.557000
     6     6  1983       86.648300
     7     6  1983      110.594000
     8     6  1983      119.141000
     9     6  1983      121.294000
    10     6  1983      120.217000
    11     6  1983      121.294000
    12     6  1983      124.536000
    13     6  1983      126.705000
    14     6  1983      135.442000
    15     6  1983      140.951000
    16     6  1983      133.249000
    17     6  1983      128.880000
    18     6  1983      131.061000
    19     6  1983      143.165000
    20     6  1983      171.304000
    21     6  1983      201.410000
    22     6  1983      206.112000
    23     6  1983      199.065000
    24     6  1983      177.029000
    25     6  1983      155.442000
    26     6  1983      144.274000
    27     6  1983      146.497000
    28     6  1983      155.442000
    29     6  1983      164.475000
    30     6  1983      170.162000
     1     7  1983      181.633000
     2     7  1983      189.735000
     3     7  1983      193.225000
     4     7  1983      185.098000
     5     7  1983      161.077000
     6     7  1983      133.249000
     7     7  1983      114.854000
     8     7  1983      105.307000
     9     7  1983       93.832100
    10     7  1983       84.613500
    11     7  1983       77.556700
    12     7  1983       69.865000
    13     7  1983       62.594900
    14     7  1983       59.147100
    15     7  1983       62.594900
    16     7  1983       64.962400
    17     7  1983       73.571200
    18     7  1983       76.557000
    19     7  1983       72.401200
    20     7  1983       72.401200
    21     7  1983       82.586900
    22     7  1983       96.939600
    23     7  1983      120.217000
