JATUARANA	-59.678	-3.052
     1     1  1983   101752.000000
     2     1  1983   102311.000000
     3     1  1983   102631.000000
     4     1  1983   103193.000000
     5     1  1983   103676.000000
     6     1  1983   104323.000000
     7     1  1983   104973.000000
     8     1  1983   105380.000000
     9     1  1983   105707.000000
    10     1  1983   106034.000000
    11     1  1983   106362.000000
    12     1  1983   106690.000000
    13     1  1983   107020.000000
    14     1  1983   107267.000000
    15     1  1983   107432.000000
    16     1  1983   107598.000000
    17     1  1983   107763.000000
    18     1  1983   108012.000000
    19     1  1983   108344.000000
    20     1  1983   108676.000000
    21     1  1983   108926.000000
    22     1  1983   109093.000000
    23     1  1983   109260.000000
    24     1  1983   109511.000000
    25     1  1983   109678.000000
    26     1  1983   109846.000000
    27     1  1983   109930.000000
    28     1  1983   109930.000000
    29     1  1983   109930.000000
    30     1  1983   109930.000000
    31     1  1983   109930.000000
     1     2  1983   109930.000000
     2     2  1983   110182.000000
     3     2  1983   110266.000000
     4     2  1983   110266.000000
     5     2  1983   110266.000000
     6     2  1983   110350.000000
     7     2  1983   110518.000000
     8     2  1983   110602.000000
     9     2  1983   110602.000000
    10     2  1983   110602.000000
    11     2  1983   110434.000000
    12     2  1983   110266.000000
    13     2  1983   110098.000000
    14     2  1983   110098.000000
    15     2  1983   110098.000000
    16     2  1983   110182.000000
    17     2  1983   110182.000000
    18     2  1983   110350.000000
    19     2  1983   110687.000000
    20     2  1983   110855.000000
    21     2  1983   110940.000000
    22     2  1983   110940.000000
    23     2  1983   110940.000000
    24     2  1983   110940.000000
    25     2  1983   110940.000000
    26     2  1983   110855.000000
    27     2  1983   110771.000000
    28     2  1983   110434.000000
     1     3  1983   110266.000000
     2     3  1983   110266.000000
     3     3  1983   110266.000000
     4     3  1983   110434.000000
     5     3  1983   110602.000000
     6     3  1983   110771.000000
     7     3  1983   110940.000000
     8     3  1983   111109.000000
     9     3  1983   111109.000000
    10     3  1983   111109.000000
    11     3  1983   111109.000000
    12     3  1983   111109.000000
    13     3  1983   111109.000000
    14     3  1983   111109.000000
    15     3  1983   111109.000000
    16     3  1983   111278.000000
    17     3  1983   111447.000000
    18     3  1983   111447.000000
    19     3  1983   111447.000000
    20     3  1983   111701.000000
    21     3  1983   112211.000000
    22     3  1983   112551.000000
    23     3  1983   113149.000000
    24     3  1983   113663.000000
    25     3  1983   114264.000000
    26     3  1983   114695.000000
    27     3  1983   115127.000000
    28     3  1983   115474.000000
    29     3  1983   115821.000000
    30     3  1983   116169.000000
    31     3  1983   116779.000000
     1     4  1983   117391.000000
     2     4  1983   117830.000000
     3     4  1983   118270.000000
     4     4  1983   118711.000000
     5     4  1983   119174.000000
     6     4  1983   119699.000000
     7     4  1983   120225.000000
     8     4  1983   120436.000000
     9     4  1983   120964.000000
    10     4  1983   121494.000000
    11     4  1983   122132.000000
    12     4  1983   122558.000000
    13     4  1983   122771.000000
    14     4  1983   122985.000000
    15     4  1983   123199.000000
    16     4  1983   123843.000000
    17     4  1983   124273.000000
    18     4  1983   124813.000000
    19     4  1983   125354.000000
    20     4  1983   125896.000000
    21     4  1983   126658.000000
    22     4  1983   127533.000000
    23     4  1983   128302.000000
    24     4  1983   128963.000000
    25     4  1983   129738.000000
    26     4  1983   130182.000000
    27     4  1983   130849.000000
    28     4  1983   131408.000000
    29     4  1983   132080.000000
    30     4  1983   132754.000000
     1     5  1983   133318.000000
     2     5  1983   133883.000000
     3     5  1983   134677.000000
     4     5  1983   135360.000000
     5     5  1983   135816.000000
     6     5  1983   136160.000000
     7     5  1983   136963.000000
     8     5  1983   137423.000000
     9     5  1983   138115.000000
    10     5  1983   138578.000000
    11     5  1983   138926.000000
    12     5  1983   139390.000000
    13     5  1983   139856.000000
    14     5  1983   140323.000000
    15     5  1983   140908.000000
    16     5  1983   141377.000000
    17     5  1983   141964.000000
    18     5  1983   142318.000000
    19     5  1983   142790.000000
    20     5  1983   143026.000000
    21     5  1983   143382.000000
    22     5  1983   143856.000000
    23     5  1983   144213.000000
    24     5  1983   144689.000000
    25     5  1983   145166.000000
    26     5  1983   145765.000000
    27     5  1983   146124.000000
    28     5  1983   146365.000000
    29     5  1983   146605.000000
    30     5  1983   146846.000000
    31     5  1983   146966.000000
     1     6  1983   147207.000000
     2     6  1983   147569.000000
     3     6  1983   147690.000000
     4     6  1983   147448.000000
     5     6  1983   147328.000000
     6     6  1983   147207.000000
     7     6  1983   146966.000000
     8     6  1983   146725.000000
     9     6  1983   146485.000000
    10     6  1983   146244.000000
    11     6  1983   146124.000000
    12     6  1983   146004.000000
    13     6  1983   145885.000000
    14     6  1983   145645.000000
    15     6  1983   145406.000000
    16     6  1983   145166.000000
    17     6  1983   144928.000000
    18     6  1983   144808.000000
    19     6  1983   144570.000000
    20     6  1983   144213.000000
    21     6  1983   143975.000000
    22     6  1983   143737.000000
    23     6  1983   143263.000000
    24     6  1983   143026.000000
    25     6  1983   142790.000000
    26     6  1983   142554.000000
    27     6  1983   142200.000000
    28     6  1983   141964.000000
    29     6  1983   141612.000000
    30     6  1983   140908.000000
     1     7  1983   140673.000000
     2     7  1983   140206.000000
     3     7  1983   139740.000000
     4     7  1983   139274.000000
     5     7  1983   138810.000000
     6     7  1983   138231.000000
     7     7  1983   137769.000000
     8     7  1983   137193.000000
     9     7  1983   136618.000000
    10     7  1983   136160.000000
    11     7  1983   135474.000000
    12     7  1983   134904.000000
    13     7  1983   134450.000000
    14     7  1983   133883.000000
    15     7  1983   133092.000000
    16     7  1983   132641.000000
    17     7  1983   131967.000000
    18     7  1983   130961.000000
    19     7  1983   130071.000000
    20     7  1983   129184.000000
    21     7  1983   128412.000000
    22     7  1983   127753.000000
    23     7  1983   126768.000000
    24     7  1983   126223.000000
    25     7  1983   125571.000000
    26     7  1983   124381.000000
    27     7  1983   122985.000000
    28     7  1983   121706.000000
    29     7  1983   119909.000000
    30     7  1983   118358.000000
    31     7  1983   117304.000000
     1     8  1983   116430.000000
     2     8  1983   115041.000000
     3     8  1983   113834.000000
     4     8  1983   112381.000000
     5     8  1983   111193.000000
     6     8  1983   109762.000000
     7     8  1983   108427.000000
     8     8  1983   107102.000000
     9     8  1983   105952.000000
    10     8  1983   104810.000000
    11     8  1983   103515.000000
    12     8  1983   102151.000000
    13     8  1983   101037.000000
    14     8  1983    99851.600000
    15     8  1983    98598.000000
    16     8  1983    97587.100000
    17     8  1983    96506.300000
    18     8  1983    95586.200000
    19     8  1983    94596.000000
    20     8  1983    93763.600000
    21     8  1983    92861.100000
    22     8  1983    91592.400000
    23     8  1983    90851.600000
    24     8  1983    90041.300000
    25     8  1983    89308.900000
    26     8  1983    88580.400000
    27     8  1983    87783.700000
    28     8  1983    87279.200000
    29     8  1983    86561.800000
    30     8  1983    85919.600000
    31     8  1983    85493.200000
     1     9  1983    84644.600000
     2     9  1983    83941.800000
     3     9  1983    83242.900000
     4     9  1983    82894.900000
     5     9  1983    82547.800000
     6     9  1983    82063.600000
     7     9  1983    81787.800000
     8     9  1983    81512.500000
     9     9  1983    81237.900000
    10     9  1983    81100.900000
    11     9  1983    80963.900000
    12     9  1983    80827.200000
    13     9  1983    80622.300000
    14     9  1983    80417.800000
    15     9  1983    80145.700000
    16     9  1983    79942.000000
    17     9  1983    79806.400000
    18     9  1983    79603.200000
    19     9  1983    79332.900000
    20     9  1983    79130.600000
    21     9  1983    78928.600000
    22     9  1983    78861.400000
    23     9  1983    78727.000000
    24     9  1983    78727.000000
    25     9  1983    78592.800000
    26     9  1983    78458.700000
    27     9  1983    78324.800000
    28     9  1983    78057.400000
    29     9  1983    77790.600000
    30     9  1983    77657.400000
     1    10  1983    77391.500000
     2    10  1983    77060.100000
     3    10  1983    76927.700000
     4    10  1983    76663.500000
     5    10  1983    76334.100000
     6    10  1983    75809.000000
     7    10  1983    75156.100000
     8    10  1983    74831.000000
     9    10  1983    74571.600000
    10    10  1983    74312.800000
    11    10  1983    73797.100000
    12    10  1983    73283.700000
    13    10  1983    72709.000000
    14    10  1983    72074.000000
    15    10  1983    71379.800000
    16    10  1983    70690.000000
    17    10  1983    70191.200000
    18    10  1983    69694.700000
    19    10  1983    69385.600000
    20    10  1983    69139.000000
    21    10  1983    68954.400000
    22    10  1983    68831.500000
    23    10  1983    68708.800000
    24    10  1983    68708.800000
    25    10  1983    68892.900000
    26    10  1983    69015.900000
    27    10  1983    69200.600000
    28    10  1983    69323.900000
    29    10  1983    69509.100000
    30    10  1983    69632.800000
    31    10  1983    69818.600000
     1    11  1983    69942.700000
     2    11  1983    70129.000000
     3    11  1983    70502.700000
     4    11  1983    70752.500000
     5    11  1983    71003.000000
     6    11  1983    71254.000000
     7    11  1983    71694.800000
     8    11  1983    72200.700000
     9    11  1983    72645.400000
    10    11  1983    73027.900000
    11    11  1983    73604.300000
    12    11  1983    74183.700000
    13    11  1983    74766.100000
    14    11  1983    75286.400000
    15    11  1983    75809.000000
    16    11  1983    76334.100000
    17    11  1983    76993.900000
    18    11  1983    77458.000000
    19    11  1983    77724.000000
    20    11  1983    77990.600000
    21    11  1983    78124.200000
    22    11  1983    78458.700000
    23    11  1983    78928.600000
    24    11  1983    79198.000000
    25    11  1983    79468.000000
    26    11  1983    79738.600000
    27    11  1983    80009.800000
    28    11  1983    80213.600000
    29    11  1983    80349.700000
    30    11  1983    80417.800000
     1    12  1983    80417.800000
     2    12  1983    80417.800000
     3    12  1983    80349.700000
     4    12  1983    80349.700000
     5    12  1983    80349.700000
     6    12  1983    80349.700000
     7    12  1983    80485.900000
     8    12  1983    80690.600000
     9    12  1983    80963.900000
    10    12  1983    81100.900000
    11    12  1983    81375.200000
    12    12  1983    81787.800000
    13    12  1983    82201.800000
    14    12  1983    82825.400000
    15    12  1983    83312.600000
    16    12  1983    83801.700000
    17    12  1983    84644.600000
    18    12  1983    85635.200000
    19    12  1983    86347.400000
    20    12  1983    87063.600000
    21    12  1983    88217.700000
    22    12  1983    88798.500000
    23    12  1983    89381.900000
    24    12  1983    90041.300000
    25    12  1983    90851.600000
    26    12  1983    91666.700000
    27    12  1983    92337.300000
    28    12  1983    92861.100000
    29    12  1983    93537.400000
    30    12  1983    94065.700000
    31    12  1983    94900.000000
     1     1  1984    95509.800000
     2     1  1984    96122.200000
     3     1  1984    96737.200000
     4     1  1984    97122.900000
     5     1  1984    97432.200000
     6     1  1984    97975.100000
     7     1  1984    98676.000000
     8     1  1984    99066.900000
     9     1  1984    99615.800000
    10     1  1984   100325.000000
    11     1  1984   101116.000000
    12     1  1984   101593.000000
    13     1  1984   102231.000000
    14     1  1984   103032.000000
    15     1  1984   103676.000000
    16     1  1984   104080.000000
    17     1  1984   104485.000000
