CAREIRO	-59.833	-3.196
     1     1  2000     5956.490000
     2     1  2000     6095.790000
     3     1  2000     6246.380000
     4     1  2000     6388.160000
     5     1  2000     6510.640000
     6     1  2000     6654.630000
     7     1  2000     6768.600000
     8     1  2000     6872.830000
     9     1  2000     6935.650000
    10     1  2000     6988.170000
    11     1  2000     7040.840000
    12     1  2000     7114.820000
    13     1  2000     7178.460000
    14     1  2000     7252.980000
    15     1  2000     7327.790000
    16     1  2000     7392.140000
    17     1  2000     7435.150000
    18     1  2000     7478.260000
    19     1  2000     7521.470000
    20     1  2000     7564.760000
    21     1  2000     7608.150000
    22     1  2000     7651.640000
    23     1  2000     7695.210000
    24     1  2000     7738.880000
    25     1  2000     7782.640000
    26     1  2000     7826.500000
    27     1  2000     7859.450000
    28     1  2000     7892.450000
    29     1  2000     7936.530000
    30     1  2000     7980.710000
    31     1  2000     8024.980000
     1     2  2000     8069.340000
     2     2  2000     8124.920000
     3     2  2000     8169.480000
     4     2  2000     8225.320000
     5     2  2000     8281.300000
     6     2  2000     8348.660000
     7     2  2000     8416.220000
     8     2  2000     8495.310000
     9     2  2000     8540.620000
    10     2  2000     8597.400000
    11     2  2000     8642.910000
    12     2  2000     8677.110000
    13     2  2000     8722.790000
    14     2  2000     8780.010000
    15     2  2000     8848.860000
    16     2  2000     8906.390000
    17     2  2000     8964.060000
    18     2  2000     9021.870000
    19     2  2000     9068.220000
    20     2  2000     9103.040000
    21     2  2000     9172.830000
    22     2  2000     9231.140000
    23     2  2000     9254.500000
    24     2  2000     9289.580000
    25     2  2000     9324.720000
    26     2  2000     9348.170000
    27     2  2000     9371.640000
    28     2  2000     9395.140000
    29     2  2000     9430.420000
     1     3  2000     9465.760000
     2     3  2000     9489.340000
     3     3  2000     9524.760000
     4     3  2000     9560.220000
     5     3  2000     9607.590000
     6     3  2000     9643.170000
     7     3  2000     9699.180000
     8     3  2000     9836.190000
     9     3  2000     9957.130000
    10     3  2000    10026.700000
    11     3  2000    10202.000000
    12     3  2000    10361.500000
    13     3  2000    10486.700000
    14     3  2000    10612.800000
    15     3  2000    10740.100000
    16     3  2000    10868.300000
    17     3  2000    11034.600000
    18     3  2000    11165.200000
    19     3  2000    11315.600000
    20     3  2000    11467.400000
    21     3  2000    11601.400000
    22     3  2000    11775.100000
    23     3  2000    11931.000000
    24     3  2000    12088.200000
    25     3  2000    12207.000000
    26     3  2000    12326.700000
    27     3  2000    12467.200000
    28     3  2000    12588.500000
    29     3  2000    12710.600000
    30     3  2000    12812.900000
    31     3  2000    12915.800000
     1     4  2000    13019.200000
     2     4  2000    13144.100000
     3     4  2000    13290.800000
     4     4  2000    13438.500000
     5     4  2000    13587.300000
     6     4  2000    13737.300000
     7     4  2000    13845.100000
     8     4  2000    13975.100000
     9     4  2000    14149.800000
    10     4  2000    14237.700000
    11     4  2000    14370.200000
    12     4  2000    14503.500000
    13     4  2000    14660.100000
    14     4  2000    14863.100000
    15     4  2000    15068.000000
    16     4  2000    15297.800000
    17     4  2000    15413.500000
    18     4  2000    15553.300000
    19     4  2000    15788.000000
    20     4  2000    15977.400000
    21     4  2000    16144.400000
    22     4  2000    16312.600000
    23     4  2000    16457.700000
    24     4  2000    16628.000000
    25     4  2000    16824.100000
    26     4  2000    17071.400000
    27     4  2000    17245.900000
    28     4  2000    17421.600000
    29     4  2000    17598.600000
    30     4  2000    17725.600000
     1     5  2000    17853.300000
     2     5  2000    17955.900000
     3     5  2000    18058.900000
     4     5  2000    18188.300000
     5     5  2000    18344.200000
     6     5  2000    18553.600000
     7     5  2000    18738.100000
     8     5  2000    18870.600000
     9     5  2000    19003.700000
    10     5  2000    19110.700000
    11     5  2000    19271.900000
    12     5  2000    19406.900000
    13     5  2000    19488.200000
    14     5  2000    19597.000000
    15     5  2000    19706.100000
    16     5  2000    19815.700000
    17     5  2000    19898.200000
    18     5  2000    20008.500000
    19     5  2000    20174.700000
    20     5  2000    20369.700000
    21     5  2000    20509.800000
    22     5  2000    20622.300000
    23     5  2000    20763.600000
    24     5  2000    20905.500000
    25     5  2000    21019.500000
    26     5  2000    21105.200000
    27     5  2000    21219.900000
    28     5  2000    21335.000000
    29     5  2000    21450.600000
    30     5  2000    21566.500000
    31     5  2000    21653.800000
     1     6  2000    21712.100000
     2     6  2000    21828.900000
     3     6  2000    21916.900000
     4     6  2000    22132.900000
     5     6  2000    22387.100000
     6     6  2000    22557.300000
     7     6  2000    22642.600000
     8     6  2000    22813.500000
     9     6  2000    22985.000000
    10     6  2000    23071.000000
    11     6  2000    23157.100000
    12     6  2000    23243.300000
    13     6  2000    23502.700000
    14     6  2000    23676.300000
    15     6  2000    23937.700000
    16     6  2000    24025.000000
    17     6  2000    24112.600000
    18     6  2000    24288.000000
    19     6  2000    24464.000000
    20     6  2000    24640.400000
    21     6  2000    24728.900000
    22     6  2000    24817.500000
    23     6  2000    24995.000000
    24     6  2000    25083.900000
    25     6  2000    25083.900000
    26     6  2000    25083.900000
    27     6  2000    25083.900000
    28     6  2000    25083.900000
    29     6  2000    25083.900000
    30     6  2000    25083.900000
     1     7  2000    24995.000000
     2     7  2000    24995.000000
     3     7  2000    24906.200000
     4     7  2000    24995.000000
     5     7  2000    24906.200000
     6     7  2000    24817.500000
     7     7  2000    24817.500000
     8     7  2000    24728.900000
     9     7  2000    24640.400000
    10     7  2000    24640.400000
    11     7  2000    24552.200000
    12     7  2000    24464.000000
    13     7  2000    24375.900000
    14     7  2000    24288.000000
    15     7  2000    24200.200000
    16     7  2000    24025.000000
    17     7  2000    23850.400000
    18     7  2000    23676.300000
    19     7  2000    23502.700000
    20     7  2000    23329.600000
    21     7  2000    23157.100000
    22     7  2000    22985.000000
    23     7  2000    22813.500000
    24     7  2000    22642.600000
    25     7  2000    22472.100000
    26     7  2000    22302.200000
    27     7  2000    22217.500000
    28     7  2000    21964.000000
    29     7  2000    21858.200000
    30     7  2000    21799.700000
    31     7  2000    21682.900000
     1     8  2000    21566.500000
     2     8  2000    21450.600000
     3     8  2000    21306.200000
     4     8  2000    21191.200000
     5     8  2000    21105.200000
     6     8  2000    20990.900000
     7     8  2000    20905.500000
     8     8  2000    20791.900000
     9     8  2000    20650.600000
    10     8  2000    20537.900000
    11     8  2000    20425.700000
    12     8  2000    20286.000000
    13     8  2000    20119.200000
    14     8  2000    19953.300000
    15     8  2000    19815.700000
