PEDRASNEGRAS	-62.899	-12.851
     1     1  1983      766.357000
     2     1  1983      769.668000
     3     1  1983      776.311000
     4     1  1983      782.985000
     5     1  1983      793.052000
     6     1  1983      803.186000
     7     1  1983      809.980000
     8     1  1983      813.388000
     9     1  1983      816.804000
    10     1  1983      823.658000
    11     1  1983      830.543000
    12     1  1983      833.996000
    13     1  1983      837.457000
    14     1  1983      844.402000
    15     1  1983      847.885000
    16     1  1983      854.875000
    17     1  1983      861.896000
    18     1  1983      876.026000
    19     1  1983      883.137000
    20     1  1983      890.278000
    21     1  1983      904.651000
    22     1  1983      922.787000
    23     1  1983      937.433000
    24     1  1983      944.801000
    25     1  1983      963.355000
    26     1  1983      978.334000
    27     1  1983      989.649000
    28     1  1983     1001.030000
    29     1  1983     1016.320000
    30     1  1983     1039.470000
    31     1  1983     1055.060000
     1     2  1983     1078.670000
     2     2  1983     1094.560000
     3     2  1983     1110.580000
     4     2  1983     1126.720000
     5     2  1983     1138.900000
     6     2  1983     1151.160000
     7     2  1983     1159.370000
     8     2  1983     1180.020000
     9     2  1983     1205.050000
    10     2  1983     1217.680000
    11     2  1983     1226.130000
    12     2  1983     1230.370000
    13     2  1983     1238.870000
    14     2  1983     1260.250000
    15     2  1983     1264.550000
    16     2  1983     1277.500000
    17     2  1983     1296.390000
    18     2  1983     1303.480000
    19     2  1983     1310.590000
    20     2  1983     1324.850000
    21     2  1983     1339.170000
    22     2  1983     1353.540000
    23     2  1983     1375.210000
    24     2  1983     1375.210000
    25     2  1983     1382.460000
    26     2  1983     1382.460000
    27     2  1983     1389.720000
    28     2  1983     1389.720000
     1     3  1983     1397.000000
     2     3  1983     1411.590000
     3     3  1983     1418.910000
     4     3  1983     1426.250000
     5     3  1983     1440.960000
     6     3  1983     1455.720000
     7     3  1983     1470.540000
     8     3  1983     1477.970000
     9     3  1983     1477.970000
    10     3  1983     1485.410000
    11     3  1983     1485.410000
    12     3  1983     1492.870000
    13     3  1983     1492.870000
    14     3  1983     1485.410000
    15     3  1983     1477.970000
    16     3  1983     1470.540000
    17     3  1983     1470.540000
    18     3  1983     1470.540000
    19     3  1983     1463.120000
    20     3  1983     1463.120000
    21     3  1983     1455.720000
    22     3  1983     1448.330000
    23     3  1983     1440.960000
    24     3  1983     1440.960000
    25     3  1983     1440.960000
    26     3  1983     1448.330000
    27     3  1983     1455.720000
    28     3  1983     1463.120000
    29     3  1983     1470.540000
    30     3  1983     1470.540000
    31     3  1983     1470.540000
     1     4  1983     1470.540000
     2     4  1983     1477.970000
     3     4  1983     1477.970000
     4     4  1983     1477.970000
     5     4  1983     1477.970000
     6     4  1983     1477.970000
     7     4  1983     1477.970000
     8     4  1983     1477.970000
     9     4  1983     1477.970000
    10     4  1983     1477.970000
    11     4  1983     1477.970000
    12     4  1983     1470.540000
    13     4  1983     1470.540000
    14     4  1983     1463.120000
    15     4  1983     1463.120000
    16     4  1983     1455.720000
    17     4  1983     1455.720000
    18     4  1983     1448.330000
    19     4  1983     1440.960000
    20     4  1983     1440.960000
    21     4  1983     1433.590000
    22     4  1983     1433.590000
    23     4  1983     1433.590000
    24     4  1983     1433.590000
    25     4  1983     1426.250000
    26     4  1983     1426.250000
    27     4  1983     1426.250000
    28     4  1983     1418.910000
    29     4  1983     1418.910000
    30     4  1983     1418.910000
     1     5  1983     1418.910000
     2     5  1983     1440.960000
     3     5  1983     1433.590000
     4     5  1983     1426.250000
     5     5  1983     1418.910000
     6     5  1983     1404.290000
     7     5  1983     1389.720000
     8     5  1983     1382.460000
     9     5  1983     1375.210000
