BOCADOPOMPEU-JUSANTE	-65.043	-10.918
     1     1  1983       45.386500
     2     1  1983       46.643900
     3     1  1983       50.866000
     4     1  1983       54.601700
     5     1  1983       66.721400
     6     1  1983       83.730500
     7     1  1983       97.582600
     8     1  1983      116.515000
     9     1  1983      153.539000
    10     1  1983      164.886000
    11     1  1983      182.533000
    12     1  1983      192.656000
    13     1  1983      192.656000
    14     1  1983      188.580000
    15     1  1983      180.535000
    16     1  1983      170.685000
    17     1  1983      161.066000
    18     1  1983      153.539000
    19     1  1983      147.992000
    20     1  1983      146.161000
    21     1  1983      146.161000
    22     1  1983      146.161000
    23     1  1983      153.539000
    24     1  1983      155.407000
    25     1  1983      161.066000
    26     1  1983      153.539000
    27     1  1983      144.341000
    28     1  1983      130.119000
    29     1  1983      118.182000
    30     1  1983      105.466000
    31     1  1983      100.989000
     1     2  1983       98.065100
     2     2  1983       95.665900
     3     2  1983       91.432100
     4     2  1983       94.242500
     5     2  1983       99.520900
     6     2  1983      106.476000
     7     2  1983      128.384000
     8     2  1983      144.341000
     9     2  1983      164.886000
    10     2  1983      190.613000
    11     2  1983      198.839000
    12     2  1983      220.031000
    13     2  1983      226.562000
    14     2  1983      235.392000
    15     2  1983      233.171000
    16     2  1983      228.756000
    17     2  1983      220.031000
    18     2  1983      222.199000
    19     2  1983      215.721000
    20     2  1983      200.918000
    21     2  1983      190.613000
    22     2  1983      180.535000
    23     2  1983      174.598000
    24     2  1983      172.637000
    25     2  1983      172.637000
    26     2  1983      170.685000
    27     2  1983      172.637000
    28     2  1983      180.535000
     1     3  1983      190.613000
     2     3  1983      192.656000
     3     3  1983      188.580000
     4     3  1983      184.539000
     5     3  1983      176.568000
     6     3  1983      168.743000
     7     3  1983      170.685000
     8     3  1983      168.743000
     9     3  1983      178.547000
    10     3  1983      188.580000
    11     3  1983      186.555000
    12     3  1983      186.555000
    13     3  1983      207.209000
    14     3  1983      205.103000
    15     3  1983      198.839000
    16     3  1983      188.580000
    17     3  1983      182.533000
    18     3  1983      178.547000
    19     3  1983      176.568000
    20     3  1983      178.547000
    21     3  1983      180.535000
    22     3  1983      180.535000
    23     3  1983      180.535000
    24     3  1983      180.535000
    25     3  1983      178.547000
    26     3  1983      176.568000
    27     3  1983      172.637000
    28     3  1983      174.598000
    29     3  1983      180.535000
    30     3  1983      192.656000
    31     3  1983      192.656000
     1     4  1983      196.769000
     2     4  1983      186.555000
     3     4  1983      180.535000
     4     4  1983      180.535000
     5     4  1983      182.533000
     6     4  1983      186.555000
     7     4  1983      196.769000
     8     4  1983      209.324000
     9     4  1983      211.447000
    10     4  1983      203.006000
    11     4  1983      200.918000
    12     4  1983      194.708000
    13     4  1983      190.613000
    14     4  1983      188.580000
    15     4  1983      186.555000
    16     4  1983      180.535000
    17     4  1983      180.535000
    18     4  1983      184.539000
    19     4  1983      194.708000
    20     4  1983      209.324000
    21     4  1983      217.872000
    22     4  1983      220.031000
    23     4  1983      211.447000
    24     4  1983      200.918000
    25     4  1983      186.555000
    26     4  1983      176.568000
    27     4  1983      162.972000
    28     4  1983      151.680000
    29     4  1983      146.161000
    30     4  1983      138.936000
     1     5  1983      130.119000
     2     5  1983      126.660000
     3     5  1983      119.858000
     4     5  1983      113.213000
     5     5  1983      106.476000
     6     5  1983      103.463000
     7     5  1983       99.520900
     8     5  1983       98.549000
     9     5  1983       96.621500
    10     5  1983       93.770700
    11     5  1983       90.968400
    12     5  1983       87.306800
    13     5  1983       88.214200
    14     5  1983       87.306800
    15     5  1983       85.508100
    16     5  1983       84.172900
    17     5  1983       81.974200
    18     5  1983       79.379300
    19     5  1983       77.253000
    20     5  1983       75.993000
    21     5  1983       74.331200
    22     5  1983       75.159500
    23     5  1983       74.331200
    24     5  1983       82.849700
    25     5  1983       85.508100
    26     5  1983       86.404800
    27     5  1983       83.289500
    28     5  1983       81.538400
    29     5  1983       77.253000
    30     5  1983       73.919000
    31     5  1983       70.668300
     1     6  1983       67.892000
     2     6  1983       64.796100
     3     6  1983       62.528000
     4     6  1983       60.305700
     5     6  1983       58.488600
     6     6  1983       57.057600
     7     6  1983       55.297100
     8     6  1983       54.601700
     9     6  1983       51.869900
    10     6  1983       50.533800
    11     6  1983       48.891500
    12     6  1983       47.920900
    13     6  1983       46.961300
    14     6  1983       45.386500
    15     6  1983       43.842100
    16     6  1983       42.328100
    17     6  1983       41.434100
    18     6  1983       40.844200
    19     6  1983       39.968300
    20     6  1983       39.103100
    21     6  1983       38.248700
    22     6  1983       37.126100
    23     6  1983       36.296700
    24     6  1983       35.207200
    25     6  1983       34.136600
    26     6  1983       33.084800
    27     6  1983       32.308200
