GUAJARÁ-MIRIM	-65.348	-10.793
     1     1  1983    10323.200000
     2     1  1983    10381.300000
     3     1  1983    10410.400000
     4     1  1983    10497.800000
     5     1  1983    10556.300000
     6     1  1983    10644.200000
     7     1  1983    10791.400000
     8     1  1983    10850.500000
     9     1  1983    10909.800000
    10     1  1983    10998.900000
    11     1  1983    11058.400000
    12     1  1983    11118.100000
    13     1  1983    11177.900000
    14     1  1983    11237.900000
    15     1  1983    11297.900000
    16     1  1983    11328.000000
    17     1  1983    11358.100000
    18     1  1983    11418.500000
    19     1  1983    11448.700000
    20     1  1983    11509.200000
    21     1  1983    11509.200000
    22     1  1983    11539.500000
    23     1  1983    11569.800000
    24     1  1983    11600.200000
    25     1  1983    11630.600000
    26     1  1983    11661.100000
    27     1  1983    11691.500000
    28     1  1983    11722.000000
    29     1  1983    11752.500000
    30     1  1983    11813.700000
    31     1  1983    11875.000000
     1     2  1983    11905.700000
     2     2  1983    11936.400000
     3     2  1983    11967.100000
     4     2  1983    12028.700000
     5     2  1983    12059.600000
     6     2  1983    12090.500000
     7     2  1983    12121.400000
     8     2  1983    12214.300000
     9     2  1983    12276.400000
    10     2  1983    12338.600000
    11     2  1983    12401.000000
    12     2  1983    12463.500000
    13     2  1983    12557.400000
    14     2  1983    12620.200000
    15     2  1983    12683.100000
    16     2  1983    12746.200000
    17     2  1983    12841.000000
    18     2  1983    12904.300000
    19     2  1983    12999.600000
    20     2  1983    13063.300000
    21     2  1983    13159.000000
    22     2  1983    13223.000000
    23     2  1983    13255.000000
    24     2  1983    13287.100000
    25     2  1983    13319.200000
    26     2  1983    13351.300000
    27     2  1983    13383.400000
    28     2  1983    13415.600000
     1     3  1983    13415.600000
     2     3  1983    13415.600000
     3     3  1983    13447.900000
     4     3  1983    13480.100000
     5     3  1983    13544.700000
     6     3  1983    13609.400000
     7     3  1983    13641.800000
     8     3  1983    13706.700000
     9     3  1983    13739.200000
    10     3  1983    13804.300000
    11     3  1983    13902.200000
