PORTOVELHO	-63.920	-8.737
     1     1  1983    27421.200000
     2     1  1983    26779.800000
     3     1  1983    26037.200000
     4     1  1983    25271.200000
     5     1  1983    24768.300000
     6     1  1983    24625.800000
     7     1  1983    24590.200000
     8     1  1983    24306.900000
     9     1  1983    24130.900000
    10     1  1983    24271.600000
    11     1  1983    24483.700000
    12     1  1983    24625.800000
    13     1  1983    25054.900000
    14     1  1983    25452.300000
    15     1  1983    25634.200000
    16     1  1983    26000.400000
    17     1  1983    26221.600000
    18     1  1983    26406.900000
    19     1  1983    26817.300000
    20     1  1983    27994.900000
    21     1  1983    29282.900000
    22     1  1983    29800.100000
    23     1  1983    29720.200000
    24     1  1983    28967.400000
    25     1  1983    28498.100000
    26     1  1983    28303.900000
    27     1  1983    27918.000000
    28     1  1983    27649.800000
    29     1  1983    27383.200000
    30     1  1983    27307.300000
    31     1  1983    27726.300000
     1     2  1983    28615.000000
     2     2  1983    30121.200000
     3     2  1983    30974.100000
     4     2  1983    31468.000000
     5     2  1983    31841.700000
     6     2  1983    31966.800000
     7     2  1983    31966.800000
     8     2  1983    31800.000000
     9     2  1983    31385.400000
    10     2  1983    30974.100000
    11     2  1983    30688.200000
    12     2  1983    30403.900000
    13     2  1983    30525.500000
    14     2  1983    30851.300000
    15     2  1983    30892.200000
    16     2  1983    30688.200000
    17     2  1983    30606.800000
    18     2  1983    30688.200000
    19     2  1983    30974.100000
    20     2  1983    31841.700000
    21     2  1983    33106.800000
    22     2  1983    33923.700000
    23     2  1983    34665.100000
    24     2  1983    35061.600000
    25     2  1983    35371.900000
    26     2  1983    35550.000000
    27     2  1983    35550.000000
    28     2  1983    35594.600000
     1     3  1983    35594.600000
     2     3  1983    35683.900000
     3     3  1983    35550.000000
     4     3  1983    35371.900000
     5     3  1983    34973.300000
     6     3  1983    34709.000000
     7     3  1983    34489.800000
     8     3  1983    34621.200000
     9     3  1983    34841.000000
    10     3  1983    34885.000000
    11     3  1983    35194.400000
    12     3  1983    35061.600000
    13     3  1983    34973.300000
    14     3  1983    35061.600000
    15     3  1983    35327.500000
    16     3  1983    35952.700000
    17     3  1983    36313.000000
    18     3  1983    36630.000000
    19     3  1983    36766.400000
    20     3  1983    37131.700000
    21     3  1983    37545.300000
    22     3  1983    37637.600000
    23     3  1983    37591.400000
    24     3  1983    37730.000000
    25     3  1983    37822.600000
    26     3  1983    37915.300000
    27     3  1983    37915.300000
    28     3  1983    37545.300000
    29     3  1983    36584.600000
    30     3  1983    35238.700000
    31     3  1983    33923.700000
     1     4  1983    32681.700000
     2     4  1983    31966.800000
     3     4  1983    31800.000000
     4     4  1983    32176.100000
     5     4  1983    32302.000000
