JI-PARANÁ	-61.936	-10.874
     1     1  1983      733.660000
     2     1  1983      714.550000
     3     1  1983      782.250000
     4     1  1983      787.170000
     5     1  1983      757.810000
     6     1  1983      738.470000
     7     1  1983      709.810000
     8     1  1983      709.810000
     9     1  1983      709.810000
    10     1  1983      700.350000
    11     1  1983      686.240000
    12     1  1983      649.160000
    13     1  1983      621.850000
    14     1  1983      608.360000
    15     1  1983      603.890000
    16     1  1983      594.980000
    17     1  1983      599.430000
    18     1  1983      590.550000
    19     1  1983      586.130000
    20     1  1983      568.560000
    21     1  1983      590.550000
    22     1  1983      581.720000
    23     1  1983      572.930000
    24     1  1983      577.320000
    25     1  1983      586.130000
    26     1  1983      621.850000
    27     1  1983      599.430000
    28     1  1983      590.550000
    29     1  1983      649.160000
    30     1  1983      658.360000
    31     1  1983      644.580000
     1     2  1983      743.290000
     2     2  1983      898.310000
     3     2  1983      982.520000
     4     2  1983      924.330000
     5     2  1983      837.010000
     6     2  1983      940.070000
     7     2  1983     1004.010000
     8     2  1983      971.840000
     9     2  1983     1009.400000
    10     2  1983     1042.020000
    11     2  1983     1069.490000
    12     2  1983     1097.230000
    13     2  1983     1058.470000
    14     2  1983     1014.810000
    15     2  1983      945.330000
    16     2  1983      893.140000
    17     2  1983      903.490000
    18     2  1983      977.170000
    19     2  1983      987.870000
    20     2  1983      977.170000
    21     2  1983      993.240000
    22     2  1983     1009.400000
    23     2  1983     1153.490000
    24     2  1983     1222.370000
    25     2  1983     1275.000000
    26     2  1983     1245.660000
    27     2  1983     1142.160000
    28     2  1983     1009.400000
     1     3  1983      940.070000
     2     3  1983      857.270000
     3     3  1983      762.670000
     4     3  1983      719.310000
     5     3  1983      743.290000
     6     3  1983      831.980000
     7     3  1983      887.980000
     8     3  1983      882.840000
     9     3  1983      898.310000
    10     3  1983     1025.660000
    11     3  1983     1292.730000
    12     3  1983     1419.320000
    13     3  1983     1524.980000
    14     3  1983     1678.890000
    15     3  1983     1691.960000
    16     3  1983     1626.980000
    17     3  1983     1481.130000
    18     3  1983     1370.580000
    19     3  1983     1352.460000
    20     3  1983     1419.320000
    21     3  1983     1705.070000
    22     3  1983     1838.220000
    23     3  1983     1851.740000
    24     3  1983     1556.590000
    25     3  1983     1257.370000
    26     3  1983      955.900000
    27     3  1983      872.580000
    28     3  1983      877.700000
    29     3  1983     1097.230000
    30     3  1983     1376.640000
    31     3  1983     1456.290000
     1     4  1983     1425.460000
     2     4  1983     1382.700000
     3     4  1983     1322.470000
     4     4  1983     1280.900000
     5     4  1983     1228.180000
     6     4  1983     1210.790000
     7     4  1983     1187.750000
     8     4  1983     1322.470000
     9     4  1983     1425.460000
    10     4  1983     1462.490000
    11     4  1983     1474.910000
    12     4  1983     1450.100000
    13     4  1983     1413.190000
    14     4  1983     1352.460000
    15     4  1983     1216.580000
    16     4  1983     1086.100000
    17     4  1983      977.170000
    18     4  1983      893.140000
    19     4  1983      806.970000
    20     4  1983      748.120000
    21     4  1983      649.160000
    22     4  1983      621.850000
    23     4  1983      577.320000
    24     4  1983      572.930000
    25     4  1983      649.160000
    26     4  1983      568.560000
    27     4  1983      568.560000
    28     4  1983      568.560000
    29     4  1983      572.930000
    30     4  1983      542.580000
     1     5  1983      529.760000
     2     5  1983      534.020000
     3     5  1983      546.880000
     4     5  1983      542.580000
     5     5  1983      529.760000
     6     5  1983      500.290000
     7     5  1983      471.460000
     8     5  1983      443.260000
     9     5  1983      415.720000
    10     5  1983      400.270000
    11     5  1983      388.830000
    12     5  1983      381.270000
    13     5  1983      366.320000
    14     5  1983      358.930000
    15     5  1983      358.930000
    16     5  1983      366.320000
    17     5  1983      388.830000
