TABAJARA	-62.054	-8.933
     1     1  1983      958.943000
     2     1  1983     1003.320000
     3     1  1983     1045.030000
     4     1  1983     1079.910000
     5     1  1983     1113.180000
     6     1  1983     1130.340000
     7     1  1983     1126.030000
     8     1  1983     1130.340000
     9     1  1983     1156.380000
    10     1  1983     1205.040000
    11     1  1983     1259.500000
    12     1  1983     1372.770000
    13     1  1983     1486.850000
    14     1  1983     1564.200000
    15     1  1983     1606.410000
    16     1  1983     1654.710000
    17     1  1983     1681.920000
    18     1  1983     1665.560000
    19     1  1983     1633.140000
    20     1  1983     1601.100000
    21     1  1983     1595.800000
    22     1  1983     1595.800000
    23     1  1983     1590.500000
    24     1  1983     1611.740000
    25     1  1983     1665.560000
    26     1  1983     1726.000000
    27     1  1983     1776.400000
    28     1  1983     1799.090000
    29     1  1983     1827.680000
    30     1  1983     1903.300000
    31     1  1983     1980.750000
     1     2  1983     2047.740000
     2     2  1983     2103.550000
     3     2  1983     2153.910000
     4     2  1983     2211.420000
     5     2  1983     2263.300000
     6     2  1983     2289.510000
     7     2  1983     2276.380000
     8     2  1983     2217.860000
     9     2  1983     2198.560000
    10     2  1983     2198.560000
    11     2  1983     2198.560000
    12     2  1983     2211.420000
    13     2  1983     2230.790000
    14     2  1983     2276.380000
    15     2  1983     2329.170000
    16     2  1983     2389.420000
    17     2  1983     2396.170000
    18     2  1983     2362.520000
    19     2  1983     2309.290000
    20     2  1983     2282.940000
    21     2  1983     2276.380000
    22     2  1983     2276.380000
    23     2  1983     2296.090000
    24     2  1983     2329.170000
    25     2  1983     2369.230000
    26     2  1983     2416.490000
    27     2  1983     2478.070000
    28     2  1983     2561.630000
     1     3  1983     2639.690000
     2     3  1983     2726.450000
     3     3  1983     2822.340000
     4     3  1983     2905.030000
     5     3  1983     2950.740000
     6     3  1983     2981.450000
     7     3  1983     2981.450000
     8     3  1983     2950.740000
     9     3  1983     2912.620000
    10     3  1983     2882.340000
    11     3  1983     2897.450000
    12     3  1983     2973.750000
    13     3  1983     3074.720000
    14     3  1983     3153.760000
    15     3  1983     3234.010000
    16     3  1983     3315.460000
    17     3  1983     3406.470000
    18     3  1983     3482.030000
    19     3  1983     3558.580000
    20     3  1983     3627.460000
    21     3  1983     3679.650000
    22     3  1983     3679.650000
    23     3  1983     3662.200000
    24     3  1983     3653.500000
    25     3  1983     3601.540000
    26     3  1983     3567.150000
    27     3  1983     3558.580000
    28     3  1983     3550.020000
    29     3  1983     3482.030000
    30     3  1983     3423.170000
    31     3  1983     3373.200000
     1     4  1983     3331.900000
     2     4  1983     3282.730000
     3     4  1983     3217.860000
     4     4  1983     3169.710000
     5     4  1983     3114.090000
     6     4  1983     3066.880000
     7     4  1983     3012.340000
     8     4  1983     2973.750000
     9     4  1983     2912.620000
    10     4  1983     2867.270000
    11     4  1983     2800.030000
    12     4  1983     2748.400000
