HUMAITÁ	-63.020	-7.505
     1     1  1983    26789.700000
     2     1  1983    27032.700000
     3     1  1983    27086.800000
     4     1  1983    27005.700000
     5     1  1983    26897.600000
     6     1  1983    26762.700000
     7     1  1983    26574.400000
     8     1  1983    26225.800000
     9     1  1983    26012.200000
    10     1  1983    25799.200000
    11     1  1983    25481.000000
    12     1  1983    25190.600000
    13     1  1983    25217.000000
    14     1  1983    25852.400000
    15     1  1983    26012.200000
    16     1  1983    26145.600000
    17     1  1983    26252.600000
    18     1  1983    26386.500000
    19     1  1983    26574.400000
    20     1  1983    26843.600000
    21     1  1983    27630.300000
    22     1  1983    28013.100000
    23     1  1983    28205.200000
    24     1  1983    28205.200000
    25     1  1983    28095.400000
    26     1  1983    27958.300000
    27     1  1983    27821.400000
    28     1  1983    27712.100000
    29     1  1983    27603.000000
    30     1  1983    27575.700000
    31     1  1983    27684.800000
     1     2  1983    27903.500000
     2     2  1983    28205.200000
     3     2  1983    28397.800000
     4     2  1983    28867.700000
     5     2  1983    29619.900000
     6     2  1983    30351.100000
     7     2  1983    30889.600000
     8     2  1983    30918.000000
     9     2  1983    30690.800000
    10     2  1983    30577.400000
    11     2  1983    30407.600000
    12     2  1983    30407.600000
    13     2  1983    30549.000000
    14     2  1983    30690.800000
    15     2  1983    30549.000000
    16     2  1983    30492.400000
    17     2  1983    30690.800000
    18     2  1983    30861.100000
    19     2  1983    31060.400000
    20     2  1983    31231.500000
    21     2  1983    31403.000000
    22     2  1983    31603.600000
    23     2  1983    32006.100000
    24     2  1983    32323.600000
    25     2  1983    32584.400000
    26     2  1983    32758.600000
    27     2  1983    32904.100000
    28     2  1983    33020.600000
     1     3  1983    33137.300000
     2     3  1983    33371.200000
     3     3  1983    33576.400000
     4     3  1983    33782.000000
     5     3  1983    33723.200000
     6     3  1983    33488.400000
     7     3  1983    33283.400000
     8     3  1983    33049.800000
     9     3  1983    33020.600000
    10     3  1983    33166.500000
    11     3  1983    33429.800000
    12     3  1983    33605.700000
    13     3  1983    33723.200000
    14     3  1983    33811.400000
    15     3  1983    33988.100000
    16     3  1983    34165.100000
    17     3  1983    34312.900000
    18     3  1983    34431.300000
    19     3  1983    34609.200000
    20     3  1983    34846.900000
    21     3  1983    35504.900000
    22     3  1983    37558.400000
    23     3  1983    38075.900000
    24     3  1983    38595.000000
    25     3  1983    39115.700000
    26     3  1983    39638.100000
    27     3  1983    40162.000000
    28     3  1983    40556.000000
    29     3  1983    40950.900000
    30     3  1983    40556.000000
    31     3  1983    39768.900000
     1     4  1983    38725.000000
     2     4  1983    37946.300000
     3     4  1983    36656.700000
     4     4  1983    35887.900000
     5     4  1983    35377.500000
     6     4  1983    34936.200000
     7     4  1983    34876.600000
     8     4  1983    34965.900000
     9     4  1983    35250.100000
    10     4  1983    35632.500000
    11     4  1983    36400.000000
    12     4  1983    37171.300000
    13     4  1983    37946.300000
    14     4  1983    36785.200000
    15     4  1983    35887.900000
    16     4  1983    35377.500000
    17     4  1983    34906.400000
    18     4  1983    34817.100000
    19     4  1983    34757.700000
    20     4  1983    34698.200000
    21     4  1983    34609.200000
    22     4  1983    34549.800000
    23     4  1983    34520.200000
    24     4  1983    34401.700000
    25     4  1983    34194.600000
    26     4  1983    33988.100000
    27     4  1983    33870.300000
    28     4  1983    33723.200000
    29     4  1983    33605.700000
    30     4  1983    33488.400000
     1     5  1983    33576.400000
     2     5  1983    33576.400000
     3     5  1983    33400.500000
     4     5  1983    33283.400000
     5     5  1983    33166.500000
     6     5  1983    33049.800000
     7     5  1983    32962.300000
     8     5  1983    32816.800000
     9     5  1983    32700.500000
    10     5  1983    32555.400000
    11     5  1983    32410.500000
    12     5  1983    32294.700000
    13     5  1983    32121.400000
    14     5  1983    31862.100000
    15     5  1983    31546.200000
    16     5  1983    31317.200000
    17     5  1983    31231.500000
    18     5  1983    31345.800000
    19     5  1983    31460.300000
    20     5  1983    31747.100000
    21     5  1983    31919.700000
    22     5  1983    31804.600000
    23     5  1983    31660.900000
    24     5  1983    31632.300000
    25     5  1983    31517.600000
    26     5  1983    31431.700000
    27     5  1983    31345.800000
    28     5  1983    31231.500000
    29     5  1983    31060.400000
    30     5  1983    30974.900000
    31     5  1983    30775.900000
     1     6  1983    30407.600000
     2     6  1983    29788.000000
     3     6  1983    29201.100000
     4     6  1983    28756.900000
     5     6  1983    28095.400000
     6     6  1983    27712.100000
     7     6  1983    27439.600000
     8     6  1983    27005.700000
     9     6  1983    26681.900000
    10     6  1983    26520.600000
    11     6  1983    26145.600000
    12     6  1983    25799.200000
    13     6  1983    25481.000000
    14     6  1983    25639.900000
    15     6  1983    25799.200000
    16     6  1983    25985.500000
    17     6  1983    26118.900000
    18     6  1983    26386.500000
    19     6  1983    26547.500000
    20     6  1983    26708.900000
    21     6  1983    26440.100000
    22     6  1983    25985.500000
    23     6  1983    25586.900000
    24     6  1983    25322.500000
    25     6  1983    24980.200000
    26     6  1983    24274.900000
    27     6  1983    23886.400000
    28     6  1983    23628.700000
    29     6  1983    23269.700000
    30     6  1983    22989.000000
     1     7  1983    22760.400000
     2     7  1983    22760.400000
     3     7  1983    22963.600000
     4     7  1983    22785.700000
     5     7  1983    22684.300000
     6     7  1983    22608.400000
     7     7  1983    22456.800000
     8     7  1983    22305.600000
     9     7  1983    22129.700000
    10     7  1983    21954.300000
    11     7  1983    21804.400000
    12     7  1983    21679.700000
    13     7  1983    21580.200000
    14     7  1983    21630.000000
    15     7  1983    21779.400000
    16     7  1983    21904.300000
    17     7  1983    22004.400000
    18     7  1983    22104.600000
    19     7  1983    22431.600000
    20     7  1983    22785.700000
    21     7  1983    23142.000000
    22     7  1983    23372.100000
    23     7  1983    23372.100000
    24     7  1983    23065.500000
    25     7  1983    22557.800000
    26     7  1983    22280.500000
    27     7  1983    21879.300000
    28     7  1983    21121.600000
    29     7  1983    19918.200000
    30     7  1983    18685.200000
    31     7  1983    17616.600000
     1     8  1983    16810.300000
     2     8  1983    16227.900000
     3     8  1983    15627.000000
     4     8  1983    15188.200000
     5     8  1983    14804.800000
     6     8  1983    14450.200000
     7     8  1983    14123.700000
     8     8  1983    13899.300000
     9     8  1983    13552.900000
    10     8  1983    13209.600000
    11     8  1983    12966.400000
    12     8  1983    12821.300000
    13     8  1983    12700.800000
    14     8  1983    12580.700000
    15     8  1983    12389.500000
    16     8  1983    12223.000000
    17     8  1983    12081.000000
    18     8  1983    11963.100000
    19     8  1983    11845.600000
    20     8  1983    11705.200000
    21     8  1983    11565.400000
    22     8  1983    11403.000000
    23     8  1983    11172.600000
    24     8  1983    10921.100000
    25     8  1983    10694.300000
    26     8  1983    10491.700000
    27     8  1983    10379.700000
    28     8  1983    10112.800000
    29     8  1983    10002.300000
    30     8  1983     9914.230000
    31     8  1983     9760.820000
     1     9  1983     9586.560000
     2     9  1983     9327.320000
     3     9  1983     9091.960000
     4     9  1983     8795.610000
     5     9  1983     8482.080000
     6     9  1983     8254.810000
     7     9  1983     8009.460000
     8     9  1983     7786.930000
     9     9  1983     7626.530000
    10     9  1983     7526.900000
    11     9  1983     7368.490000
    12     9  1983     7250.490000
    13     9  1983     7055.370000
    14     9  1983     6958.540000
    15     9  1983     6862.200000
    16     9  1983     6747.240000
    17     9  1983     6632.990000
    18     9  1983     6500.600000
    19     9  1983     6519.450000
    20     9  1983     6690.030000
    21     9  1983     6900.680000
    22     9  1983     7055.370000
    23     9  1983     7230.890000
    24     9  1983     7368.490000
    25     9  1983     7447.540000
    26     9  1983     7211.310000
    27     9  1983     7055.370000
    28     9  1983     6939.230000
    29     9  1983     6823.800000
    30     9  1983     6728.150000
     1    10  1983     6671.000000
     2    10  1983     6614.020000
     3    10  1983     6519.450000
     4    10  1983     6444.160000
     5    10  1983     6313.170000
     6    10  1983     6183.150000
     7    10  1983     6127.740000
     8    10  1983     6201.670000
     9    10  1983     6090.900000
    10    10  1983     5980.850000
    11    10  1983     5889.710000
    12    10  1983     5799.080000
    13    10  1983     5673.060000
    14    10  1983     5601.510000
    15    10  1983     5494.790000
    16    10  1983     5388.830000
    17    10  1983     5424.070000
    18    10  1983     5494.790000
    19    10  1983     5619.360000
    20    10  1983     5708.960000
    21    10  1983     5799.080000
    22    10  1983     5871.540000
    23    10  1983     5980.850000
    24    10  1983     6072.500000
    25    10  1983     6164.660000
    26    10  1983     6257.330000
    27    10  1983     6369.190000
    28    10  1983     6444.160000
    29    10  1983     6538.330000
    30    10  1983     6785.480000
    31    10  1983     7094.240000
     1    11  1983     7329.080000
     2    11  1983     7626.530000
     3    11  1983     7867.580000
     4    11  1983     7887.790000
     5    11  1983     7666.520000
     6    11  1983     7270.110000
     7    11  1983     7055.370000
     8    11  1983     6881.430000
     9    11  1983     6766.350000
    10    11  1983     6785.480000
    11    11  1983     7172.210000
    12    11  1983     7467.350000
    13    11  1983     7786.930000
    14    11  1983     7948.540000
    15    11  1983     8090.940000
    16    11  1983     8254.810000
    17    11  1983     8648.780000
    18    11  1983     8901.040000
    19    11  1983     9134.590000
    20    11  1983     9391.880000
    21    11  1983     9651.770000
    22    11  1983     9848.380000
    23    11  1983    10134.900000
    24    11  1983    10559.100000
    25    11  1983    10898.400000
    26    11  1983    11103.800000
    27    11  1983    11241.600000
    28    11  1983    11449.300000
    29    11  1983    11588.600000
    30    11  1983    11658.500000
     1    12  1983    11775.300000
     2    12  1983    12033.700000
     3    12  1983    12365.600000
     4    12  1983    12724.800000
     5    12  1983    13160.800000
     6    12  1983    13676.300000
     7    12  1983    14274.100000
     8    12  1983    14906.700000
     9    12  1983    15471.600000
    10    12  1983    15782.900000
    11    12  1983    16122.800000
    12    12  1983    16306.900000
    13    12  1983    16175.300000
    14    12  1983    15939.500000
