MANICORÉ	-61.302	-5.817
     1     1  1983    29289.900000
     2     1  1983    29254.000000
     3     1  1983    29182.200000
     4     1  1983    29003.100000
     5     1  1983    28824.600000
     6     1  1983    28682.300000
     7     1  1983    28646.800000
     8     1  1983    28646.800000
     9     1  1983    28646.800000
    10     1  1983    28646.800000
    11     1  1983    28646.800000
    12     1  1983    28717.800000
    13     1  1983    28789.000000
    14     1  1983    28860.300000
    15     1  1983    28931.600000
    16     1  1983    29003.100000
    17     1  1983    29074.600000
    18     1  1983    29218.000000
    19     1  1983    29289.900000
    20     1  1983    29470.000000
    21     1  1983    29759.500000
    22     1  1983    30859.400000
    23     1  1983    31718.300000
    24     1  1983    32209.700000
    25     1  1983    32667.100000
    26     1  1983    33089.700000
    27     1  1983    33593.100000
    28     1  1983    33996.500000
    29     1  1983    34066.300000
    30     1  1983    33961.600000
    31     1  1983    33856.800000
     1     2  1983    33891.700000
     2     2  1983    34136.200000
     3     2  1983    34416.000000
     4     2  1983    34556.100000
     5     2  1983    34836.500000
     6     2  1983    35187.500000
     7     2  1983    35644.600000
     8     2  1983    36102.800000
     9     2  1983    36455.900000
    10     2  1983    36774.100000
    11     2  1983    36951.100000
    12     2  1983    37199.200000
    13     2  1983    37376.500000
    14     2  1983    37696.100000
    15     2  1983    38051.700000
    16     2  1983    38194.100000
    17     2  1983    38336.600000
    18     2  1983    38443.600000
    19     2  1983    38550.500000
    20     2  1983    38621.900000
    21     2  1983    38693.300000
    22     2  1983    38836.100000
    23     2  1983    38907.500000
    24     2  1983    38978.900000
    25     2  1983    39121.900000
    26     2  1983    39336.600000
    27     2  1983    39408.100000
    28     2  1983    39587.200000
     1     3  1983    39658.900000
     2     3  1983    39766.400000
     3     3  1983    39802.300000
     4     3  1983    39587.200000
     5     3  1983    39587.200000
     6     3  1983    39587.200000
     7     3  1983    39658.900000
     8     3  1983    39658.900000
     9     3  1983    39658.900000
    10     3  1983    39694.700000
    11     3  1983    39766.400000
    12     3  1983    39766.400000
    13     3  1983    39909.800000
    14     3  1983    40053.400000
    15     3  1983    40089.300000
    16     3  1983    40161.100000
    17     3  1983    40232.900000
    18     3  1983    40304.800000
    19     3  1983    40412.600000
    20     3  1983    40664.400000
    21     3  1983    41096.600000
    22     3  1983    41385.200000
    23     3  1983    41601.800000
    24     3  1983    41854.800000
    25     3  1983    42108.000000
    26     3  1983    42361.500000
    27     3  1983    42542.800000
    28     3  1983    42833.000000
    29     3  1983    43014.600000
    30     3  1983    43269.000000
    31     3  1983    43487.200000
     1     4  1983    43669.200000
     2     4  1983    43924.300000
     3     4  1983    44106.600000
     4     4  1983    44179.500000
     5     4  1983    44216.000000
     6     4  1983    44216.000000
     7     4  1983    44289.000000
     8     4  1983    44362.000000
     9     4  1983    44471.600000
    10     4  1983    44508.100000
    11     4  1983    44508.100000
    12     4  1983    44508.100000
    13     4  1983    44471.600000
    14     4  1983    44325.500000
    15     4  1983    44252.500000
    16     4  1983    44143.100000
    17     4  1983    44143.100000
    18     4  1983    44143.100000
    19     4  1983    44143.100000
    20     4  1983    44106.600000
    21     4  1983    44033.600000
    22     4  1983    43960.700000
    23     4  1983    43887.800000
    24     4  1983    43814.900000
    25     4  1983    43669.200000
    26     4  1983    43487.200000
    27     4  1983    43305.300000
    28     4  1983    43123.600000
    29     4  1983    42833.000000
    30     4  1983    42542.800000
     1     5  1983    42361.500000
     2     5  1983    42216.700000
     3     5  1983    42108.000000
     4     5  1983    42035.700000
     5     5  1983    41999.500000
     6     5  1983    41891.000000
     7     5  1983    41637.900000
     8     5  1983    41421.300000
     9     5  1983    41276.900000
    10     5  1983    41132.600000
    11     5  1983    40988.500000
    12     5  1983    40772.400000
    13     5  1983    40592.400000
    14     5  1983    40376.700000
    15     5  1983    40161.100000
    16     5  1983    39945.700000
    17     5  1983    39766.400000
    18     5  1983    39515.600000
    19     5  1983    39336.600000
    20     5  1983    39193.400000
    21     5  1983    39050.400000
    22     5  1983    38907.500000
    23     5  1983    38764.600000
    24     5  1983    38728.900000
    25     5  1983    38657.600000
    26     5  1983    38372.300000
    27     5  1983    38087.300000
    28     5  1983    37802.700000
    29     5  1983    37518.500000
    30     5  1983    37163.700000
    31     5  1983    36951.100000
     1     6  1983    36738.700000
     2     6  1983    36349.900000
     3     6  1983    35891.200000
     4     6  1983    35363.200000
