SANTARÉMSUCUNDURI	-59.042	-6.796
     1     1  2000      603.212000
     2     1  2000      618.017000
     3     1  2000      640.393000
     4     1  2000      669.019000
     5     1  2000      664.479000
     6     1  2000      635.901000
     7     1  2000      579.713000
     8     1  2000      530.571000
     9     1  2000      552.117000
    10     1  2000      578.252000
    11     1  2000      591.433000
    12     1  2000      581.175000
    13     1  2000      562.244000
    14     1  2000      536.296000
    15     1  2000      507.830000
    16     1  2000      470.032000
    17     1  2000      447.985000
    18     1  2000      500.776000
    19     1  2000      546.350000
    20     1  2000      512.075000
    21     1  2000      509.244000
    22     1  2000      510.659000
    23     1  2000      476.976000
    24     1  2000      452.099000
    25     1  2000      449.355000
    26     1  2000      470.032000
    27     1  2000      492.342000
    28     1  2000      530.571000
    29     1  2000      540.599000
    30     1  2000      533.432000
    31     1  2000      592.902000
     1     2  2000      701.022000
     2     2  2000      717.934000
     3     2  2000      696.427000
     4     2  2000      678.125000
     5     2  2000      641.891000
     6     2  2000      641.891000
     7     2  2000      868.068000
     8     2  2000     1013.270000
     9     2  2000     1053.830000
    10     2  2000     1082.800000
    11     2  2000     1130.940000
    12     2  2000     1106.800000
    13     2  2000     1101.650000
    14     2  2000     1115.410000
    15     2  2000     1124.030000
    16     2  2000     1110.240000
    17     2  2000     1087.930000
    18     2  2000     1067.440000
    19     2  2000     1060.630000
    20     2  2000     1048.730000
    21     2  2000     1069.140000
    22     2  2000     1094.780000
    23     2  2000     1129.210000
    24     2  2000     1174.370000
    25     2  2000     1239.460000
    26     2  2000     1332.480000
    27     2  2000     1377.760000
    28     2  2000     1382.110000
    29     2  2000     1358.290000
     1     3  2000     1294.130000
     2     3  2000     1223.490000
     3     3  2000     1186.600000
     4     3  2000     1124.030000
     5     3  2000     1062.330000
     6     3  2000     1052.130000
     7     3  2000     1038.570000
     8     3  2000     1040.260000
     9     3  2000     1053.830000
    10     3  2000     1062.330000
    11     3  2000     1048.730000
    12     3  2000     1040.260000
    13     3  2000     1047.040000
    14     3  2000     1057.220000
    15     3  2000     1062.330000
    16     3  2000     1074.260000
    17     3  2000     1094.780000
    18     3  2000     1094.780000
    19     3  2000     1079.380000
    20     3  2000     1069.140000
    21     3  2000     1055.530000
    22     3  2000     1041.960000
    23     3  2000     1033.500000
    24     3  2000     1040.260000
    25     3  2000     1065.730000
    26     3  2000     1081.090000
    27     3  2000     1086.220000
    28     3  2000     1072.550000
    29     3  2000     1057.220000
    30     3  2000     1038.570000
    31     3  2000     1014.950000
     1     4  2000     1006.550000
     2     4  2000     1028.430000
     3     4  2000     1053.830000
     4     4  2000     1082.800000
     5     4  2000     1103.370000
     6     4  2000     1130.940000
     7     4  2000     1122.300000
     8     4  2000     1094.780000
     9     4  2000     1079.380000
    10     4  2000     1074.260000
    11     4  2000     1053.830000
    12     4  2000     1038.570000
    13     4  2000     1006.550000
    14     4  2000      976.441000
    15     4  2000      964.796000
    16     4  2000      983.111000
    17     4  2000     1001.510000
    18     4  2000     1011.590000
    19     4  2000     1003.190000
    20     4  2000      991.465000
    21     4  2000      986.451000
    22     4  2000     1011.590000
    23     4  2000     1117.130000
    24     4  2000     1165.650000
    25     4  2000     1296.250000
    26     4  2000     1353.980000
    27     4  2000     1279.320000
    28     4  2000     1232.310000
    29     4  2000     1177.860000
    30     4  2000     1156.950000
     1     5  2000     1091.360000
     2     5  2000     1045.340000
     3     5  2000     1020.000000
     4     5  2000      999.836000
     5     5  2000      966.458000
     6     5  2000      928.429000
     7     5  2000      902.202000
     8     5  2000      881.033000
     9     5  2000      819.888000
    10     5  2000      725.654000
    11     5  2000      696.427000
    12     5  2000      710.234000
    13     5  2000      721.019000
    14     5  2000      755.181000
    15     5  2000      773.981000
    16     5  2000      766.133000
    17     5  2000      733.396000
    18     5  2000      688.786000
    19     5  2000      670.535000
    20     5  2000      652.408000
    21     5  2000      629.926000
    22     5  2000      612.084000
    23     5  2000      591.433000
    24     5  2000      579.713000
    25     5  2000      562.244000
    26     5  2000      543.473000
    27     5  2000      520.591000
    28     5  2000      512.075000
    29     5  2000      502.185000
    30     5  2000      495.150000
    31     5  2000      472.807000
     1     6  2000      458.975000
     2     6  2000      438.424000
     3     6  2000      408.717000
     4     6  2000      392.736000
     5     6  2000      376.918000
     6     6  2000      366.464000
     7     6  2000      357.378000
     8     6  2000      341.936000
     9     6  2000      326.668000
    10     6  2000      315.333000
    11     6  2000      295.434000
    12     6  2000      268.617000
    13     6  2000      243.632000
    14     6  2000      231.953000
    15     6  2000      209.037000
    16     6  2000      181.262000
    17     6  2000      180.173000
    18     6  2000      179.084000
    19     6  2000      174.747000
    20     6  2000      157.673000
    21     6  2000      151.385000
    22     6  2000      142.076000
    23     6  2000      135.954000
    24     6  2000      127.898000
    25     6  2000      117.027000
    26     6  2000      120.952000
    27     6  2000      127.898000
    28     6  2000      130.904000
    29     6  2000      131.911000
    30     6  2000      129.900000
     1     7  2000      129.900000
     2     7  2000      130.904000
     3     7  2000      128.898000
     4     7  2000      122.926000
     5     7  2000      118.985000
     6     7  2000      117.027000
     7     7  2000      115.076000
     8     7  2000      112.167000
     9     7  2000      111.201000
    10     7  2000      109.276000
    11     7  2000      101.661000
    12     7  2000       98.841000
    13     7  2000       96.041500
    14     7  2000       92.340500
    15     7  2000       92.340500
    16     7  2000       90.503900
    17     7  2000       83.251400
    18     7  2000       79.683200
    19     7  2000       79.683200
    20     7  2000       77.913900
    21     7  2000       76.154600
    22     7  2000       75.278800
    23     7  2000       72.666700
    24     7  2000       67.513300
    25     7  2000       61.623900
    26     7  2000       59.966300
    27     7  2000       58.320200
    28     7  2000       55.063000
    29     7  2000       54.256100
    30     7  2000       51.058800
    31     7  2000       50.267100
     1     8  2000       50.267100
     2     8  2000       50.267100
     3     8  2000       50.267100
     4     8  2000       50.267100
     5     8  2000       50.267100
     6     8  2000       49.478600
     7     8  2000       48.693200
     8     8  2000       48.693200
     9     8  2000       47.132100
    10     8  2000       44.048600
    11     8  2000       42.526800
    12     8  2000       41.770900
    13     8  2000       44.048600
    14     8  2000       46.356300
    15     8  2000       48.693200
    16     8  2000       48.693200
    17     8  2000       49.478600
    18     8  2000       50.267100
    19     8  2000       50.267100
    20     8  2000       50.267100
    21     8  2000       50.267100
    22     8  2000       50.267100
    23     8  2000       50.267100
    24     8  2000       49.478600
    25     8  2000       48.693200
    26     8  2000       47.911100
    27     8  2000       47.911100
    28     8  2000       47.132100
    29     8  2000       47.132100
    30     8  2000       46.356300
    31     8  2000       46.356300
     1     9  2000       33.689900
     2     9  2000       36.577700
     3     9  2000       36.577700
     4     9  2000       39.524100
     5     9  2000       41.770900
     6     9  2000       42.526800
     7     9  2000       45.583800
     8     9  2000       47.911100
     9     9  2000       49.478600
    10     9  2000       50.267100
    11     9  2000       64.131300
    12     9  2000       76.154600
    13     9  2000       83.251400
    14     9  2000      101.661000
    15     9  2000      147.230000
    16     9  2000      122.926000
    17     9  2000       77.033000
    18     9  2000       44.048600
    19     9  2000       43.286000
    20     9  2000       38.782100
    21     9  2000       35.126300
    22     9  2000       35.126300
    23     9  2000       35.126300
    24     9  2000       33.689900
    25     9  2000       32.268700
    26     9  2000       32.977300
    27     9  2000       35.126300
    28     9  2000       35.850200
    29     9  2000       40.269500
    30     9  2000       43.286000
     1    10  2000       47.911100
     2    10  2000       51.058800
     3    10  2000       52.651300
     4    10  2000       54.256100
     5    10  2000       55.872900
     6    10  2000       57.501500
     7    10  2000       58.320200
     8    10  2000       57.501500
     9    10  2000       51.853500
    10    10  2000       46.356300
    11    10  2000       41.770900
    12    10  2000       38.782100
    13    10  2000       36.577700
    14    10  2000       35.850200
    15    10  2000       41.018500
    16    10  2000       44.814500
    17    10  2000       47.132100
    18    10  2000       48.693200
    19    10  2000       50.267100
    20    10  2000       49.478600
    21    10  2000       44.814500
    22    10  2000       47.132100
    23    10  2000       51.058800
    24    10  2000       59.141800
    25    10  2000       68.365500
    26    10  2000       71.801200
    27    10  2000       79.683200
    28    10  2000       86.858600
    29    10  2000       97.905600
    30    10  2000      110.237000
    31    10  2000      122.926000
     1    11  2000      121.938000
     2    11  2000      118.005000
     3    11  2000      110.237000
     4    11  2000      104.500000
     5    11  2000      117.027000
     6    11  2000      129.900000
     7    11  2000      147.230000
     8    11  2000      179.084000
     9    11  2000      220.420000
    10    11  2000      272.236000
    11    11  2000      341.936000
    12    11  2000      348.349000
    13    11  2000      356.085000
    14    11  2000      374.298000
    15    11  2000      411.396000
    16    11  2000      404.707000
    17    11  2000      301.617000
    18    11  2000      292.970000
    19    11  2000      283.165000
    20    11  2000      277.080000
    21    11  2000      261.416000
    22    11  2000      249.525000
    23    11  2000      233.114000
    24    11  2000      214.710000
    25    11  2000      190.042000
    26    11  2000      170.438000
    27    11  2000      166.155000
    28    11  2000      162.961000
    29    11  2000      159.783000
    30    11  2000      157.673000
     1    12  2000      153.474000
     2    12  2000      151.385000
     3    12  2000      143.103000
     4    12  2000      142.076000
     5    12  2000      150.344000
     6    12  2000      164.024000
     7    12  2000      192.253000
     8    12  2000      211.302000
     9    12  2000      234.277000
    10    12  2000      286.832000
    11    12  2000      372.989000
    12    12  2000      470.032000
    13    12  2000      587.031000
    14    12  2000      738.051000
    15    12  2000      981.443000
    16    12  2000      996.485000
    17    12  2000     1004.870000
    18    12  2000      991.465000
    19    12  2000      994.811000
    20    12  2000     1099.930000
    21    12  2000     1158.690000
    22    12  2000     1153.470000
    23    12  2000     1132.670000
    24    12  2000     1103.370000
    25    12  2000     1115.410000
    26    12  2000     1136.130000
    27    12  2000     1134.400000
    28    12  2000     1041.960000
    29    12  2000     1009.900000
    30    12  2000      968.120000
    31    12  2000      885.907000
     1     1  2001      738.051000
     2     1  2001      592.902000
     3     1  2001      669.019000
     4     1  2001      775.553000
     5     1  2001      882.657000
     6     1  2001      908.741000
     7     1  2001      949.876000
     8     1  2001      983.111000
     9     1  2001     1033.500000
    10     1  2001     1110.240000
    11     1  2001     1127.480000
    12     1  2001     1129.210000
    13     1  2001     1113.690000
    14     1  2001     1098.210000
    15     1  2001     1091.360000
    16     1  2001     1098.210000
    17     1  2001     1132.670000
    18     1  2001     1181.350000
    19     1  2001     1198.860000
    20     1  2001     1181.350000
    21     1  2001     1163.910000
    22     1  2001     1174.370000
    23     1  2001     1184.850000
    24     1  2001     1177.860000
    25     1  2001     1167.390000
    26     1  2001     1156.950000
    27     1  2001     1139.590000
    28     1  2001     1132.670000
    29     1  2001     1139.590000
    30     1  2001     1153.470000
    31     1  2001     1177.860000
     1     2  2001     1198.860000
     2     2  2001     1216.440000
     3     2  2001     1241.550000
     4     2  2001     1279.320000
     5     2  2001     1292.010000
     6     2  2001     1283.550000
     7     2  2001     1287.770000
     8     2  2001     1283.550000
     9     2  2001     1270.890000
    10     2  2001     1254.090000
    11     2  2001     1234.080000
    12     2  2001     1219.960000
    13     2  2001     1191.850000
    14     2  2001     1167.390000
    15     2  2001     1136.130000
    16     2  2001     1150.000000
    17     2  2001     1169.130000
    18     2  2001     1177.860000
    19     2  2001     1205.880000
    20     2  2001     1302.610000
    21     2  2001     1399.530000
    22     2  2001     1434.610000
    23     2  2001     1481.150000
    24     2  2001     1537.270000
    25     2  2001       -1.000000
    26     2  2001       -1.000000
    27     2  2001       -1.000000
    28     2  2001       -1.000000
     1     3  2001       -1.000000
     2     3  2001       -1.000000
     3     3  2001       -1.000000
     4     3  2001       -1.000000
     5     3  2001       -1.000000
     6     3  2001       -1.000000
     7     3  2001       -1.000000
     8     3  2001       -1.000000
     9     3  2001       -1.000000
    10     3  2001       -1.000000
    11     3  2001       -1.000000
    12     3  2001       -1.000000
    13     3  2001       -1.000000
    14     3  2001       -1.000000
    15     3  2001       -1.000000
    16     3  2001       -1.000000
    17     3  2001       -1.000000
    18     3  2001     1559.940000
    19     3  2001     1532.760000
    20     3  2001     1514.730000
    21     3  2001     1485.610000
    22     3  2001     1470.020000
    23     3  2001     1461.130000
    24     3  2001     1452.270000
    25     3  2001     1410.450000
    26     3  2001     1349.670000
    27     3  2001     1245.730000
    28     3  2001     1082.800000
    29     3  2001     1020.000000
    30     3  2001     1033.500000
    31     3  2001     1047.040000
     1     4  2001     1081.090000
     2     4  2001     1108.520000
     3     4  2001     1132.670000
     4     4  2001     1170.880000
     5     4  2001     1252.000000
     6     4  2001     1341.070000
     7     4  2001     1382.110000
     8     4  2001     1364.770000
     9     4  2001     1343.210000
    10     4  2001     1321.790000
    11     4  2001     1377.760000
    12     4  2001     1338.920000
    13     4  2001     1273.000000
    14     4  2001     1198.860000
    15     4  2001     1156.950000
    16     4  2001     1084.510000
    17     4  2001     1020.000000
    18     4  2001      981.443000
    19     4  2001      969.783000
    20     4  2001      948.222000
