CACHOEIRAMORENA	-59.335	-2.114
     1     1  2000      711.320000
     2     1  2000      587.955000
     3     1  2000      831.502000
     4     1  2000      935.470000
     5     1  2000      891.296000
     6     1  2000      718.999000
     7     1  2000      873.969000
     8     1  2000      839.898000
     9     1  2000      900.032000
    10     1  2000      375.336000
    11     1  2000      798.399000
    12     1  2000      798.399000
    13     1  2000      798.399000
    14     1  2000      688.568000
    15     1  2000      629.959000
    16     1  2000      637.122000
    17     1  2000      790.244000
    18     1  2000      774.078000
    19     1  2000      839.898000
    20     1  2000      742.318000
    21     1  2000      711.320000
    22     1  2000      711.320000
    23     1  2000      750.187000
    24     1  2000      790.244000
    25     1  2000      806.603000
    26     1  2000      865.378000
    27     1  2000      926.537000
    28     1  2000      900.032000
    29     1  2000      831.502000
    30     1  2000      798.399000
    31     1  2000      856.836000
     1     2  2000      865.378000
     2     2  2000      839.898000
     3     2  2000      823.154000
     4     2  2000      917.653000
     5     2  2000      917.653000
     6     2  2000     1114.630000
     7     2  2000     1174.970000
     8     2  2000     1182.030000
     9     2  2000     1144.570000
    10     2  2000     1174.970000
    11     2  2000     1124.560000
    12     2  2000     1144.570000
    13     2  2000      980.875000
    14     2  2000     1104.750000
    15     2  2000     1085.140000
    16     2  2000     1179.050000
    17     2  2000     1182.030000
    18     2  2000     1179.050000
    19     2  2000     1174.970000
    20     2  2000     1188.010000
    21     2  2000     1218.120000
    22     2  2000     1197.000000
    23     2  2000     1197.000000
    24     2  2000     1182.030000
    25     2  2000     1174.970000
    26     2  2000     1200.010000
    27     2  2000     1154.650000
    28     2  2000     1194.000000
    29     2  2000     1188.010000
     1     3  2000     1144.570000
     2     3  2000     1209.050000
     3     3  2000     1209.050000
     4     3  2000     1236.370000
     5     3  2000     1209.050000
     6     3  2000     1203.020000
     7     3  2000     1215.090000
     8     3  2000     1242.480000
     9     3  2000     1239.420000
    10     3  2000     1221.150000
    11     3  2000     1254.750000
    12     3  2000     1230.270000
    13     3  2000     1239.420000
    14     3  2000     1239.420000
    15     3  2000     1221.150000
    16     3  2000     1251.680000
    17     3  2000     1270.180000
    18     3  2000     1276.370000
    19     3  2000     1233.320000
    20     3  2000     1230.270000
    21     3  2000     1230.270000
    22     3  2000     1248.610000
    23     3  2000     1264.000000
    24     3  2000     1267.080000
    25     3  2000     1248.610000
    26     3  2000     1236.370000
    27     3  2000     1254.750000
    28     3  2000     1260.910000
    29     3  2000     1257.830000
    30     3  2000     1233.320000
    31     3  2000     1224.190000
     1     4  2000     1260.910000
     2     4  2000     1239.420000
     3     4  2000     1257.830000
     4     4  2000     1245.540000
     5     4  2000     1264.000000
     6     4  2000     1273.270000
     7     4  2000     1267.080000
     8     4  2000     1270.180000
     9     4  2000     1279.480000
    10     4  2000     1270.180000
    11     4  2000     1270.180000
    12     4  2000     1291.930000
    13     4  2000     1291.930000
    14     4  2000     1348.710000
    15     4  2000     1355.090000
    16     4  2000     1361.490000
    17     4  2000     1384.010000
    18     4  2000     1384.010000
    19     4  2000     1384.010000
    20     4  2000     1348.710000
    21     4  2000     1320.170000
    22     4  2000     1329.650000
    23     4  2000     1288.810000
    24     4  2000     1301.310000
    25     4  2000     1329.650000
    26     4  2000     1361.490000
    27     4  2000     1380.780000
    28     4  2000     1371.120000
    29     4  2000     1371.120000
    30     4  2000     1342.340000
     1     5  2000     1301.310000
     2     5  2000     1323.320000
     3     5  2000     1320.170000
     4     5  2000     1342.340000
     5     5  2000     1355.090000
     6     5  2000     1371.120000
     7     5  2000     1358.290000
     8     5  2000     1384.010000
     9     5  2000     1387.240000
    10     5  2000     1380.780000
    11     5  2000     1364.700000
    12     5  2000     1380.780000
    13     5  2000     1529.770000
    14     5  2000     1626.330000
    15     5  2000     1715.040000
    16     5  2000     1661.530000
    17     5  2000     1711.450000
    18     5  2000     2042.110000
    19     5  2000     2686.500000
    20     5  2000     2686.500000
    21     5  2000     2686.500000
    22     5  2000     2655.090000
    23     5  2000     2410.480000
    24     5  2000     2247.100000
    25     5  2000     1869.370000
    26     5  2000     1861.870000
    27     5  2000     1787.700000
    28     5  2000     1861.870000
    29     5  2000     1718.640000
    30     5  2000     1765.750000
    31     5  2000     1765.750000
     1     6  2000     1736.680000
     2     6  2000     1802.420000
     3     6  2000     1747.550000
     4     6  2000     1747.550000
     5     6  2000     1824.600000
     6     6  2000     1751.180000
     7     6  2000     1725.840000
     8     6  2000     1729.450000
     9     6  2000     1722.240000
    10     6  2000     1715.040000
    11     6  2000     1345.520000
    12     6  2000      798.399000
    13     6  2000     1329.650000
    14     6  2000      839.898000
    15     6  2000     1291.930000
    16     6  2000     1267.080000
    17     6  2000     1288.810000
    18     6  2000     1251.680000
    19     6  2000     1251.680000
    20     6  2000     1257.830000
    21     6  2000     1257.830000
    22     6  2000     1304.440000
    23     6  2000     1298.180000
    24     6  2000     1233.320000
    25     6  2000     1295.050000
    26     6  2000     1326.480000
    27     6  2000     1348.710000
    28     6  2000     1335.990000
    29     6  2000     1348.710000
    30     6  2000     1335.990000
     1     7  2000     1358.290000
     2     7  2000     1380.780000
     3     7  2000     1345.520000
     4     7  2000     1351.900000
     5     7  2000     1355.090000
     6     7  2000     1355.090000
     7     7  2000     1689.960000
     8     7  2000     1647.410000
     9     7  2000     1686.400000
    10     7  2000     1374.340000
    11     7  2000     1345.520000
    12     7  2000     1339.160000
    13     7  2000     1329.650000
    14     7  2000     1320.170000
    15     7  2000     1310.720000
    16     7  2000     1310.720000
    17     7  2000     1310.720000
    18     7  2000     1329.650000
    19     7  2000     1348.710000
    20     7  2000     1348.710000
    21     7  2000     1332.810000
    22     7  2000     1323.320000
    23     7  2000     1295.050000
    24     7  2000     1298.180000
    25     7  2000     1282.580000
    26     7  2000     1257.830000
    27     7  2000     1230.270000
    28     7  2000     1254.750000
    29     7  2000     1230.270000
    30     7  2000     1230.270000
    31     7  2000     1227.230000
     1     8  2000     1227.230000
     2     8  2000     1221.150000
     3     8  2000     1200.010000
     4     8  2000     1197.000000
     5     8  2000     1194.000000
     6     8  2000     1185.020000
     7     8  2000     1075.410000
     8     8  2000     1065.730000
     9     8  2000     1185.020000
    10     8  2000     1185.020000
    11     8  2000     1134.540000
    12     8  2000     1174.970000
    13     8  2000      823.154000
    14     8  2000      608.750000
    15     8  2000     1144.570000
    16     8  2000     1179.050000
    17     8  2000     1104.750000
    18     8  2000     1134.540000
    19     8  2000     1154.650000
    20     8  2000     1085.140000
    21     8  2000     1134.540000
    22     8  2000     1056.100000
    23     8  2000     1124.560000
    24     8  2000     1185.020000
    25     8  2000     1185.020000
    26     8  2000     1154.650000
    27     8  2000     1085.140000
    28     8  2000     1114.630000
    29     8  2000     1124.560000
    30     8  2000     1134.540000
    31     8  2000     1114.630000
     1     9  2000     1144.570000
     2     9  2000     1104.750000
     3     9  2000      900.032000
     4     9  2000     1124.560000
     5     9  2000      999.383000
     6     9  2000     1182.030000
     7     9  2000     1094.920000
     8     9  2000      873.969000
     9     9  2000      831.502000
    10     9  2000     1164.780000
    11     9  2000     1104.750000
    12     9  2000     1085.140000
    13     9  2000      944.452000
    14     9  2000      831.502000
    15     9  2000     1230.270000
    16     9  2000     1134.540000
    17     9  2000      990.104000
    18     9  2000      651.587000
    19     9  2000     1085.140000
    20     9  2000     1134.540000
    21     9  2000     1279.480000
    22     9  2000      999.383000
    23     9  2000     1037.000000
    24     9  2000      962.565000
    25     9  2000     1267.080000
    26     9  2000     1267.080000
    27     9  2000     1348.710000
    28     9  2000     1056.100000
    29     9  2000      990.104000
    30     9  2000     1345.520000
     1    10  2000      673.635000
     2    10  2000     1104.750000
     3    10  2000     1018.090000
     4    10  2000      962.565000
     5    10  2000     1124.560000
     6    10  2000     1056.100000
     7    10  2000      980.875000
     8    10  2000      891.296000
     9    10  2000     1018.090000
    10    10  2000      856.836000
    11    10  2000      953.484000
    12    10  2000      999.383000
    13    10  2000     1027.520000
    14    10  2000     1065.730000
    15    10  2000      908.818000
    16    10  2000     1075.410000
    17    10  2000     1018.090000
    18    10  2000     1094.920000
    19    10  2000     1046.520000
    20    10  2000      891.296000
    21    10  2000     1075.410000
    22    10  2000      962.565000
    23    10  2000     1056.100000
    24    10  2000     1085.140000
    25    10  2000     1114.630000
    26    10  2000     1085.140000
    27    10  2000     1037.000000
    28    10  2000     1027.520000
    29    10  2000      839.898000
    30    10  2000     1085.140000
    31    10  2000     1124.560000
     1    11  2000     1124.560000
     2    11  2000      999.383000
     3    11  2000     1194.000000
     4    11  2000     1194.000000
     5    11  2000     1218.120000
     6    11  2000     1144.570000
     7    11  2000     1212.070000
     8    11  2000     1182.030000
     9    11  2000     1134.540000
    10    11  2000      962.565000
    11    11  2000      971.695000
    12    11  2000     1182.030000
    13    11  2000     1230.270000
    14    11  2000     1085.140000
    15    11  2000      926.537000
    16    11  2000     1164.780000
    17    11  2000     1194.000000
    18    11  2000     1046.520000
    19    11  2000      962.565000
    20    11  2000     1114.630000
    21    11  2000     1179.050000
    22    11  2000     1200.010000
    23    11  2000     1212.070000
    24    11  2000     1197.000000
    25    11  2000     1197.000000
    26    11  2000     1209.050000
    27    11  2000     1200.010000
    28    11  2000     1194.000000
    29    11  2000     1046.520000
    30    11  2000     1182.030000
     1    12  2000     1174.970000
     2    12  2000     1182.030000
     3    12  2000     1075.410000
     4    12  2000     1154.650000
     5    12  2000     1154.650000
     6    12  2000     1164.780000
     7    12  2000     1164.780000
     8    12  2000     1182.030000
     9    12  2000     1188.010000
    10    12  2000     1154.650000
    11    12  2000     1154.650000
    12    12  2000     1124.560000
    13    12  2000     1124.560000
    14    12  2000     1154.650000
    15    12  2000     1056.100000
    16    12  2000     1154.650000
    17    12  2000     1179.050000
    18    12  2000     1134.540000
    19    12  2000     1134.540000
    20    12  2000     1191.000000
    21    12  2000     1185.020000
    22    12  2000     1209.050000
    23    12  2000     1154.650000
    24    12  2000     1188.010000
    25    12  2000     1188.010000
    26    12  2000     1144.570000
    27    12  2000     1144.570000
    28    12  2000     1185.020000
    29    12  2000     1174.970000
    30    12  2000     1114.630000
    31    12  2000     1027.520000
     1     1  2001      790.244000
     2     1  2001      882.608000
     3     1  2001      782.137000
     4     1  2001      750.187000
     5     1  2001      774.078000
     6     1  2001      673.635000
     7     1  2001      703.689000
     8     1  2001      658.890000
     9     1  2001      637.122000
    10     1  2001      637.122000
    11     1  2001      637.122000
    12     1  2001      666.239000
    13     1  2001      673.635000
    14     1  2001      574.322000
    15     1  2001      581.116000
    16     1  2001      581.116000
    17     1  2001      594.841000
    18     1  2001      594.841000
    19     1  2001      594.841000
    20     1  2001      658.890000
    21     1  2001      658.890000
    22     1  2001      658.890000
    23     1  2001      601.772000
    24     1  2001      658.890000
    25     1  2001      567.574000
    26     1  2001      574.322000
    27     1  2001      574.322000
    28     1  2001      567.574000
    29     1  2001      608.750000
    30     1  2001      608.750000
    31     1  2001      560.872000
     1     2  2001      502.598000
     2     2  2001      594.841000
     3     2  2001      554.216000
     4     2  2001      581.116000
     5     2  2001      560.872000
     6     2  2001      560.872000
     7     2  2001      615.773000
     8     2  2001      594.841000
     9     2  2001      608.750000
    10     2  2001      637.122000
    11     2  2001      806.603000
    12     2  2001      681.078000
    13     2  2001      594.841000
    14     2  2001      574.322000
