ÓBIDOS	-55.513	-1.919
     1     1  1983   130607.000000
     2     1  1983   131790.000000
     3     1  1983   132976.000000
     4     1  1983   133968.000000
     5     1  1983   134764.000000
     6     1  1983   135162.000000
     7     1  1983   136160.000000
     8     1  1983   136760.000000
     9     1  1983   137161.000000
    10     1  1983   137361.000000
    11     1  1983   138164.000000
    12     1  1983   138768.000000
    13     1  1983   139372.000000
    14     1  1983   139977.000000
    15     1  1983   140179.000000
    16     1  1983   140786.000000
    17     1  1983   140988.000000
    18     1  1983   141799.000000
    19     1  1983   142205.000000
    20     1  1983   142409.000000
    21     1  1983   142815.000000
    22     1  1983   143019.000000
    23     1  1983   143223.000000
    24     1  1983   143426.000000
    25     1  1983   143834.000000
    26     1  1983   144447.000000
    27     1  1983   145060.000000
    28     1  1983   145880.000000
    29     1  1983   146907.000000
    30     1  1983   147730.000000
    31     1  1983   148968.000000
     1     2  1983   149589.000000
     2     2  1983   150211.000000
     3     2  1983   150626.000000
     4     2  1983   150833.000000
     5     2  1983   150626.000000
     6     2  1983   151041.000000
     7     2  1983   151249.000000
     8     2  1983   151665.000000
     9     2  1983   151665.000000
    10     2  1983   151665.000000
    11     2  1983   151665.000000
    12     2  1983   153333.000000
    13     2  1983   153751.000000
    14     2  1983   154379.000000
    15     2  1983   154968.000000
    16     2  1983   155193.000000
    17     2  1983   155193.000000
    18     2  1983   155642.000000
    19     2  1983   156317.000000
    20     2  1983   156767.000000
    21     2  1983   156767.000000
    22     2  1983   156767.000000
    23     2  1983   156992.000000
    24     2  1983   157218.000000
    25     2  1983   156992.000000
    26     2  1983   157669.000000
    27     2  1983   158120.000000
    28     2  1983   158120.000000
     1     3  1983   158572.000000
     2     3  1983   158798.000000
     3     3  1983   159025.000000
     4     3  1983   159025.000000
     5     3  1983   159251.000000
     6     3  1983   159025.000000
     7     3  1983   158798.000000
     8     3  1983   158798.000000
     9     3  1983   158798.000000
    10     3  1983   158120.000000
    11     3  1983   157443.000000
    12     3  1983   157218.000000
    13     3  1983   157894.000000
    14     3  1983   157894.000000
    15     3  1983   157669.000000
    16     3  1983   157894.000000
    17     3  1983   158120.000000
    18     3  1983   158572.000000
    19     3  1983   158798.000000
    20     3  1983   159251.000000
    21     3  1983   160158.000000
    22     3  1983   159931.000000
    23     3  1983   160612.000000
    24     3  1983   160839.000000
    25     3  1983   161066.000000
    26     3  1983   162431.000000
    27     3  1983   163572.000000
    28     3  1983   164945.000000
    29     3  1983   165633.000000
    30     3  1983   167241.000000
    31     3  1983   168393.000000
     1     4  1983   169548.000000
     2     4  1983   170705.000000
     3     4  1983   170937.000000
     4     4  1983   171401.000000
     5     4  1983   171633.000000
     6     4  1983   172330.000000
     7     4  1983   172795.000000
     8     4  1983   173028.000000
     9     4  1983   173727.000000
    10     4  1983   174193.000000
    11     4  1983   175127.000000
    12     4  1983   175829.000000
    13     4  1983   175829.000000
    14     4  1983   176531.000000
    15     4  1983   177000.000000
    16     4  1983   177704.000000
    17     4  1983   178174.000000
    18     4  1983   178644.000000
    19     4  1983   179351.000000
    20     4  1983   179351.000000
    21     4  1983   179586.000000
    22     4  1983   179822.000000
